DateTime,AddedIPs,RemovedIPs
1518887716,15,0
1518888018,7,0
1518888617,10,0
1518888919,2,0
1518889217,4,0
1518889820,8,0
1518890417,8,0
1518890716,4,0
1518891017,2,0
1518891316,2,0
1518891616,3,0
1518892215,4,0
1518892816,5,0
1518893115,1,0
1518893416,9,0
1518894017,9,0
1518894316,5,0
1518894916,9,0
1518895215,3,0
1518895815,6,0
1518896116,7,0
1518896417,2,0
1518897015,6,0
1518897316,3,0
1518897916,7,0
1518898817,5,0
1518899115,1,0
1518899416,4,0
1518900016,5,0
1518900316,5,0
1518900915,2,0
1518901520,7,0
1518902115,12,0
1518902416,2,0
1518903015,12,0
1518903316,9,0
1518903617,2,0
1518903916,4,0
1518904516,5,0
1518905115,8,0
1518905715,2,0
1518906016,1,0
1518906615,5,0
1518907216,4,0
1518908424,2,0
1518909316,5,0
1518909616,1,0
1518911116,8,0
1518911715,6,0
1518912018,6,0
1518912616,4,0
1518913216,7,0
1518913515,7,0
1518914115,2,0
1518914416,1,0
1518915015,3,0
1518915617,3,0
1518915916,2,0
1518916515,2,0
1518917417,2,0
1518917716,3,0
1518918614,2,0
1518919515,4,0
1518919817,4,0
1518920115,3,0
1518920416,8,0
1518921018,1,0
1518921315,3,0
1518921616,6,0
1518921916,5,0
1518922216,7,0
1518922817,6,0
1518923717,1,0
1518924915,3,0
1518925216,1,0
1518925816,1,0
1518926115,2,0
1518926416,2,0
1518927316,3,0
1518927616,1,0
1518928215,7,0
1518928816,12,0
1518929116,3,0
1518929715,10,0
1518930018,3,0
1518930615,6,0
1518931216,1,0
1518931514,2,0
1518932115,5,0
1518932416,2,0
1518933016,2,0
1518933617,4,0
1518934216,1,0
1518934515,1,0
1518934816,4,3
1518935715,7,5
1518936915,9,0
1518937218,4,0
1518937816,8,0
1518938115,4,0
1518938416,3,0
1518938717,7,0
1518939017,5,0
1518939315,1,0
1518939616,5,0
1518939916,6,0
1518940215,2,0
1518940817,7,0
1518941116,4,0
1518941715,4,0
1518942015,1,0
1518942615,3,0
1518942915,3,0
1518943216,1,0
1518943516,3,0
1518944115,2,0
1518944715,3,0
1518945315,9,0
1518945617,2,0
1518945917,3,0
1518946217,5,0
1518947716,27,0
1518948017,4,0
1518948915,8,0
1518949215,3,0
1518949817,3,0
1518950115,2,0
1518950418,5,0
1518951015,3,0
1518951618,7,0
1518951916,5,0
1518952515,4,0
1518952816,3,0
1518953417,4,0
1518954016,7,0
1518954615,14,0
1518954915,6,0
1518955218,5,0
1518955815,7,0
1518956417,10,0
1518956716,8,0
1518957016,7,0
1518957616,5,0
1518957916,2,0
1518958216,3,0
1518958816,4,0
1518959416,4,0
1518960017,5,0
1518960616,9,0
1518960915,4,0
1518961216,3,0
1518961816,7,0
1518962418,8,0
1518962717,6,0
1518963316,9,0
1518963615,9,0
1518963916,3,0
1518964516,10,0
1518965117,10,0
1518965716,9,0
1518966016,4,0
1518966615,6,0
1518966915,2,0
1518967216,3,0
1518967515,1,0
1518967815,2,0
1518968416,3,0
1518968715,2,0
1518969315,5,0
1518969617,10,0
1518970215,2,0
1518970816,8,0
1518971116,7,0
1518971415,5,0
1518972015,14,0
1518972615,7,0
1518972915,10,0
1518973218,2,0
1518973515,7,0
1518973816,4,0
1518974416,3,0
1518974716,4,0
1518975016,3,0
1518975316,1,0
1518975616,3,0
1518976216,10,0
1518976818,3,0
1518977117,2,0
1518977415,2,0
1518977716,3,0
1518978016,3,0
1518978615,7,0
1518978915,2,0
1518979216,3,0
1518979517,3,0
1518980115,11,0
1518980416,8,0
1518981016,3,0
1518981617,5,0
1518981916,6,0
1518982216,5,0
1518982516,5,0
1518982816,4,0
1518983116,3,1
1518983417,1,0
1518984016,1,0
1518984316,1,0
1518984616,1,0
1518985216,1,0
1518985815,5,0
1518986417,2,0
1518987316,2,0
1518987915,3,0
1518988216,2,0
1518988816,6,0
1518989115,3,0
1518989417,7,0
1518990018,5,0
1518990615,5,0
