DateTime,Entries,UniqueIPs
1518887716,96821,97813
1518888018,96828,97820
1518888617,96838,97830
1518888919,96840,97832
1518889217,96844,97836
1518889820,96852,97844
1518890417,96860,97852
1518890716,96864,97856
1518891017,96866,97858
1518891316,96868,97860
1518891616,96871,97863
1518892215,96875,97867
1518892816,96880,97872
1518893115,96881,97873
1518893416,96890,97882
1518894017,96898,97891
1518894316,96903,97896
1518894916,96912,97905
1518895215,96915,97908
1518895815,96921,97914
1518896116,96928,97921
1518896417,96930,97923
1518897015,96936,97929
1518897316,96939,97932
1518897916,96946,97939
1518898817,96951,97944
1518899115,96952,97945
1518899416,96956,97949
1518900016,96961,97954
1518900316,96966,97959
1518900915,96968,97961
1518901520,96975,97968
1518902115,96987,97980
1518902416,96989,97982
1518903015,97001,97994
1518903316,97009,98003
1518903617,97011,98005
1518903916,97015,98009
1518904516,97020,98014
1518905115,97027,98022
1518905715,97029,98024
1518906016,97030,98025
1518906615,97035,98030
1518907216,97039,98034
1518908424,97041,98036
1518909316,97046,98041
1518909616,97047,98042
1518911116,97055,98050
1518911715,97061,98056
1518912018,97067,98062
1518912616,97071,98066
1518913216,97078,98073
1518913515,97085,98080
1518914115,97087,98082
1518914416,97088,98083
1518915015,97091,98086
1518915617,97094,98089
1518915916,97096,98091
1518916515,97098,98093
1518917417,97100,98095
1518917716,97103,98098
1518918614,97105,98100
1518919515,97109,98104
1518919817,97113,98108
1518920115,97116,98111
1518920416,97124,98119
1518921018,97125,98120
1518921315,97128,98123
1518921616,97134,98129
1518921916,97139,98134
1518922216,97146,98141
1518922817,97152,98147
1518923717,97153,98148
1518924915,97156,98151
1518925216,97157,98152
1518925816,97158,98153
1518926115,97160,98155
1518926416,97162,98157
1518927316,97165,98160
1518927616,97166,98161
1518928215,97173,98168
1518928816,97185,98180
1518929116,97188,98183
1518929715,97198,98193
1518930018,97201,98196
1518930615,97207,98202
1518931216,97208,98203
1518931514,97210,98205
1518932115,97215,98210
1518932416,97217,98212
1518933016,97219,98214
1518933617,97223,98218
1518934216,97224,98219
1518934515,97225,98220
1518934816,97226,98221
1518935715,97228,98223
1518936915,97237,98232
1518937218,97241,98236
1518937816,97249,98244
1518938115,97253,98248
1518938416,97256,98251
1518938717,97263,98258
1518939017,97268,98263
1518939315,97269,98264
1518939616,97273,98269
1518939916,97279,98275
1518940215,97281,98277
1518940817,97288,98284
1518941116,97292,98288
1518941715,97296,98292
1518942015,97297,98293
1518942615,97300,98296
1518942915,97303,98299
1518943216,97304,98300
1518943516,97307,98303
1518944115,97309,98305
1518944715,97312,98308
1518945315,97321,98317
1518945617,97323,98319
1518945917,97326,98322
1518946217,97331,98327
1518947716,97357,98354
1518948319,97361,98358
1518948915,97369,98366
1518949215,97372,98369
1518949817,97375,98372
1518950115,97377,98374
1518950418,97382,98379
1518951015,97385,98382
1518951618,97392,98389
1518951916,97397,98394
1518952515,97401,98398
1518952816,97404,98401
1518953417,97408,98405
1518954016,97415,98412
1518954615,97429,98426
1518954915,97435,98432
1518955518,97440,98437
1518955815,97447,98444
1518956417,97457,98454
1518956716,97465,98462
1518957016,97472,98469
1518957616,97477,98474
1518957916,97479,98476
1518958216,97482,98479
1518958816,97486,98483
1518959416,97490,98487
1518960017,97495,98492
1518960616,97504,98501
1518960915,97508,98505
1518961216,97511,98508
1518961816,97518,98515
1518962418,97526,98523
1518962717,97532,98529
1518963316,97541,98538
1518963615,97550,98547
1518963916,97553,98550
1518964516,97563,98560
1518965117,97573,98570
1518965716,97582,98579
1518966016,97586,98583
1518966615,97592,98589
1518966915,97594,98591
1518967216,97597,98594
1518967515,97598,98595
1518967815,97600,98597
1518968416,97603,98600
1518968715,97605,98602
1518969315,97610,98607
1518969617,97620,98617
1518970215,97622,98619
1518970816,97630,98627
1518971116,97637,98634
1518971415,97642,98639
1518972015,97655,98653
1518972615,97662,98660
1518972915,97672,98670
1518973218,97674,98672
1518973515,97681,98679
1518973816,97685,98683
