DateTime,AddedIPs,RemovedIPs
1515408004,19,19
1515415683,26,26
1515423365,10,9
1515431284,6,6
1515435364,19,15
1515443043,21,18
1515450963,10,11
1515459124,887,884
1515466809,873,887
1515470885,212,202
1515479044,45,41
1515486725,22,26
1515494404,14,14
1515502323,12,11
1515510243,12,12
1515514083,15,13
1515522002,12,12
1515530403,3,4
1515538324,4,4
1515546244,889,885
1515550084,861,889
1515557765,220,194
1515565443,34,31
1515573125,33,32
1515581524,26,27
1515589444,10,11
1515597125,9,9
1515600964,11,12
1515610807,3,3
1515618484,1,1
1515626164,8,7
1515630004,777,889
1515645844,2,0
1515654013,889,779
1515658083,75,75
1515666243,9,8
1515673924,42,40
1515681603,14,14
1515689524,8,12
1515697682,13,11
1515705364,2,3
1515709443,3,3
1515717130,722,889
1515725282,336,170
1515733445,686,693
1515737523,782,794
1515745204,149,131
1515752884,17,17
1515760803,10,11
1515768484,11,13
1515776163,13,16
1515783842,11,10
1515791524,52,46
1515795363,16,16
1515803764,868,888
1515811923,865,868
1515819845,336,314
1515823684,48,45
1515831603,21,20
1515839284,25,31
1515846963,22,17
1515854644,9,7
1515862563,6,9
1515870243,1,1
1515874088,1,1
1515881764,3,3
1515889443,827,889
1515897124,860,827
1515904804,381,363
1515912725,42,41
1515920412,21,20
1515928083,14,13
1515931924,7,5
1515939603,11,14
1515947283,8,10
1515954964,13,11
1515962647,7,7
1515970564,2,2
1515974475,871,880
1515982084,877,871
1515990006,280,269
1515997925,24,25
1516005605,58,60
1516013523,18,14
1516021208,11,12
1516029124,10,13
1516032964,3,3
1516048323,19,19
1516056003,10,6
1516063684,26,889
1516071363,826,14
1516079043,771,729
1516082884,553,555
1516090563,425,428
1516098486,342,341
1516106165,252,246
1516114084,859,880
1516121764,457,442
1516129445,73,65
1516137371,11,12
1516141204,31,28
1516148884,876,886
1516164243,867,876
1516171923,88,74
1516180083,22,19
1516183924,14,15
1516191616,7,8
1516199525,9,8
1516207924,4,4
1516215608,10,12
1516223283,7,7
1516230964,9,11
1516234803,862,879
1516242484,884,862
1516250402,256,244
1516258084,36,41
1516266008,18,17
1516273683,22,21
1516278018,20,20
1516285685,7,5
1516293365,4,6
1516301283,13,12
1516309445,9,8
1516317365,6,4
1516321442,879,897
1516329603,880,879
1516337522,272,261
1516345684,51,47
1516349524,17,17
1516357442,20,17
1516365366,5,8
1516373284,9,7
1516380965,15,15
1516396564,8,8
1516400403,11,12
1516408084,828,896
1516415762,864,828
1516423443,252,226
1516431363,57,47
1516439283,27,25
1516443125,18,16
1516451054,12,15
1516458964,8,9
1516466643,7,6
1516474323,8,8
1516482012,6,5
1516489684,10,9
1516493523,649,903
1516501203,890,649
1516508883,212,212
1516516564,30,28
1516524243,20,16
1516531923,17,16
1516539611,17,17
1516547283,5,5
