DateTime,Entries,UniqueIPs
1518806227,31447,33589
1518806667,31450,33592
1518807386,31426,33557
1518808352,31214,33319
1518808582,31216,33321
1518809356,31050,33128
1518810292,30919,32979
1518810751,31034,33096
1518811580,30804,32838
1518812213,30799,32833
1518812664,30668,32676
1518813613,30489,32476
1518814126,30487,32474
1518814644,30509,32481
1518815325,30507,32479
1518815800,30233,32160
1518816292,30234,32161
1518816774,29902,31787
1518817233,29900,31785
1518817720,28318,30149
1518818197,28376,30208
1518818708,28382,30214
1518819177,28379,30211
1518819644,28168,29954
1518820599,27976,29717
1518821070,27974,29715
1518821545,27883,29604
1518822291,27880,29601
1518822786,27549,29225
1518823486,27549,29225
1518824228,27138,28769
1518824866,27142,28774
1518825414,27045,28668
1518825879,27044,28667
1518826350,26796,28390
1518826859,26790,28384
1518827330,26608,28168
1518827825,26599,28158
1518828275,26523,28070
1518828780,24671,26154
1518829231,24684,26169
1518829748,24677,26162
1518830239,24601,26064
1518830678,24600,26063
1518831161,24642,26114
1518831647,24639,26111
1518832109,24820,26284
1518832596,24815,26279
1518833071,24787,26239
1518833808,24779,26231
1518834309,24751,26198
1518834764,24750,26197
1518835249,24726,26169
1518835728,24849,26294
1518836173,24352,25746
1518836692,24348,25741
1518837172,23787,25100
1518837883,23781,25094
1518838348,23073,24330
1518838824,23075,24332
1518839346,23009,24254
1518839807,23006,24251
1518840261,22856,24075
1518840774,22853,24072
1518841221,22610,23796
1518841714,22606,23792
1518842186,22621,23807
1518842664,22621,23807
1518843154,22177,23321
1518843635,22166,23310
1518844111,21936,23059
1518844608,21976,23099
1518845056,23008,24175
1518845557,23055,24222
1518846012,23151,24301
1518846524,23217,24368
1518846974,23151,24270
1518847481,23167,24286
1518847940,22777,23857
1518848444,22781,23861
1518848896,22840,23920
1518849397,22848,23928
1518849857,22630,23690
1518850359,22692,23753
1518850830,22542,23581
1518851318,22552,23591
1518851782,22233,23249
1518852283,22245,23262
1518852743,21949,22939
1518853231,21958,22948
1518853700,21809,22780
1518854203,21805,22776
1518854673,21548,22498
1518855153,21552,22502
1518855622,22564,23584
1518856123,22559,23578
1518856580,23054,24128
1518857073,23059,24134
1518857537,23809,24942
1518858043,23815,24949
1518858504,23914,25059
1518858995,23918,25063
1518859456,24052,25205
1518859971,24061,25214
1518860417,24448,25637
1518860912,24454,25644
1518861379,25050,26310
1518861883,25067,26326
1518862340,25654,27000
1518862813,25654,27001
1518863307,26100,27521
1518863788,26098,27519
1518864273,26576,28032
1518864998,26657,28115
1518865458,27323,28881
1518865961,27329,28887
1518866419,27659,29242
1518866913,27661,29244
1518867385,28126,29782
1518867885,28125,29781
1518868334,28716,30460
1518868840,28721,30465
1518869419,29244,31073
1518869806,29247,31076
1518870523,30069,32036
1518870981,30080,32047
1518871476,30404,32451
1518871946,30457,32506
1518872443,31079,33227
1518873160,31081,33229
1518873620,30830,32928
1518874118,30835,32933
1518874576,30729,32808
1518875078,30729,32808
1518875535,30738,32810
1518876267,30742,32814
1518877002,31131,33295
1518877457,31139,33303
1518877958,31081,33226
1518878435,31083,33229
1518878916,31176,33314
1518879375,31179,33317
1518879861,31260,33392
1518880360,31264,33395
1518882540,31755,33956
1518883460,31895,34118
1518884421,32018,34256
1518885393,32173,34431
1518886369,32521,34794
1518887297,32585,34860
1518888260,32771,35084
1518889219,32890,35214
1518890461,33126,35468
1518891130,33116,35459
1518891375,33217,35578
1518892349,33318,35690
1518893556,33539,35931
1518894533,33697,36122
1518895455,33826,36295
1518896420,33922,36410
1518896831,33961,36449
1518897401,34084,36592
1518898476,34230,36770
1518899533,34356,36919
1518900255,34358,36922
1518900496,34492,37078
1518901468,34798,37400
1518902196,34801,37403
1518902659,34964,37571
1518903613,35044,37651
1518904110,35074,37683
1518904578,35785,38400
1518905534,36172,38855
1518906274,36173,38856
1518906751,36317,39026
1518907692,36414,39124
1518908184,36450,39160
1518908664,36584,39311
1518909878,36705,39468
1518910946,36877,39653
1518911778,36893,39671
1518912279,37191,40020
1518912749,37191,40020
1518913217,37241,40073
1518914185,37333,40190
1518914662,37337,40192
1518915139,35682,38507
1518916110,35778,38623
1518916590,35785,38630
1518917054,35814,38665
1518918258,35820,38684
1518918746,35844,38709
1518919222,35850,38710
1518920177,36133,39052
1518921398,36243,39182
1518922334,36386,39341
1518922826,36384,39339
1518923308,36425,39385
1518924258,36446,39412
1518924743,36446,39412
1518925479,36460,39433
1518925631,36620,39597
1518926424,36744,39742
1518926915,36747,39745
1518927391,36976,40017
1518928339,36998,40047
1518928821,37002,40051
1518929306,37202,40255
1518930261,37313,40379
1518930749,37315,40382
1518931217,37331,40402
1518932175,37402,40483
1518932654,37404,40486
1518933156,37494,40591
1518934096,37561,40667
1518934589,37566,40672
1518935054,37696,40837
1518936258,37831,40989
1518936747,37875,41035
1518937484,37962,41129
1518938411,37970,41136
1518938650,37978,41144
1518939373,37994,41161
1518940354,38037,41207
1518940819,38034,41203
1518941322,36613,39765
1518942260,36368,39477
1518942741,36373,39482
1518943215,35988,39053
1518943631,36021,39088
1518944182,35972,39039
1518944670,35973,39040
1518945405,35832,38870
1518946340,35619,38621
1518946822,35620,38623
1518948297,34995,37900
1518948738,34994,37899
1518949232,34699,37533
1518950178,34408,37188
1518950663,34408,37188
1518951137,33989,36705
1518952116,33818,36484
1518952592,33822,36487
1518953061,33434,36029
1518954020,32988,35514
1518954504,32990,35516
1518954978,32573,35023
1518955332,32611,35063
1518956060,32153,34542
1518956451,32156,34545
1518957143,31787,34120
1518958095,31265,33529
