DateTime,AddedIPs,RemovedIPs
1518690742,33,0
1518691697,23,14
1518692667,25,15
1518693618,36,11
1518694596,26,23
1518695539,29,9
1518696519,20,28
1518697708,39,11
1518698665,19,12
1518699630,24,6
1518700590,21,23
1518702054,27,24
1518702976,22,12
1518703951,42,18
1518704896,17,14
1518705864,26,5
1518706819,17,20
1518707820,19,14
1518708742,27,12
1518709708,38,21
1518710665,20,7
1518711690,36,31
1518712830,43,0
1518713770,35,18
1518714744,26,17
1518715697,1134,1092
1518716794,35,10
1518717878,7,0
1518719339,54,49
1518720765,44,36
1518721231,23,31
1518721718,30,15
1518722652,26,3
1518723637,36,41
1518724602,33,12
1518725544,38,0
1518726494,28,34
1518727475,40,17
1518728451,28,19
1518728897,36,0
1518729401,30,2
1518730344,5,42
1518731301,3,0
1518732526,78,1095
1518732978,35,0
1518733475,14,20
1518734415,27,28
1518735384,35,14
1518736860,58,45
1518737777,24,16
1518738741,39,11
1518739709,53,21
1518740912,56,13
1518741858,31,13
1518742833,15,14
1518743782,5,0
1518744763,27,41
1518745698,7,0
1518746669,9,12
1518747620,8,8
1518748589,9,17
1518749535,9,9
1518750506,41,16
1518751459,49,0
1518752677,69,32
1518753619,27,8
1518754591,74,92
1518755801,48,7
1518756737,16,21
1518757706,14,33
1518758661,26,17
1518759615,21,4
1518760576,27,22
1518761537,18,9
1518762498,27,25
1518763730,34,5
1518764905,27,25
1518765857,37,29
1518766817,46,18
1518767780,14,20
1518768741,18,15
1518769691,23,21
1518770656,29,24
1518771624,20,17
1518772585,18,12
1518773537,23,4
1518774503,21,0
1518775467,27,33
1518776420,19,37
1518777397,28,22
1518778341,16,5
1518779546,26,48
1518780740,23,13
1518781693,24,2
1518782754,47,19
1518784158,24,15
1518785296,31,20
1518786545,19,38
1518787727,36,21
1518788764,19,12
1518789943,33,27
1518791061,30,39
1518791567,0,1
1518792029,30,17
1518793033,49,10
1518793482,0,1
1518793964,0,16
1518795138,0,13
1518796892,5,17
1518798290,1,16
1518799247,3,24
1518800228,0,17
1518801145,2,0
1518802160,986,1038
1518803064,3,15
1518804302,5,15
1518804734,12,36
1518805263,2,10
1518806227,0,7
1518807386,3,24
1518808352,1,18
1518809356,2,8
1518810292,2,30
1518811580,1,11
1518812213,0,1
1518812664,3,13
1518813613,3,26
1518814126,1,0
1518814644,2,24
1518815800,1,11
1518816292,2,0
1518816774,32,90
1518817233,1,0
1518817720,2,24
1518818708,8,928
1518819177,0,1
1518819644,0,28
1518820599,35,86
1518821545,1,10
1518822291,2,0
1518822786,0,24
1518823486,2,0
1518824228,1,43
1518824866,25,57
1518825414,1,20
1518825879,0,3
1518826350,0,17
1518826859,1,1
1518827330,0,9
1518827825,0,5
1518828275,2,7
1518828780,0,1
1518829231,0,20
1518829748,0,2
1518830239,1,6
1518830678,2,0
1518831161,6,20
1518831647,2,1
1518832109,9,22
1518832596,0,4
1518833071,1,21
1518833808,0,1
1518834309,2,14
1518834764,1,0
1518835249,2,11
1518835728,1,1
1518836173,1,5
1518837172,3,14
1518837883,0,1
1518838348,6,58
1518839346,2,0
1518840261,6,10
1518840774,69,55
1518841221,4,15
1518841714,1,2
1518842186,3,15
1518843154,4,28
1518843635,0,2
1518844111,5,17
1518844608,53,1
1518845056,18,15
1518845557,58,0
1518846012,0,25
1518846524,24,0
1518846974,4,18
1518847481,19,1
1518847940,3,24
1518848444,4,0
1518848896,1,21
1518849397,13,0
1518849857,0,13
1518850359,17,3
1518850830,8,10
1518851318,13,0
1518851782,2,28
1518852283,12,0
1518852743,0,13
1518853231,9,1
1518853700,1,10
1518854203,2,0
1518854673,7,9
1518855153,7,0
1518855622,113,35
1518856123,5,0
1518856580,92,18
1518857073,11,0
1518857537,80,20
1518858043,10,0
1518858504,25,15
1518858995,8,0
1518859456,40,16
1518859971,13,0
1518860417,58,17
1518860912,8,0
1518861379,63,21
1518861883,16,2
1518862340,69,21
1518862813,1,0
1518863307,52,21
1518864273,67,46
1518864998,21,0
1518865458,70,10
1518865961,9,1
1518866419,55,35
1518866913,2,0
1518867385,73,3
1518867885,3,0
1518868334,51,11
1518868840,7,0
1518869419,58,25
1518869806,8,0
1518870523,76,66
1518870981,13,0
1518871476,66,20
1518871946,3,1
1518872443,67,37
1518873160,3,4
1518873620,7,65
1518874118,6,0
1518874576,5,0
1518875078,1,0
1518875535,24,0
1518876267,5,0
1518877002,58,6
1518877457,11,0
1518877958,14,0
1518878435,7,0
1518878916,17,0
1518879375,6,0
1518879861,27,8
1518880360,5,0
1518882540,62,3
1518883460,28,0
1518884421,25,22
1518885393,32,6
1518886369,27,24
1518887297,13,32
1518888260,1324,983
1518889219,32,38
1518890461,35,23
1518891130,16,0
1518891375,8,0
1518892349,16,58
1518893556,31,30
1518894533,43,22
1518895455,32,18
1518896420,22,19
1518897401,29,17
1518898476,22,10
1518899533,26,26
1518900496,37,21
1518901468,12,19
1518902659,32,66
1518903613,9,24
1518904578,13,875
1518905534,55,26
1518906751,47,36
1518907692,13,18
1518908664,29,34
1518909878,22,24
1518910946,30,3
1518911778,20,30
1518912279,50,43
1518913217,9,15
1518914185,7,13
1518915139,14,19
1518916110,35,19
1518917054,16,0
1518918258,12,37
1518919222,8,29
1518920177,46,22
1518921398,28,18
1518922334,19,0
1518923308,28,19
1518924258,14,27
1518925479,12,28
1518926424,37,0
1518927391,131,129
1518928339,12,14
1518929306,8,17
1518930261,36,17
1518931217,30,3
1518932175,27,24
1518933156,14,20
1518934096,15,3
1518935054,31,15
1518936258,41,22
1518937484,23,18
1518938411,5,20
1518939373,8,18
1518940354,9,0
1518941322,52,20
1518942260,24,28
1518943215,7,0
1518944182,15,26
1518945405,7,9
1518946340,14,14
1518948297,29,31
1518949232,8,12
1518950178,17,14
1518951137,25,13
1518952116,9,9
1518953061,22,19
1518954020,15,8
1518954978,9,19
1518956060,13,14
1518957143,13,11
1518958095,8,23
1518959068,15,2
1518960032,22,13
1518960992,28,28
1518961955,29,9
1518962999,26,23
1518964100,26,14
1518965073,23,16
1518966015,15,17
1518966987,16,20
1518967959,7,11
1518968919,3,13
1518969860,35,17
1518970817,38,26
1518972035,9,12
1518972995,39,20
1518973937,11,20
1518974891,755,2089
1518975878,28,11
1518976843,23,24
1518977777,9,19
1518978741,18,11
1518979212,31,48
1518979714,16,24
