DateTime,AddedIPs,RemovedIPs
1518805981,7,0
1518806644,95,32
1518807122,31,2
1518807783,6,8
1518808921,10,0
1518809284,0,151
1518809582,2,1
1518810121,2,5
1518810723,101,1
1518811383,4,14
1518811922,13,0
1518812522,21,0
1518813121,5,0
1518813722,2,0
1518814563,88,26
1518814983,3,1
1518815763,11,179
1518816122,15,0
1518816726,70,0
1518817322,1,21
1518817922,8,0
1518818584,9,8
1518819604,0,97
1518819941,34,18
1518820381,13,13
1518820921,11,0
1518821521,2,7
1518822184,9,5
1518822723,106,9
1518823321,4,1
1518823981,18,0
1518824645,67,16
1518825363,10,186
1518825784,13,3
1518826322,1,0
1518826922,5,3
1518827582,4,1
1518828122,11,0
1518828725,133,0
1518829384,3,1
1518829921,1,5
1518830643,1,123
1518831125,207,7
1518831721,5,6
1518832563,8,295
1518832984,6,7
1518833522,14,0
1518834121,7,2
1518834724,75,0
1518834781,0,2
1518835322,4,3
1518835922,5,1
1518836584,7,0
1518837122,6,3
1518837721,15,5
1518838321,6,6
1518838803,77,9
1518839284,13,80
1518839522,14,2
1518840184,6,1
1518840722,5,135
1518841321,12,1
1518841982,1,3
1518842644,108,9
1518843123,0,204
1518843784,13,16
1518844566,89,4
1518844921,11,0
1518845521,1,0
1518846121,7,4
1518846722,12,0
1518847384,4,0
1518847922,16,0
1518848884,3,121
1518849181,6,0
1518849722,4,0
1518850924,6,11
1518851522,3,6
1518852245,131,6
1518852721,7,0
1518853322,7,0
1518854162,82,19
1518854643,4,125
1518855122,22,0
1518856084,4,4
1518856381,2,1
1518856921,6,0
1518857522,6,2
1518858008,85,0
1518858483,24,69
1518858722,8,0
1518859321,8,5
1518859927,104,8
1518860521,5,1
1518861121,3,2
1518861784,2,0
1518862921,11,1
1518863763,81,23
1518864243,22,64
1518864721,21,0
1518865384,5,11
1518866403,17,130
1518866522,1,2
1518867181,4,3
1518867845,107,0
1518868226,1,2
1518868984,1,3
1518869522,3,3
1518870121,5,4
1518870781,12,0
1518871321,0,2
1518871921,0,2
1518872416,0,86
1518872584,7,3
1518873121,2,9
1518874083,91,4
1518874381,4,0
1518874922,11,2
1518876242,92,11
1518876963,23,78
1518877321,2,0
1518877922,2,8
1518878403,82,20
1518878521,9,9
1518879122,2,3
1518879785,4,9
1518880321,3,0
1518882485,2,136
1518882722,2,0
1518883385,9,0
1518884403,88,0
1518884521,1,8
1518885121,4,4
1518885722,11,2
1518886324,97,81
1518886921,3,1
1518886925,0,1
1518887521,3,3
1518888122,6,1
1518889322,5,11
1518890416,106,180
1518890587,5,5
1518891122,1,5
1518891721,3,1
1518892321,9,12
1518892922,3,0
1518893522,1,0
1518894483,163,10
1518894722,2,0
1518895321,6,0
1518896522,7,4
1518897122,5,0
1518897785,5,4
1518898325,0,162
1518898922,4,6
1518899522,0,2
1518900243,87,4
1518900721,1,1
1518901385,0,6
1518901921,8,8
1518902521,2,0
1518904085,73,187
1518904321,5,0
1518904985,8,3
1518906122,3,24
1518906721,13,17
1518907322,3,2
1518908162,97,4
1518908585,9,3
1518909121,29,1
1518909722,0,1
1518910325,115,161
1518911522,5,5
1518912244,129,18
1518913323,2,18
1518914165,18,88
1518914522,2,4
1518915785,8,13
1518916321,5,0
1518916922,10,0
1518917581,3,5
1518918243,96,11
1518918722,8,1
1518919388,3,1
1518919922,11,0
1518920163,89,109
1518920522,5,0
1518921181,10,2
1518921722,1,0
1518922084,0,162
1518922985,9,14
1518923521,2,4
1518924121,8,0
1518925322,3,9
1518925922,8,0
1518926163,90,0
1518926585,5,17
1518927122,20,4
1518927721,5,0
1518928324,97,95
1518928921,5,5
1518929521,4,1
1518930242,5,135
1518930721,5,1
1518931321,6,2
1518932162,92,0
1518932522,4,2
1518933121,3,7
1518933372,20,10
1518933721,5,0
1518933785,0,2
1518934921,8,1
1518935581,2,4
1518936243,115,12
1518936721,17,4
1518937385,5,6
1518938163,0,154
1518938521,14,4
1518939721,0,7
1518940322,5,0
1518940985,4,6
1518941522,11,7
1518942002,89,0
1518942122,4,3
1518943321,3,7
1518944164,63,147
1518944525,8,1
1518945122,3,0
1518945722,1,0
