DateTime,Entries,UniqueIPs
1518805981,33375,40118
1518806644,33437,40181
1518807122,33466,40210
1518807783,33464,40208
1518808921,33473,40218
1518809284,33324,40067
1518809582,33325,40068
1518810121,33322,40065
1518810723,33419,40165
1518811383,33409,40155
1518811922,33422,40168
1518812522,33443,40189
1518813121,33448,40194
1518813722,33450,40196
1518814563,33511,40258
1518814983,33512,40260
1518815763,33346,40092
1518816122,33361,40107
1518816726,33430,40177
1518817322,33417,40157
1518817922,33425,40165
1518818584,33426,40166
1518819604,33329,40069
1518819941,33346,40085
1518820381,33347,40085
1518820921,33358,40096
1518821521,33353,40091
1518822184,33357,40095
1518822723,33454,40192
1518823321,33457,40195
1518823981,33475,40213
1518824645,33525,40264
1518825363,33355,40088
1518825784,33365,40098
1518826322,33366,40099
1518826922,33368,40101
1518827582,33371,40104
1518828122,33382,40115
1518828725,33515,40248
1518829384,33517,40250
1518829921,33513,40246
1518830643,33391,40124
1518831125,33591,40324
1518831721,33590,40323
1518832563,33304,40036
1518832984,33302,40035
1518833522,33316,40049
1518834121,33322,40054
1518834724,33397,40129
1518834781,33395,40127
1518835322,33396,40128
1518835922,33400,40132
1518836584,33407,40139
1518837122,33410,40142
1518837721,33423,40152
1518838321,33424,40152
1518838803,33492,40220
1518839284,33426,40153
1518839522,33438,40165
1518840184,33443,40170
1518840722,33313,40040
1518841321,33324,40051
1518841982,33323,40049
1518842644,33422,40148
1518843123,33218,39944
1518843784,33215,39941
1518844566,33301,40026
1518844921,33312,40037
1518845521,33313,40038
1518846121,33317,40041
1518846722,33328,40053
1518847384,33332,40057
1518847922,33348,40073
1518848884,33232,39955
1518849181,33238,39961
1518849722,33242,39965
1518850924,33237,39960
1518851522,33234,39957
1518852245,33360,40082
1518852721,33367,40089
1518853322,33374,40096
1518854162,33435,40159
1518854643,33315,40038
1518855122,33336,40060
1518856084,33337,40060
1518856381,33338,40061
1518856921,33344,40067
1518857522,33348,40071
1518858008,33433,40156
1518858483,33389,40111
1518858722,33397,40119
1518859321,33400,40122
1518859927,33497,40218
1518860521,33502,40222
