DateTime,AddedIPs,RemovedIPs
1518691329,191,249
1518692188,16,18
1518692468,105,131
1518693307,94,1
1518694095,20,27
1518695107,94,232
1518696041,30,1398
1518696946,196,136
1518697688,103,1
1518698182,25,20
1518698718,103,276
1518700112,625,248
1518702038,286,369
1518702813,115,0
1518703945,127,136
1518705860,169,170
1518706414,83,0
1518707816,132,209
1518708621,84,350
1518709704,93,98
1518711686,195,154
1518712295,79,196
1518713139,108,92
1518713542,200,20
1518714504,146,137
1518715684,162,14
1518716407,187,178
1518717865,356,30
1518719121,181,206
1518720026,137,16
1518720308,63,244
1518720906,74,0
1518722183,218,1682
1518724588,1604,28
1518724870,338,453
1518725721,104,1
1518726490,28,17
1518726654,94,253
1518728437,243,572
1518729323,113,0
1518730339,138,270
1518731107,86,83
1518732512,32,28
1518733810,305,160
1518734410,23,26
1518734762,105,331
1518735781,117,148
1518736845,145,23
1518737838,59,0
1518738737,25,15
1518739172,220,442
1518740131,88,0
1518740907,26,24
1518741026,137,226
1518741486,256,0
1518741907,107,1
1518742829,1041,1
1518743734,172,236
1518744757,25,19
1518746665,20,22
1518747007,348,379
1518748586,16,12
1518749108,182,214
1518749446,96,0
1518750507,127,239
1518750938,255,0
1518752136,192,267
1518752673,164,29
1518752739,35,1
1518754587,354,166
1518756506,139,19
1518758131,351,438
1518758655,125,15
1518759010,101,1
1518759928,111,309
1518760572,117,15
1518761056,134,166
1518761709,62,0
1518762494,137,14
1518762625,102,261
1518763540,114,368
1518764431,64,16
1518765328,190,190
1518766394,102,52
1518767131,195,304
1518768909,160,163
1518770188,43,38
1518770707,240,327
1518771536,83,143
1518772124,21,25
1518772539,80,9
1518774025,115,30
1518774467,198,313
1518775445,297,172
1518775950,120,27
1518776407,510,0
1518777300,116,217
1518777859,142,25
1518778965,164,234
1518780289,236,23
1518781207,127,223
1518782176,114,16
1518783339,164,233
1518784139,251,1408
1518784928,85,300
1518786042,782,141
1518786940,80,1
1518788189,128,277
1518788707,69,64
1518790351,36,60
1518790544,152,161
1518792502,149,262
1518792607,85,0
1518793706,78,260
1518794669,24,68
1518796839,197,664
1518797156,82,280
1518798007,86,0
1518798741,156,13
1518799328,115,378
1518800678,174,14
1518801006,80,166
1518801845,83,1
1518802592,1292,9
1518802806,76,255
1518803670,64,0
1518804752,107,111
1518806668,202,244
1518806708,0,254
1518808583,18,8
1518809676,237,529
1518810753,44,1284
1518811217,52,250
1518812130,318,1
1518812661,18,16
1518813908,125,338
1518814632,112,7
1518815012,58,175
1518816007,59,0
1518816772,35,21
1518817206,76,327
1518817508,245,0
1518818669,31,27
1518819309,148,450
1518820597,96,217
1518821128,26,1
1518822752,16,23
1518822932,136,236
1518823810,86,248
1518824849,26,66
1518825622,66,289
1518826218,132,140
1518826822,26,60
1518827425,81,212
1518827879,508,0
1518828746,94,69
1518830138,123,208
1518830655,657,0
1518831010,46,0
1518831918,317,317
1518832583,19,47
1518834750,198,469
1518835532,44,0
1518836680,19,61
1518837331,70,245
1518838210,73,0
1518838825,114,20
1518839135,56,331
1518839962,58,144
1518840762,117,9
1518840939,52,0
1518842665,153,10
1518842735,112,191
1518844596,253,267
1518845473,72,0
1518846512,234,331
1518848431,263,183
1518848887,45,1
1518850346,32,13
1518851734,86,216
1518852271,129,254
1518852610,90,0
1518853534,68,296
1518854190,19,10
1518854274,54,163
1518855337,64,0
1518856109,28,17
1518856210,52,0
1518858030,151,196
1518858333,113,195
1518859173,78,0
1518859955,139,12
1518860407,82,206
1518861871,110,26
1518862533,70,200
1518862726,73,0
1518863784,149,12
1518864907,149,477
1518865948,217,143
1518867872,256,295
1518868857,65,133
1518869793,199,2212
1518870487,59,1
1518871326,42,269
1518871944,55,17
1518873336,89,159
1518874106,1162,0
1518874927,96,158
1518876263,87,59
1518877810,79,147
1518878433,23,13
1518878913,137,156
1518880348,14,18
1518882525,308,706
1518884136,157,130
1518884417,28,15
1518884612,64,0
1518885606,841,275
1518886354,191,80
1518886445,90,0
1518887726,85,117
1518888256,173,68
1518888610,105,1018
1518889544,82,233
1518890445,336,161
1518891322,435,104
1518892343,253,71
1518893022,115,209
1518894518,210,93
1518894923,204,170
1518896414,22,38
1518896708,197,284
1518897367,117,0
1518898354,145,638
1518899287,97,1
1518900256,27,15
1518900334,111,273
1518902197,209,137
1518903023,157,217
1518904111,113,270
1518906275,218,226
1518906613,130,0
1518906985,255,0
1518908184,20,25
1518908421,134,186
1518909337,197,194
1518910924,150,117
1518911108,133,271
1518912750,22,82
1518913207,295,128
1518914663,22,16
1518914733,478,248
1518916591,1126,117
1518917752,128,203
1518918747,124,112
1518918984,127,128
1518919808,120,1
1518920651,24,14
1518920707,133,0
1518921728,137,259
1518922827,43,29
1518923735,275,150
1518924744,146,12
1518925207,194,251
1518926013,118,0
1518926916,150,13
1518927329,193,101
1518928822,171,55
1518929129,141,184
1518929407,136,58
1518930750,305,175
1518931686,134,0
1518932655,767,334
1518934590,332,178
1518935592,139,181
1518936748,48,58
1518937808,278,203
1518938651,14,75
1518938891,123,1
1518940820,125,304
1518942742,184,147
1518943537,240,197
1518944671,149,276
1518945345,104,5
1518946823,122,16
1518948024,288,748
1518948739,240,132
1518949718,145,0
1518950664,143,25
1518951571,228,342
1518952594,217,15
1518953471,129,154
1518954505,259,139
1518955008,105,96
1518955807,64,0
1518956452,145,2447
1518957115,24,0
1518957350,165,164
1518958337,119,162
1518959709,275,153
1518960497,1579,0
1518960607,124,161
1518961507,93,62
1518962418,32,51
1518963341,158,78
1518964586,18,18
1518964928,197,180
1518965733,80,0
1518966510,26,17
1518966934,110,85
1518968416,25,18
1518968708,168,394
1518970354,199,176
1518970537,0,1526
1518971409,1782,0
1518972500,672,283
1518974427,359,196
1518975728,218,178
1518976342,145,102
1518977408,218,159
1518978263,135,353
1518978610,104,0
1518979331,127,173
1518980179,150,77
1518981330,487,85
1518982091,175,138
1518982927,277,213
1518984270,81,60
1518984926,229,85
1518986414,22,27
1518986727,201,93
