DateTime,AddedIPs,RemovedIPs
1518771122,11,22
1518771721,5,11
1518772322,9,0
1518772921,3,0
1518773521,0,2
1518774121,1,7
1518774722,3,5
1518775321,1,2
1518776521,2,2
1518777721,5,2
1518778225,0,1
1518778921,9,11
1518779522,11,26
1518780122,2,18
1518780722,10,0
1518781322,2,9
1518781922,1,0
1518782521,5,0
1518783121,6,7
1518783722,2,3
1518784381,3,0
1518784921,5,5
1518786121,4,12
1518787322,2,0
1518787981,2,2
1518788522,1,1
1518789722,4,31
1518790322,9,3
1518790921,2,2
1518792121,1,11
1518792721,2,11
1518793322,2,0
1518794522,1,0
1518795121,3,1
1518796322,2,6
1518796922,1,29
1518797522,14,0
1518798122,2,0
1518798722,0,2
1518799322,8,1
1518800521,0,22
1518801722,3,2
1518802921,5,28
1518804122,6,0
1518804722,2,0
1518805322,1,6
1518805981,7,0
1518806521,11,17
1518807122,31,2
1518807722,6,4
1518808921,10,0
1518809582,2,1
1518810121,2,5
1518810626,7,1
1518811321,4,14
1518811922,13,0
1518812522,21,0
1518813121,5,0
1518813722,2,0
1518814321,3,2
1518814922,3,1
1518815522,11,5
1518816122,15,0
1518817322,1,21
1518817922,8,0
1518818522,9,7
1518819941,34,18
1518820381,13,13
1518820921,11,0
1518821521,2,7
1518822122,9,4
1518822722,17,9
1518823321,4,1
1518823981,18,0
1518824521,7,0
1518825122,10,10
1518825722,13,3
1518826322,1,0
1518826922,5,3
1518827582,4,1
1518828122,11,0
1518828722,7,0
1518829321,3,0
1518829921,1,5
1518830522,1,0
1518831121,8,7
1518831721,5,6
1518832322,8,108
1518832922,6,7
1518833522,14,0
1518834121,7,2
1518834721,7,0
1518834781,0,2
1518835322,4,3
1518835922,5,1
1518836521,7,0
1518837122,6,3
1518837721,15,5
1518838321,6,6
1518838922,4,5
1518839522,14,2
1518840121,6,0
1518840722,5,135
1518841321,12,1
1518841982,1,3
1518842522,7,0
1518843722,13,14
1518844321,2,4
1518844921,11,0
1518845521,1,0
1518846121,7,4
1518846722,12,0
1518847322,4,0
1518847922,16,0
1518848521,3,11
1518849181,6,0
1518849722,4,0
1518850922,4,9
1518851522,3,6
1518852122,4,6
1518852721,7,0
1518853322,7,0
1518853922,10,5
1518854522,4,2
1518855122,22,0
1518855722,4,4
1518856381,2,1
1518856921,6,0
1518857522,6,2
1518858121,24,0
1518858722,8,0
1518859321,8,5
1518859922,2,8
1518860521,5,1
1518861121,3,2
1518861721,2,0
1518862921,11,1
1518863581,4,4
1518864122,3,0
1518864721,21,0
1518865322,5,11
1518865392,17,36
1518866522,1,2
1518867181,4,3
1518867721,1,0
1518868226,1,2
1518868921,1,2
1518869522,3,3
1518870121,5,4
1518870781,12,0
1518871321,0,2
1518871921,0,2
1518872522,7,2
1518873121,2,9
1518873722,8,4
1518874381,4,0
1518874922,11,2
1518876121,1,2
1518876722,16,2
1518877321,2,0
1518877922,2,8
