DateTime,AddedIPs,RemovedIPs
1517103131,1,0
1517111774,5,0
1517114168,1,0
1517131205,1,0
1517139127,1,0
1517148247,2,0
1517151662,1,0
1517156406,1,0
1517172251,2,4
1517188324,0,2
1517188810,1,0
1517189285,0,2
1517199396,11,0
1517200805,0,1
1517224810,1,0
1517226726,1,0
1517230087,2,0
1517240165,1,0
1517243086,3,0
1517258885,5,2
1517274726,1,2
1517275205,1,0
1517277129,0,1
1517277625,1,0
1517286742,1,0
1517298732,1,0
1517303046,2,0
1517313129,1,0
1517324891,1,0
1517330445,14,0
1517345049,2,4
1517345779,1,0
1517351766,1,0
1517360647,0,1
1517361606,0,1
1517362090,0,2
1517362567,2,1
1517363051,0,1
1517364488,1,0
1517374122,3,0
1517375047,1,0
1517388732,1,0
1517396652,1,0
1517407696,273,173
1517409373,2,0
1517413691,1,0
1517415610,1,0
1517416569,2,0
1517417764,1,0
1517424738,1,0
1517431450,4,3
1517444410,1,0
1517448245,0,1
1517448728,1,0
1517455931,1,0
1517456886,1,0
1517458809,1,0
1517471285,1,0
1517505394,2,0
1517508249,1,0
1517515446,1,0
1517517847,3,7
1517533926,0,1
1517534889,0,1
1517535365,1,0
1517535848,0,2
1517539689,1,0
1517541608,1,0
1517554086,1,0
1517586486,1,0
1517589132,1,0
1517592735,1,0
1517604246,5,2
1517620576,0,1
1517621531,0,1
1517622005,2,0
1517622969,1,0
1517623449,0,1
1517623926,1,0
1517624408,1,0
1517646729,1,0
1517654412,1,0
1517657528,1,0
1517680102,1,0
1517682007,1,0
1517686568,1,0
1517690646,0,2
1517706489,0,1
1517706967,1,0
1517709367,0,1
1517710090,1,2
1517724037,1,0
1517730007,0,1
1517752327,1,0
1517767949,5,0
1517768411,1,0
1517770572,1,0
1517777285,4,1
1517780170,1,0
1517793848,0,1
1517794328,9,1
1517794805,0,1
1517796020,1,0
1517830565,1,0
1517850246,1,0
1517855778,1,0
1517863449,1,2
1517871130,1,0
1517880253,1,0
1517880725,2,2
1517881210,0,1
1517881685,2,0
1517883604,1,0
1517888405,1,0
1517891769,1,0
1517899468,3,0
1517902328,2,0
1517902806,3,1
1517903289,1,0
1517904246,0,2
1517905207,1,0
1517907129,1,0
1517907619,0,1
1517910004,1,0
1517911447,1,0
1517913364,0,1
1517914336,1,0
1517917925,1,0
1517921526,0,1
1517922016,1,0
1517925846,0,1
1517935444,1,0
1517935927,0,1
1517942405,1,0
1517943135,4,0
1517944327,0,1
1517950090,2,2
1517954885,1,0
1517956328,0,1
1517963526,1,0
1517965927,0,1
1517966409,1,1
1517966891,1,1
1517967364,1,11
1517967850,0,1
1517968325,1,0
1517969290,1,0
1517987066,4,0
1517990888,1,0
1517992805,0,1
1517997125,0,1
1517997616,1,0
1518001449,1,0
1518003366,0,1
1518006726,0,1
1518007209,1,0
1518013928,1,0
1518015850,1,0
1518019686,1,0
1518021610,0,1
1518023525,1,0
1518025924,0,1
1518026888,0,1
1518028329,1,0
1518030494,0,1
1518031925,1,0
1518034087,0,1
1518036005,1,0
1518036730,2,2
1518037451,0,1
1518038409,1,0
1518040327,1,0
1518044653,1,0
1518046577,1,0
1518048494,0,1
1518052328,0,2
1518052810,1,0
1518053766,2,0
1518054251,0,1
1518054727,1,0
1518057134,0,1
1518070327,0,1
1518070806,1,0
1518073690,0,1
1518074661,3,0
1518075127,1,0
1518077286,2,0
1518078727,0,1
1518079925,0,1
1518081608,1,0
1518083766,0,1
1518084256,1,0
1518084734,1,0
1518086648,0,1
1518087614,1,0
1518088090,1,0
1518090006,0,1
1518091449,1,0
1518093607,0,1
1518101525,1,0
1518102012,0,1
1518102066,1,0
1518102487,1,0
1518105847,1,0
1518108008,0,1
1518109446,1,0
1518112831,0,1
1518113286,0,1
1518115205,1,0
1518118331,1,0
1518118565,0,1
1518122886,0,1
1518125531,1,0
1518127690,0,1
1518136809,1,0
1518137285,1,0
1518138246,0,1
1518140164,8,2
1518155050,1,0
1518162268,16,0
1518170412,0,1
1518170890,1,0
1518172808,0,1
1518176165,1,0
1518179766,1,0
1518181687,1,0
1518183126,0,1
1518188887,1,0
1518192517,0,1
1518194169,1,1
1518196086,0,1
1518202090,1,0
1518205939,2,0
1518209286,1,6
1518211208,1,0
1518213851,1,0
1518215767,0,1
1518224890,0,2
1518226326,2,8
1518226809,1,1
1518228972,0,1
1518233525,1,0
1518246246,1,0
1518249627,3,0
1518252006,1,0
1518262333,1,0
1518265461,0,1
1518266410,1,0
1518269048,0,1
1518270005,1,0
1518272647,0,1
1518273129,1,0
1518273608,1,0
1518275527,0,1
1518276010,1,0
1518276966,1,0
1518278887,0,1
1518280330,1,0
1518284169,0,1
1518285613,0,1
1518293313,7,0
1518295451,4,1
1518311287,1,0
1518311770,0,1
1518312247,1,0
1518312731,0,1
1518313205,0,1
1518313690,1,1
1518314167,1,0
1518336985,1,0
1518338410,1,0
1518347527,0,1
1518348966,1,0
1518358088,0,1
1518358808,1,0
1518362413,0,1
1518362890,1,0
1518370566,0,1
1518376087,1,0
1518379927,0,1
1518380650,2,0
1518381365,1,0
1518382090,3,5
1518383047,0,1
1518384968,1,0
1518386889,0,1
1518394090,1,0
1518396007,0,1
1518399129,0,2
1518399607,2,0
1518416171,1,0
1518420249,0,1
1518424346,21,0
1518426965,1,0
1518429850,0,1
1518433925,1,0
1518436566,0,1
1518439206,1,0
1518442564,0,1
1518443051,1,0
1518444488,1,0
1518446408,0,1
1518447365,0,1
1518450247,1,0
1518454085,1,1
1518456966,1,0
1518458888,0,1
1518460564,1,0
1518466087,0,1
1518468016,1,0
1518468490,3,1
1518469932,0,1
1518474964,1,0
1518476886,0,1
1518480966,0,1
1518481444,1,0
1518484087,0,1
1518485044,1,0
1518485528,1,3
1518487450,1,0
1518487930,0,1
1518489606,0,1
1518511698,5,0
1518516018,0,1
1518516967,1,0
1518519369,0,1
1518520087,1,0
1518520570,1,0
1518522252,0,2
1518523925,1,0
1518524887,1,0
1518527291,0,1
1518527764,0,1
1518529686,1,0
1518534492,1,0
1518535445,0,1
1518536406,1,1
1518537848,0,2
1518538329,2,0
1518539287,0,1
1518539768,2,0
1518543609,1,0
1518545527,0,2
1518548889,1,0
1518550327,0,1
1518554649,1,3
1518555628,4,0
1518561849,1,0
1518563287,0,1
1518571932,0,2
1518572405,3,1
1518572889,1,0
1518575770,0,1
1518599291,1,0
1518605531,1,0
1518609850,1,0
1518612008,0,2
1518612490,1,0
1518615365,1,1
1518617525,0,1
1518622089,1,0
1518627127,0,1
1518629527,1,0
1518631446,0,1
1518641052,3,1
1518642997,1,0
1518644408,1,0
1518646326,0,1
1518649453,1,0
1518651370,0,1
1518651847,1,0
1518654249,0,1
1518654727,1,0
1518657851,0,1
1518658806,1,1
1518659531,0,1
1518660485,1,0
1518662167,0,1
1518666247,0,1
1518666730,1,0
1518671288,1,0
1518672250,0,1
1518672726,1,1
1518686652,3,0
1518687605,0,1
1518688567,1,0
1518689293,1,0
1518691205,0,1
1518693126,1,0
1518694565,0,1
1518705369,0,1
1518706325,1,0
1518717132,0,1
1518719293,1,0
1518727446,1,3
1518730340,1,0
1518743288,1,1
1518745692,1,0
1518763696,278,245
1518774026,12,0
1518779047,1,0
1518780254,1,0
1518781209,0,1
1518786487,1,0
1518788172,0,1
1518792491,0,2
1518796818,2,0
1518797291,1,0
1518799206,0,1
1518805206,1,1
1518808325,1,0
1518809769,0,1
1518812171,1,0
1518813128,0,1
1518814089,4,2
1518816731,1,0
1518817696,1,0
1518818650,0,1
1518820571,1,0
1518822247,0,1
1518831133,1,0
1518837849,1,0
1518847447,1,0
1518849368,0,1
1518852729,1,0
1518862329,1,0
1518863768,0,1
1518864969,0,1
1518869770,1,0
1518871928,0,1
1518876249,1,0
1518889205,0,1
1518890887,1,0
1518892805,0,1
1518900487,2,1
1518905069,1,0
1518905525,1,0
1518907205,0,1
1518917769,1,0
1518925445,1,0
1518941287,1,0
1518942727,0,1
1518948740,2,0
1518950167,1,0
1518952092,0,1
1518953047,0,1
1518954007,2,0
1518955931,0,1
1518966486,1,0
1518967928,0,1
1518979208,0,1
1518984725,1,0
1518986895,1,2
1518989765,0,1
1518994569,1,0
1518997213,1,0
1518997685,0,1
1519000566,0,1
1519002487,1,0
1519004405,0,1
1519004891,0,1
1519005364,1,0
1519010649,1,0
1519013528,0,1
1519014492,1,0
1519016427,0,1
1519018805,1,0
1519026009,1,0
1519027929,0,1
1519034892,0,1
1519036331,1,0
1519037285,1,0
1519038486,0,1
1519039448,1,0
1519041849,0,1
1519045211,1,0
1519045690,1,0
1519047368,1,1
1519049287,1,0
1519050246,0,1
1519051205,1,1
1519063688,0,1
1519069926,2,0
1519073049,2,4
1519076405,1,0
1519080024,1,0
1519081924,0,1
1519083851,1,0
1519087928,1,0
1519089369,0,1
1519089846,1,0
1519090325,1,2
1519090809,1,0
1519092250,0,1
1519096096,1,0
1519110253,1,0
1519118888,0,1
1519119851,1,0
1519123690,1,0
1519124647,1,0
