DateTime,Entries,UniqueIPs
1517103131,4481,4589
1517111774,4486,4594
1517114168,4487,4595
1517131205,4488,4596
1517139127,4489,4597
1517148247,4491,4599
1517151662,4492,4600
1517156406,4493,4601
1517172251,4491,4599
1517188324,4490,4597
1517188810,4491,4598
1517189285,4489,4596
1517199396,4500,4607
1517200805,4499,4606
1517224810,4500,4607
1517226726,4501,4608
1517230087,4503,4610
1517240165,4504,4611
1517243086,4507,4614
1517258885,4510,4617
1517274726,4509,4616
1517275205,4510,4617
1517277129,4509,4616
1517277625,4510,4617
1517286742,4511,4618
1517298732,4512,4619
1517303046,4513,4621
1517313129,4514,4622
1517324891,4514,4623
1517330445,4528,4637
1517345049,4526,4635
1517345779,4527,4636
1517351766,4528,4637
1517360647,4527,4636
1517361606,4526,4635
1517362090,4524,4633
1517362567,4525,4634
1517363051,4524,4633
1517364488,4525,4634
1517374122,4528,4637
1517375047,4529,4638
1517388732,4530,4639
1517396652,4531,4640
1517407696,4642,4740
1517409373,4644,4742
1517413691,4645,4743
1517415610,4646,4744
1517416569,4648,4746
1517417764,4649,4747
1517424738,4650,4748
1517431450,4652,4749
1517444410,4653,4750
1517448245,4652,4749
1517448728,4653,4750
1517455931,4654,4751
1517456886,4655,4752
1517458809,4656,4753
1517471285,4657,4754
1517505394,4659,4756
1517508249,4660,4757
1517515446,4661,4758
1517517847,4657,4754
1517533926,4656,4753
1517534889,4655,4752
1517535365,4656,4753
1517535848,4654,4751
1517539689,4655,4752
1517541608,4656,4753
1517554086,4657,4754
1517586486,4658,4755
1517589132,4659,4756
1517592735,4660,4757
1517604246,4662,4760
1517620576,4661,4759
1517621531,4660,4758
1517622005,4662,4760
1517622969,4663,4761
1517623449,4662,4760
1517623926,4663,4761
1517624408,4664,4762
1517646729,4664,4763
1517654412,4665,4764
1517657528,4666,4765
1517680102,4667,4766
1517682007,4668,4767
1517686568,4669,4768
1517690646,4667,4766
1517706489,4666,4765
1517706967,4667,4766
1517709367,4666,4765
1517710090,4665,4764
1517724037,4666,4765
1517730007,4665,4764
1517752327,4666,4765
1517767949,4671,4770
1517768411,4672,4771
1517770572,4673,4772
1517777285,4676,4775
1517780170,4677,4776
1517793848,4676,4775
1517794328,4684,4783
1517794805,4683,4782
1517796020,4684,4783
1517830565,4685,4784
1517850246,4685,4785
1517855778,4686,4786
1517863449,4685,4785
1517871130,4686,4786
1517880253,4687,4787
1517880725,4687,4787
1517881210,4686,4786
1517881685,4688,4788
1517883604,4689,4789
1517888405,4690,4790
1517891769,4690,4791
1517899468,4693,4794
1517902328,4695,4796
1517902806,4697,4798
1517903289,4698,4799
1517904246,4696,4797
1517905207,4697,4798
1517907129,4698,4799
1517907619,4697,4798
1517910004,4698,4799
1517911447,4699,4800
1517913364,4698,4799
1517914336,4699,4800
1517917925,4700,4801
1517921526,4699,4800
1517922016,4700,4801
1517925846,4699,4800
1517935444,4700,4801
1517935927,4699,4800
1517942405,4700,4801
1517943135,4704,4805
1517944327,4703,4804
1517950090,4703,4804
1517954885,4704,4805
1517956328,4703,4804
1517963526,4704,4805
1517965927,4703,4804
1517966409,4702,4804
1517966891,4702,4804
1517967364,4692,4794
1517967850,4691,4793
1517968325,4692,4794
1517969290,4693,4795
1517987066,4697,4799
1517990888,4698,4800
1517992805,4697,4799
1517997125,4696,4798
1517997616,4697,4799
1518001449,4698,4800
1518003366,4697,4799
1518006726,4696,4798
1518007209,4697,4799
1518013928,4698,4800
1518015850,4699,4801
1518019686,4700,4802
1518021610,4699,4801
1518023525,4700,4802
1518025924,4699,4801
1518026888,4698,4800
1518028329,4699,4801
1518030494,4698,4800
1518031925,4699,4801
1518034087,4698,4800
1518036005,4699,4801
1518036730,4699,4801
1518037451,4698,4800
1518038409,4699,4801
1518040327,4700,4802
1518044653,4701,4803
1518046577,4702,4804
1518048494,4701,4803
1518052328,4699,4801
1518052810,4700,4802
1518053766,4702,4804
1518054251,4701,4803
1518054727,4702,4804
1518057134,4701,4803
1518070327,4700,4802
1518070806,4701,4803
1518073690,4700,4802
1518074661,4703,4805
1518075127,4704,4806
1518077286,4706,4808
1518078727,4705,4807
1518079925,4704,4806
1518081608,4705,4807
1518083766,4704,4806
1518084256,4705,4807
1518084734,4706,4808
1518086648,4705,4807
1518087614,4706,4808
1518088090,4707,4809
1518090006,4706,4808
1518091449,4707,4809
1518093607,4706,4808
1518101525,4707,4809
1518102012,4706,4808
1518102066,4707,4809
1518102487,4708,4810
1518105847,4709,4811
1518108008,4708,4810
1518109446,4709,4811
1518112831,4708,4810
1518113286,4707,4809
1518115205,4708,4810
1518118331,4709,4811
1518118565,4708,4810
1518122886,4707,4809
1518125531,4708,4810
1518127690,4707,4809
1518136809,4708,4810
1518137285,4709,4811
1518138246,4708,4810
1518140164,4714,4816
1518155050,4715,4817
1518162268,4731,4833
1518170412,4730,4832
1518170890,4731,4833
1518172808,4730,4832
1518176165,4731,4833
1518179766,4732,4834
1518181687,4733,4835
1518183126,4732,4834
1518188887,4733,4835
1518192517,4732,4834
1518194169,4732,4834
1518196086,4731,4833
1518202090,4732,4834
1518205939,4734,4836
1518209286,4730,4831
1518211208,4731,4832
1518213851,4732,4833
1518215767,4731,4832
1518224890,4729,4830
1518226326,4723,4824
1518226809,4723,4824
1518228972,4722,4823
1518233525,4723,4824
1518246246,4724,4825
1518249627,4727,4828
1518252006,4728,4829
1518262333,4729,4830
1518265461,4728,4829
1518266410,4729,4830
1518269048,4728,4829
1518270005,4729,4830
1518272647,4728,4829
1518273129,4729,4830
1518273608,4730,4831
1518275527,4729,4830
1518276010,4730,4831
1518276966,4731,4832
1518278887,4730,4831
1518280330,4731,4832
1518284169,4730,4831
1518285613,4729,4830
1518293313,4736,4837
1518295451,4738,4840
1518311287,4739,4841
1518311770,4738,4840
1518312247,4739,4841
1518312731,4738,4840
1518313205,4737,4839
1518313690,4737,4839
1518314167,4738,4840
1518336985,4739,4841
1518338410,4740,4842
1518347527,4739,4841
1518348966,4740,4842
1518358088,4739,4841
1518358808,4740,4842
1518362413,4739,4841
1518362890,4740,4842
1518370566,4739,4841
1518376087,4740,4842
1518379927,4739,4841
1518380650,4741,4843
1518381365,4742,4844
1518382090,4741,4842
1518383047,4740,4841
1518384968,4741,4842
1518386889,4740,4841
1518394090,4741,4842
1518396007,4740,4841
1518399129,4738,4839
1518399607,4740,4841
1518416171,4741,4842
1518420249,4740,4841
1518424346,4761,4862
1518426965,4762,4863
1518429850,4761,4862
1518433925,4762,4863
1518436566,4761,4862
1518439206,4762,4863
1518442564,4761,4862
1518443051,4762,4863
1518444488,4763,4864
1518446408,4762,4863
1518447365,4761,4862
1518450247,4762,4863
1518454085,4762,4863
1518456966,4763,4864
1518458888,4762,4863
1518460564,4763,4864
1518466087,4762,4863
1518468016,4763,4864
1518468490,4764,4866
1518469932,4763,4865
1518474964,4764,4866
1518476886,4763,4865
1518480966,4762,4864
1518481444,4763,4865
1518484087,4762,4864
1518485044,4763,4865
1518485528,4761,4863
1518487450,4762,4864
1518487930,4761,4863
1518489606,4760,4862
1518511698,4765,4867
1518516018,4764,4866
1518516967,4765,4867
1518519369,4764,4866
1518520087,4765,4867
1518520570,4766,4868
1518522252,4764,4866
1518523925,4765,4867
1518524887,4766,4868
1518527291,4765,4867
1518527764,4764,4866
1518529686,4765,4867
1518534492,4766,4868
1518535445,4765,4867
1518536406,4765,4867
1518537848,4763,4865
1518538329,4765,4867
1518539287,4764,4866
1518539768,4766,4868
1518543609,4767,4869
1518545527,4765,4867
1518548889,4766,4868
1518550327,4765,4867
1518554649,4763,4865
1518555628,4767,4869
1518561849,4768,4870
1518563287,4767,4869
1518571932,4765,4867
1518572405,4767,4869
1518572889,4768,4870
1518575770,4767,4869
1518599291,4768,4870
1518605531,4769,4871
1518609850,4770,4872
1518612008,4768,4870
1518612490,4769,4871
1518615365,4769,4871
1518617525,4768,4870
1518622089,4769,4871
1518627127,4768,4870
1518629527,4769,4871
1518631446,4768,4870
1518641052,4770,4872
1518642997,4771,4873
1518644408,4772,4874
1518646326,4771,4873
1518649453,4772,4874
1518651370,4771,4873
1518651847,4772,4874
1518654249,4771,4873
1518654727,4772,4874
1518657851,4771,4873
1518658806,4771,4873
1518659531,4770,4872
1518660485,4771,4873
1518662167,4770,4872
1518666247,4769,4871
1518666730,4770,4872
1518671288,4771,4873
1518672250,4770,4872
1518672726,4770,4872
1518686652,4773,4875
1518687605,4772,4874
1518688567,4773,4875
1518689293,4774,4876
1518691205,4773,4875
1518693126,4774,4876
1518694565,4773,4875
1518705369,4772,4874
1518706325,4773,4875
1518717132,4772,4874
1518719293,4773,4875
1518727446,4771,4873
1518730340,4772,4874
1518743288,4772,4874
1518745692,4773,4875
1518763696,4795,4908
1518774026,4807,4920
1518779047,4808,4921
1518780254,4809,4922
1518781209,4808,4921
1518786487,4809,4922
1518788172,4808,4921
1518792491,4806,4919
1518796818,4808,4921
1518797291,4809,4922
1518799206,4808,4921
1518805206,4808,4921
1518808325,4809,4922
1518809769,4808,4921
1518812171,4809,4922
1518813128,4808,4921
1518814089,4810,4923
1518816731,4811,4924
1518817696,4812,4925
1518818650,4811,4924
1518820571,4812,4925
1518822247,4811,4924
1518831133,4812,4925
1518837849,4812,4926
1518847447,4813,4927
1518849368,4812,4926
1518852729,4813,4927
1518862329,4814,4928
1518863768,4813,4927
1518864969,4812,4926
1518869770,4813,4927
1518871928,4812,4926
1518876249,4813,4927
1518889205,4812,4926
1518890887,4813,4927
1518892805,4812,4926
1518900487,4813,4927
1518905069,4814,4928
1518905525,4815,4929
1518907205,4814,4928
1518917769,4815,4929
1518925445,4816,4930
1518941287,4817,4931
1518942727,4816,4930
1518948740,4818,4932
1518950167,4819,4933
1518952092,4818,4932
1518953047,4817,4931
1518954007,4819,4933
1518955931,4818,4932
1518966486,4819,4933
1518967928,4818,4932
1518979208,4817,4931
1518984725,4818,4932
1518986895,4817,4931
1518989765,4816,4930
1518994569,4817,4931
1518997213,4818,4932
1518997685,4817,4931
1519000566,4816,4930
1519002487,4817,4931
1519004405,4816,4930
1519004891,4815,4929
1519005364,4816,4930
1519010649,4817,4931
1519013528,4816,4930
1519014492,4817,4931
1519016427,4816,4930
1519018805,4817,4931
1519026009,4818,4932
1519027929,4817,4931
1519034892,4816,4930
1519036331,4817,4931
1519037285,4818,4932
1519038486,4817,4931
1519039448,4818,4932
1519041849,4817,4931
1519045211,4818,4932
1519045690,4819,4933
1519047368,4819,4933
1519049287,4820,4934
1519050246,4819,4933
1519051205,4819,4933
1519063688,4818,4932
1519069926,4820,4934
1519073049,4818,4932
1519076405,4819,4933
1519080024,4820,4934
1519081924,4819,4933
1519083851,4820,4934
1519087928,4821,4935
1519089369,4821,4934
1519089846,4821,4935
1519090325,4820,4934
1519090809,4821,4935
1519092250,4820,4934
1519096096,4821,4935
1519110253,4822,4936
1519118888,4821,4935
1519119851,4822,4936
1519123690,4823,4937
1519124647,4824,4938
