DateTime,AddedIPs,RemovedIPs
1518128428,17,38
1518131324,60,56
1518133287,28,38
1518135143,19,39
1518137056,20,34
1518139239,575,0
1518141134,12,12
1518143307,10,20
1518145229,27,36
1518147141,18,26
1518149065,11,21
1518150985,14,12
1518152896,17,23
1518155073,14,21
1518157036,11,18
1518158907,17,12
1518160829,21,22
1518162735,35,23
1518164663,39,28
1518166575,28,29
1518168492,12,30
1518170419,53,54
1518172342,25,31
1518174259,36,23
1518176177,27,36
1518178107,14,1396
1518180021,32,39
1518182182,647,0
1518184103,39,29
1518186273,29,22
1518188429,46,37
1518190584,26,17
1518192535,35,19
1518194420,23,21
1518196585,18,20
1518198502,21,23
1518200417,21,26
1518202339,26,21
1518204251,13,29
1518206178,27,30
1518208089,27,25
1518210031,41,53
1518212180,21,17
1518214101,20,27
1518216010,19,27
1518217950,16,47
1518220104,11,20
1518222035,35,27
1518223937,20,38
1518225871,576,0
1518227775,19,27
1518229957,38,30
1518231863,10,20
1518234030,13,17
1518235950,9,18
1518237871,14,20
1518239793,10,18
1518241696,9,22
1518243871,10,24
1518245773,15,20
1518247712,14,26
1518249626,43,53
1518251547,17,28
1518253474,12,23
1518255395,18,16
1518257545,20,25
1518259474,25,25
1518261395,22,47
1518263313,20,18
1518265482,25,1272
1518267376,26,28
1518269553,571,0
1518271469,13,15
1518273630,21,20
1518275588,30,11
1518277466,31,21
1518279397,12,20
1518281314,19,19
1518283235,16,15
1518285152,23,17
1518287071,22,13
1518289239,34,42
1518291152,7,28
1518293312,26,41
1518295462,22,33
1518297389,25,17
1518299775,14,25
1518301699,20,32
1518303629,40,64
1518305972,25,31
1518307967,23,14
1518309868,17,20
1518311796,507,0
1518313709,13,11
1518315864,20,13
1518317786,17,17
1518319708,18,11
1518321630,22,38
1518323792,10,18
1518325711,17,15
1518327868,18,15
1518329792,21,13
1518331945,17,18
1518333863,16,21
1518335777,17,28
1518337943,33,70
1518339873,22,16
1518341788,18,24
1518343713,19,32
1518345625,7,26
1518347554,17,37
1518349467,26,31
1518351550,43,1091
1518353773,25,32
1518355956,462,0
1518358101,24,17
1518360011,21,20
1518362440,36,11
1518364336,20,18
1518366263,32,13
1518368171,22,15
1518370099,26,12
1518372032,56,21
1518374193,28,10
1518376103,23,12
1518378022,29,10
1518379946,19,28
1518382113,30,20
1518384028,31,16
1518385939,29,18
1518387858,25,17
1518390036,69,54
1518392243,36,18
1518394122,26,24
1518396026,35,31
1518398186,409,0
1518400098,30,21
1518402030,36,13
1518403947,26,16
1518405869,25,10
1518407773,24,13
1518409698,20,9
1518411635,51,23
1518413785,28,9
1518415712,35,10
1518417855,25,9
1518419796,19,11
1518421939,33,10
1518423869,27,26
1518425768,21,15
1518427949,41,31
1518429862,19,16
1518431782,32,30
1518433944,32,19
1518435865,46,16
1518437698,36,952
1518439696,41,18
1518441609,455,0
1518443530,33,18
1518445453,41,19
1518447372,22,21
1518449299,43,18
1518451216,75,23
1518453142,20,10
1518455063,28,18
1518456975,30,19
1518458918,22,14
1518460821,21,22
1518462750,29,16
1518464672,31,12
1518466589,32,19
1518468520,29,15
1518470423,23,26
1518472585,23,14
1518474505,46,17
1518476445,61,26
1518478754,44,26
1518480738,32,43
1518482654,19,18
1518484586,414,0
1518486510,19,14
1518488423,9,17
1518490334,27,17
1518492264,23,16
1518494171,19,12
1518496111,16,11
1518498036,36,25
1518499947,19,15
1518501860,15,11
1518504026,19,17
1518505944,17,14
1518507870,38,11
1518509799,25,21
1518511697,37,14
1518513628,24,26
1518515544,30,14
1518517468,177,19
1518519379,21,6
1518521548,85,43
1518523480,50,1366
1518526686,58,44
1518528491,746,0
