DateTime,Entries,UniqueIPs
1518128428,2408,2408
1518131324,2412,2412
1518133287,2402,2402
1518135143,2382,2382
1518137056,2368,2368
1518139239,2943,2943
1518141134,2943,2943
1518143307,2933,2933
1518145229,2924,2924
1518147141,2916,2916
1518149065,2906,2906
1518150985,2908,2908
1518152896,2902,2902
1518155073,2895,2895
1518157036,2888,2888
1518158907,2893,2893
1518160829,2892,2892
1518162735,2904,2904
1518164663,2915,2915
1518166575,2914,2914
1518168492,2896,2896
1518170419,2895,2895
1518172342,2889,2889
1518174259,2902,2902
1518176177,2893,2893
1518178107,1511,1511
1518180021,1504,1504
1518182182,2151,2151
1518184103,2161,2161
1518186273,2168,2168
1518188429,2177,2177
1518190584,2186,2186
1518192535,2202,2202
1518194420,2204,2204
1518196585,2202,2202
1518198502,2200,2200
1518200417,2195,2195
1518202339,2200,2200
1518204251,2184,2184
1518206178,2181,2181
1518208089,2183,2183
1518210031,2171,2171
1518212180,2175,2175
1518214101,2168,2168
1518216010,2160,2160
1518217950,2129,2129
1518220104,2120,2120
1518222035,2128,2128
1518223937,2110,2110
1518225871,2686,2686
1518227775,2678,2678
1518229957,2686,2686
1518231863,2676,2676
1518234030,2672,2672
1518235950,2663,2663
1518237871,2657,2657
1518239793,2649,2649
1518241696,2636,2636
1518243871,2622,2622
1518245773,2617,2617
1518247712,2605,2605
1518249626,2595,2595
1518251547,2584,2584
1518253474,2573,2573
1518255395,2575,2575
1518257545,2570,2570
1518259474,2570,2570
1518261395,2545,2545
1518263313,2547,2547
1518265482,1300,1300
1518267376,1298,1298
1518269553,1869,1869
1518271469,1867,1867
1518273630,1868,1868
1518275588,1887,1887
1518277466,1897,1897
1518279397,1889,1889
1518281314,1889,1889
1518283235,1890,1890
1518285152,1896,1896
1518287071,1905,1905
1518289239,1897,1897
1518291152,1876,1876
1518293312,1861,1861
1518295462,1850,1850
1518297389,1858,1858
1518299775,1847,1847
1518301699,1835,1835
1518303629,1811,1811
1518305972,1805,1805
1518307967,1814,1814
1518309868,1811,1811
1518311796,2318,2318
1518313709,2320,2320
1518315864,2327,2327
1518317786,2327,2327
1518319708,2334,2334
1518321630,2318,2318
1518323792,2310,2310
1518325711,2312,2312
1518327868,2315,2315
1518329792,2323,2323
1518331945,2322,2322
1518333863,2317,2317
1518335777,2306,2306
1518337943,2269,2269
1518339873,2275,2275
1518341788,2269,2269
1518343713,2256,2256
1518345625,2237,2237
1518347554,2217,2217
1518349467,2212,2212
1518351550,1164,1164
1518353773,1157,1157
1518355956,1619,1619
1518358101,1626,1626
1518360011,1627,1627
1518362440,1652,1652
1518364336,1654,1654
1518366263,1673,1673
1518368171,1680,1680
1518370099,1694,1694
1518372032,1729,1729
1518374193,1747,1747
1518376103,1758,1758
