DateTime,AddedIPs,RemovedIPs
1511754742,7,1
1511769629,8,0
1511784272,2,2
1511798899,3,2
1511813544,15,0
1511828181,12,0
1511842814,9,1
1511857451,15,3
1511872350,8,0
1511887224,16,1
1511901855,6,0
1511916488,9,0
1511931131,9,0
1511945783,11,3
1511960416,14,2
1511975057,13,0
1511989699,9,1
1512004347,9,1
1512018966,12,0
1512033634,11,0
1512048270,7,0
1512062901,10,0
1512077553,5,0
1512092167,6,0
1512106953,2,1
1512121700,9,0
1512136600,3,3
1512151257,4,0
1512165877,10,3
1512180750,2,1
1512195631,4,0
1512210515,11,1
1512225125,4,1
1512239786,3,8
1512254424,11,3
1512269069,6,0
1512283687,4,0
1512298343,3,2
1512312971,4,1
1512327646,3,2
1512342670,9,0
1512357388,5,0
1512372018,4,0
1512386665,10,0
1512401304,6,0
1512416187,6,1
1512431303,7,1
1512445939,6,1
1512460589,4,1
1512475228,9,1
1512489852,4,2
1512504499,7,0
1512519130,9,1
1512533840,4,0
1512548408,1,0
1512563066,8,0
1512577701,6,0
1512592313,6,0
1512606969,8,0
1512621628,7,0
1512636267,3,2
1512650896,9,0
1512665540,2,2
1512680184,6,0
1512694818,4,1
1512709451,4,0
1512724352,4,0
1512739228,5,0
1512754110,7,0
1512768746,8,2
1512783629,8,0
1512798247,5,1
1512812975,5,0
1512827785,8,0
1512842440,4,0
1512857051,9,0
1512871953,7,0
1512886828,5,0
1512901451,8,0
1512916086,9,0
1512930733,8,1
1512945629,6,0
1512960266,10,0
1512975145,5,1
1512989772,3,0
1513004447,8,0
1513019075,5,1
1513033691,5,0
1513048599,6,2
1513063204,6,0
1513077852,3,2
1513092502,13,1
1513107392,10,0
1513122122,7,9
1513136654,7,1
1513151306,5,1
1513165953,7,0
1513180875,5,0
1513195698,4,1
1513210349,6,1
1513224978,8,1
1513239609,1,0
1513254275,2,0
1513268907,3,0
1513283529,5,1
1513298188,7,1
1513313064,16,1
1513327940,9,0
1513342569,13,0
1513357963,17,0
1513372820,10,0
1513387478,12,0
1513402348,11,0
1513417040,10,1
1513431623,9,0
1513446256,6,0
1513460893,5,0
1513475547,7,2
1513490181,9,2
1513504832,4,4
1513519447,6,0
1513534344,8,0
1513549478,9,0
1513564091,4,1
1513578742,8,1
1513593371,5,1
1513608025,2,0
1513622650,9,1
1513637308,10,2
1513651940,5,2
1513666834,7,0
1513681452,9,2
1513696352,4,1
1513711000,5,1
1513725860,9,1
1513740520,3,0
1513755150,7,1
1513770026,10,0
1513784653,12,0
1513799543,11,0
1513814447,10,0
1513829294,3,0
1513844430,2,1
1513859086,6,1
1513873707,8,2
1513888586,4,0
1513903456,6,0
1513918352,3,1
1513932966,5,1
1513947663,9,0
1513962250,6,1
1513976904,4,1
1513991794,8,1
1514006665,6,0
1514021285,5,1
1514035928,6,0
1514050585,4,1
1514065454,2,1
1514080585,9,0
1514095221,4,0
1514109858,7,0
1514124502,7,1
1514139393,3,1
1514154021,4,2
1514168894,5,0
1514183790,7,0
1514198658,10,0
1514213293,3,0
1514227946,7,0
1514242583,1,0
1514257481,3,0
1514272084,6,1
1514286747,2,1
1514301384,6,1
1514316026,7,2
1514330654,3,0
1514345306,7,0
1514360189,5,1
1514374829,2,0
1514389714,4,0
1514404588,12,3
1514419477,6,0
1514434344,8,2
1514448973,10,1
1514463874,2,1
1514478516,9,1
1514493391,12,0
1514508009,7,0
1514522672,5,1
1514537296,9,0
1514551933,5,0
1514566835,3,0
1514581697,4,0
1514596592,5,0
1514611206,5,0
1514625858,7,0
1514640492,5,1
1514655130,12,0
1514669790,7,0
1514684424,5,3
1514699297,5,0
