DateTime,AddedIPs,RemovedIPs
1518670803,655,529
1518671703,634,453
1518672602,535,644
1518673503,578,511
1518674403,562,525
1518675303,635,503
1518676203,640,521
1518677103,666,473
1518678003,642,468
1518678903,689,444
1518679803,753,467
1518680702,626,434
1518681603,578,463
1518682503,659,531
1518683404,602,604
1518684303,563,546
1518685203,736,567
1518686103,764,593
1518687003,721,559
1518687903,813,521
1518688803,758,476
1518689704,749,520
1518690603,639,530
1518691503,685,532
1518692403,715,539
1518693304,740,492
1518694203,673,798
1518695103,697,515
1518696002,729,569
1518696903,723,494
1518697803,824,506
1518698703,789,508
1518699603,639,564
1518700504,470,595
1518701404,328,720
1518702304,376,715
1518703204,436,638
1518704103,493,620
1518705003,471,654
1518705904,509,641
1518706803,586,598
1518707703,492,613
1518708603,458,720
1518709503,512,614
1518710403,584,680
1518711303,658,655
1518712203,547,721
1518713103,523,721
1518714003,674,798
1518714903,725,782
1518715803,603,698
1518716703,612,842
1518717603,630,677
1518718503,553,724
1518719403,579,747
1518720303,563,812
1518721203,598,781
1518722103,482,723
1518723002,581,607
1518723903,576,641
1518724802,592,577
1518725703,522,512
1518726603,519,591
1518727503,434,537
1518728403,360,522
1518729303,456,698
1518730203,510,732
1518731103,430,675
1518732002,427,783
1518732903,480,750
1518733803,472,768
1518734703,475,609
1518735603,416,625
1518736503,395,699
1518737403,494,745
1518738303,415,840
1518739202,503,744
1518740102,462,713
1518741002,464,704
1518741903,466,776
1518742803,476,751
1518743703,403,664
1518744603,394,473
1518745503,401,432
1518746402,432,453
1518747303,394,555
1518748202,433,512
1518749103,436,518
1518750003,361,552
1518750903,464,529
1518751802,416,429
1518752703,442,435
1518753603,423,464
1518754503,435,509
1518755402,450,543
1518756303,406,510
1518757203,437,446
1518758102,401,603
1518759003,442,571
1518759903,427,448
1518760803,540,468
1518761703,413,557
1518762603,525,462
1518763503,505,425
1518764403,520,477
1518765303,419,499
1518766203,505,415
1518767102,533,456
1518768002,543,486
1518768903,521,508
1518769802,551,457
1518770703,540,479
1518771602,534,383
1518772502,525,353
1518773403,588,458
1518774303,559,475
1518775202,386,395
1518776102,422,447
1518777003,515,471
1518777902,553,484
1518778803,473,496
1518779703,515,414
1518780603,523,397
1518781503,449,522
1518782402,537,436
1518783302,578,512
1518784202,586,472
1518785103,477,517
1518786003,484,468
1518786903,590,491
1518787803,387,413
1518788703,424,464
1518789602,525,440
1518790503,495,422
1518791403,508,443
1518792302,610,457
1518793203,703,471
1518794103,555,412
1518795003,559,539
1518796802,1054,957
1518797703,593,404
1518798603,598,425
1518799503,536,470
1518800403,536,450
1518801302,604,469
1518802203,560,492
1518803102,565,453
1518804002,477,442
1518804903,414,592
1518805803,434,491
1518806703,491,544
1518807603,432,549
1518808503,499,541
1518809403,458,472
1518810303,436,521
1518811203,448,567
1518812103,459,533
1518813003,380,496
1518813902,399,539
1518814803,373,571
1518815702,417,606
1518816602,373,524
1518817503,328,601
1518818403,335,575
1518819302,281,495
1518820203,312,533
1518821102,329,589
1518822002,382,594
1518822902,410,495
1518823803,277,555
1518824702,324,569
1518825602,396,508
1518826503,354,480
1518827402,307,536
1518828302,354,560
1518829203,360,499
1518830102,362,493
1518831002,310,647
1518831902,243,387
1518832803,256,456
1518833703,315,564
1518834603,320,556
1518835502,303,511
1518836402,278,573
1518837303,352,608
1518838203,268,504
1518839102,279,523
1518840003,270,466
1518840902,383,431
1518841802,324,464
1518842702,312,455
1518843602,343,423
1518844502,346,515
1518845402,340,492
1518846302,302,447
1518847201,265,468
1518848102,330,473
1518849002,390,376
1518849902,320,378
1518850803,328,438
1518851702,387,368
1518852603,365,377
1518853502,297,377
1518854402,337,324
1518855302,450,369
1518856202,415,395
1518857102,408,371
1518858002,348,358
1518858902,314,360
1518859802,355,422
1518860703,249,346
1518861602,259,324
1518862502,350,324
1518863403,398,299
1518864302,311,367
1518865203,377,345
1518866102,350,381
1518867002,356,419
1518867901,292,323
1518868802,429,351
1518869702,427,347
1518870603,620,344
1518871502,433,343
1518872402,423,347
1518873302,530,391
1518874203,474,415
1518875102,437,352
1518876003,503,253
1518876902,423,290
1518877803,333,379
1518878704,407,332
1518879603,557,371
1518882302,1646,924
1518883202,516,277
1518884103,407,283
1518885002,557,394
1518885902,528,358
1518886803,626,339
1518887703,491,365
1518888602,591,347
1518889503,564,342
1518890402,614,277
1518891303,506,368
1518892202,514,455
1518893103,548,556
1518894002,580,412
1518894902,530,380
1518895802,494,463
1518896702,453,437
1518897602,563,377
1518898503,487,400
1518899402,396,401
1518900303,434,390
1518901202,408,364
1518902103,347,356
1518903002,325,331
1518903902,282,449
1518904803,389,315
1518905702,324,265
1518906603,345,355
1518907502,309,383
1518908403,316,330
1518909303,314,427
1518910203,352,398
1518911102,324,411
1518912002,357,318
1518912903,357,395
1518913802,339,392
1518914702,353,447
1518915602,289,379
1518916503,356,421
1518917402,318,491
1518918302,292,431
1518919203,314,422
1518920102,292,526
1518921002,342,503
1518921902,367,410
1518922803,367,448
1518923702,419,578
1518924603,386,577
1518925502,359,441
1518926403,365,490
1518927302,491,551
1518928202,364,371
1518929102,344,481
1518930003,364,477
1518930902,428,530
1518931802,477,423
1518932702,344,540
1518933602,330,533
1518934502,381,527
1518935402,417,451
1518936303,431,501
1518937202,410,533
1518938102,363,488
1518939002,439,465
1518939902,463,442
1518940802,447,377
1518941702,386,443
1518942602,331,370
1518943502,381,286
1518944402,391,350
1518945302,311,344
1518946203,51,362
1518948002,779,606
1518948902,301,366
1518949802,361,368
1518950703,354,365
1518951602,374,311
1518952502,336,296
1518953402,328,330
1518954302,385,401
