DateTime,Entries,UniqueIPs
1518670803,26228,26228
1518671703,26409,26409
1518672602,26300,26300
1518673503,26367,26367
1518674403,26404,26404
1518675303,26536,26536
1518676203,26655,26655
1518677103,26848,26848
1518678003,27022,27022
1518678903,27267,27267
1518679803,27553,27553
1518680702,27745,27745
1518681603,27860,27860
1518682503,27988,27988
1518683404,27986,27986
1518684303,28003,28003
1518685203,28172,28172
1518686103,28343,28343
1518687003,28505,28505
1518687903,28797,28797
1518688803,29079,29079
1518689704,29308,29308
1518690603,29417,29417
1518691503,29570,29570
1518692403,29746,29746
1518693304,29994,29994
1518694203,29869,29869
1518695103,30051,30051
1518696002,30211,30211
1518696903,30440,30440
1518697803,30758,30758
1518698703,31039,31039
1518699603,31114,31114
1518700504,30989,30989
1518701404,30597,30597
1518702304,30258,30258
1518703204,30056,30056
1518704103,29929,29929
1518705003,29746,29746
1518705904,29614,29614
1518706803,29602,29602
1518707703,29481,29481
1518708603,29219,29219
1518709503,29117,29117
1518710403,29021,29021
1518711303,29024,29024
1518712203,28850,28850
1518713103,28652,28652
1518714003,28528,28528
1518714903,28471,28471
1518715803,28376,28376
1518716703,28146,28146
1518717603,28099,28099
1518718503,27928,27928
1518719403,27760,27760
1518720303,27511,27511
1518721203,27328,27328
1518722103,27087,27087
1518723002,27061,27061
1518723903,26996,26996
1518724802,27011,27011
1518725703,27021,27021
1518726603,26949,26949
1518727503,26846,26846
1518728403,26684,26684
1518729303,26442,26442
1518730203,26220,26220
1518731103,25975,25975
1518732002,25619,25619
1518732903,25349,25349
1518733803,25053,25053
1518734703,24919,24919
1518735603,24710,24710
1518736503,24406,24406
1518737403,24155,24155
1518738303,23730,23730
1518739202,23489,23489
1518740102,23238,23238
1518741002,22998,22998
1518741903,22688,22688
1518742803,22413,22413
1518743703,22152,22152
1518744603,22073,22073
1518745503,22042,22042
1518746402,22021,22021
1518747303,21860,21860
1518748202,21781,21781
1518749103,21699,21699
1518750003,21508,21508
1518750903,21443,21443
1518751802,21430,21430
1518752703,21437,21437
1518753603,21396,21396
1518754503,21322,21322
1518755402,21229,21229
1518756303,21125,21125
1518757203,21116,21116
1518758102,20914,20914
1518759003,20785,20785
1518759903,20764,20764
1518760803,20836,20836
1518761703,20692,20692
1518762603,20755,20755
1518763503,20835,20835
1518764403,20878,20878
1518765303,20798,20798
1518766203,20888,20888
1518767102,20965,20965
1518768002,21022,21022
1518768903,21035,21035
1518769802,21129,21129
1518770703,21190,21190
1518771602,21341,21341
1518772502,21513,21513
1518773403,21643,21643
1518774303,21727,21727
1518775202,21718,21718
1518776102,21693,21693
1518777003,21737,21737
1518777902,21806,21806
1518778803,21783,21783
1518779703,21884,21884
1518780603,22010,22010
1518781503,21937,21937
1518782402,22038,22038
1518783302,22104,22104
1518784202,22218,22218
1518785103,22178,22178
1518786003,22194,22194
1518786903,22293,22293
1518787803,22267,22267
1518788703,22227,22227
1518789602,22312,22312
1518790503,22385,22385
1518791403,22450,22450
1518792302,22603,22603
1518793203,22835,22835
1518794103,22978,22978
1518795003,22998,22998
1518796802,23095,23095
1518797703,23284,23284
1518798603,23457,23457
1518799503,23523,23523
1518800403,23609,23609
1518801302,23744,23744
1518802203,23812,23812
1518803102,23924,23924
1518804002,23959,23959
1518804903,23781,23781
1518805803,23724,23724
1518806703,23671,23671
1518807603,23554,23554
1518808503,23512,23512
1518809403,23498,23498
1518810303,23413,23413
1518811203,23294,23294
1518812103,23220,23220
1518813003,23104,23104
1518813902,22964,22964
1518814803,22766,22766
1518815702,22577,22577
1518816602,22426,22426
1518817503,22153,22153
1518818403,21913,21913
1518819302,21699,21699
1518820203,21478,21478
1518821102,21218,21218
1518822002,21006,21006
1518822902,20921,20921
1518823803,20643,20643
1518824702,20398,20398
1518825602,20286,20286
1518826503,20160,20160
1518827402,19931,19931
1518828302,19725,19725
1518829203,19586,19586
1518830102,19455,19455
1518831002,19118,19118
1518831902,18974,18974
1518832803,18774,18774
1518833703,18525,18525
1518834603,18289,18289
1518835502,18081,18081
1518836402,17786,17786
1518837303,17530,17530
1518838203,17294,17294
1518839102,17050,17050
1518840003,16854,16854
1518840902,16806,16806
1518841802,16666,16666
1518842702,16523,16523
1518843602,16443,16443
1518844502,16274,16274
1518845402,16122,16122
1518846302,15977,15977
1518847201,15774,15774
1518848102,15631,15631
1518849002,15645,15645
1518849902,15587,15587
1518850803,15477,15477
1518851702,15496,15496
1518852603,15484,15484
1518853502,15404,15404
1518854402,15417,15417
1518855302,15498,15498
1518856202,15518,15518
1518857102,15555,15555
1518858002,15545,15545
1518858902,15499,15499
1518859802,15432,15432
1518860703,15335,15335
1518861602,15270,15270
1518862502,15296,15296
1518863403,15395,15395
1518864302,15339,15339
1518865203,15371,15371
1518866102,15340,15340
1518867002,15277,15277
1518867901,15246,15246
1518868802,15324,15324
1518869702,15404,15404
1518870603,15680,15680
1518871502,15770,15770
1518872402,15846,15846
1518873302,15985,15985
1518874203,16044,16044
1518875102,16129,16129
1518876003,16379,16379
1518876902,16512,16512
1518877803,16466,16466
1518878704,16541,16541
1518879603,16727,16727
1518882302,17449,17449
1518883202,17688,17688
1518884103,17812,17812
1518885002,17975,17975
1518885902,18145,18145
1518886803,18432,18432
1518887703,18558,18558
1518888602,18802,18802
1518889503,19024,19024
1518890402,19361,19361
1518891303,19499,19499
1518892202,19558,19558
1518893103,19550,19550
1518894002,19718,19718
1518894902,19868,19868
1518895802,19899,19899
1518896702,19915,19915
1518897602,20101,20101
1518898503,20188,20188
1518899402,20183,20183
1518900303,20227,20227
1518901202,20271,20271
1518902103,20262,20262
1518903002,20256,20256
1518903902,20089,20089
1518904803,20163,20163
