DateTime,AddedIPs,RemovedIPs
1516970428,10,15
1516975829,2,11
1516980628,7,3
1516984225,4,0
1516991426,4,1
1516995029,4,9
1517002226,5,3
1517005829,2,6
1517009425,2,0
1517013027,3,5
1517020225,6,21
1517024427,3,10
1517029828,9,6
1517035228,4,7
1517040628,6,13
1517045428,3,5
1517049025,4,5
1517052629,2,5
1517056226,3,0
1517059829,10,9
1517067026,7,8
1517070629,5,4
1517074828,11,16
1517079628,7,0
1517083226,6,0
1517086828,3,4
1517094027,9,8
1517097629,9,0
1517101225,1,9
1517105428,2,34
1517109026,2,0
1517114428,9,5
1517119829,3,16
1517123427,1,0
1517127027,4,0
1517130628,2,15
1517133628,7,13
1517137226,6,0
1517141428,4,16
1517146829,11,0
1517152228,4,22
1517157628,6,0
1517161225,13,10
1517164228,15,0
1517167826,8,15
1517171429,8,0
1517175026,4,3
1517182227,13,9
1517185829,6,8
1517189426,10,5
1517193028,4,19
1517197228,7,21
1517202629,10,12
1517208028,5,11
1517213428,1,4
1517217026,3,0
1517222428,4,25
1517227828,2,0
1517233230,5,11
1517239230,6,12
1517243429,5,10
1517247629,4,16
1517251226,1,0
1517256030,7,4
1517259626,12,0
1517263829,9,15
1517268029,8,6
1517273429,16,8
1517278228,13,0
1517284228,8,9
1517289629,9,12
1517294429,5,7
1517298026,4,0
1517303429,5,19
1517308828,7,10
1517314229,4,5
1517319629,6,6
1517325030,5,8
1517330430,2,12
1517335830,5,9
1517339426,7,0
1517344229,2,13
1517348428,3,14
1517353830,9,0
1517359229,11,8
1517364630,12,0
1517370630,8,12
1517375429,4,10
1517380230,9,17
1517383826,4,0
1517388030,5,10
1517391625,1,0
1517396429,9,6
1517400026,6,11
1517403629,9,0
1517407225,7,7
1517410829,2,5
1517418028,14,8
1517421630,7,6
1517428826,8,2
1517432429,1,19
1517436026,2,8
1517440233,4,4
1517445629,54,16
1517451028,27,0
1517456430,38,27
1517461829,14,0
1517467229,5,13
1517472029,10,13
1517475626,2,0
1517479229,8,14
1517482826,3,6
1517487031,5,0
1517493030,10,5
1517497830,4,7
1517502633,11,9
1517506226,14,0
1517509830,4,9
1517514030,6,3
1517518831,4,2
1517523028,11,7
1517527830,3,5
1517532030,1,10
1517538029,3,9
1517542830,2,12
1517548229,8,10
1517553029,5,7
1517556626,4,8
1517563826,3,13
1517567430,2,2
1517574626,7,7
1517578229,4,0
1517581827,5,12
1517586030,8,21
1517590831,6,0
1517594426,2,0
1517598029,4,2
1517601626,3,5
1517605830,6,3
1517610629,11,4
1517614226,9,0
1517618429,7,12
1517622031,7,0
1517625627,7,6
1517631028,5,8
1517636429,1,16
1517640026,2,0
1517643629,0,7
1517647225,2,0
1517652629,2,18
1517656225,1,0
1517661630,2,13
1517667029,7,3
1517672431,3,2
1517677229,3,3
1517680825,6,0
1517684430,3,6
1517688629,2,13
1517692225,5,0
1517695831,4,0
1517701234,51,10
1517706629,52,10
1517711430,69,13
1517715027,7,0
1517719230,14,7
1517722827,11,0
1517726430,2,0
1517731231,2,11
1517734826,2,0
1517738430,3,9
1517742027,4,8
1517745630,2,0
1517749830,3,11
1517755231,2,5
1517759429,3,8
1517763630,4,9
1517767226,15,0
1517771430,8,7
1517776230,3,5
1517779828,7,9
1517783430,1,0
1517787027,6,0
1517794226,6,10
1517798429,3,9
1517804434,9,9
1517809229,4,8
1517814629,7,4
1517819429,3,15
1517823026,3,0
1517826632,4,0
1517830830,2,5
1517835030,8,5
1517839229,2,10
1517846430,6,9
1517850028,1,0
1517853629,9,2
1517857227,2,8
1517861430,5,30
1517866232,5,0
1517870432,4,5
1517875831,11,17
1517881230,3,7
1517886630,7,7
1517892630,3,15
1517897431,2,6
1517900426,6,0
1517904029,5,15
1517907627,2,0
1517914826,6,5
1517922027,7,6
1517925629,1,0
1517929830,6,13
1517934029,10,8
1517938229,4,0
1517941826,6,0
1517945429,2,8
1517952632,6,4
1517956829,2,14
1517960426,3,0
1517963430,1,9
1517967025,2,13
1517970630,4,0
1517974227,1,13
1517978429,5,13
1517982026,9,0
1517986828,1,21
1517990426,4,0
1517993428,2,0
1517997025,1,12
1518004226,7,9
1518008429,3,6
1518012026,3,0
1518015629,4,6
1518019225,6,8
1518022230,4,0
1518026430,7,10
1518030026,4,0
1518033029,4,0
1518037229,4,7
1518040827,4,0
1518043829,3,0
1518048629,6,13
1518052226,9,0
1518057029,3,38
1518060626,3,0
1518063628,3,21
1518067828,1,10
1518071425,2,0
1518075029,0,12
1518078025,1,0
1518081628,3,8
1518088826,8,14
1518092429,2,20
1518096629,5,10
1518100226,8,0
1518103228,5,0
1518106826,7,7
1518110429,8,11
1518114629,4,12
1518118226,9,0
1518121828,5,0
1518125427,7,4
1518129031,3,2
1518132026,4,6
1518135629,7,4
1518142826,5,1
1518147628,4,33
1518150626,1,85
1518154228,3,0
1518157826,1,6
1518161428,1,15
