DateTime,AddedIPs,RemovedIPs
1516991426,230,182
1516995029,96,82
1517002226,207,156
1517005829,129,88
1517009425,86,72
1517013027,106,120
1517020225,164,243
1517024427,95,97
1517029828,172,192
1517035228,143,182
1517040628,125,170
1517045428,143,130
1517049025,104,118
1517052629,85,94
1517056226,93,91
1517059829,108,95
1517067026,208,196
1517070629,104,84
1517074828,137,113
1517079628,136,153
1517083226,120,104
1517086828,125,87
1517094027,243,179
1517097629,97,111
1517101225,110,102
1517105428,130,121
1517109026,89,106
1517114428,151,178
1517119829,119,163
1517123427,94,101
1517127027,99,94
1517130628,88,99
1517133628,126,105
1517137226,113,98
1517141428,102,101
1517146829,136,183
1517152228,111,126
1517157628,157,150
1517161225,92,93
1517164228,86,65
1517167826,152,103
1517171429,117,86
1517175026,129,83
1517182227,207,175
1517185829,143,130
1517189426,108,101
1517193028,87,76
1517197228,138,154
1517202629,147,154
1517208028,151,214
1517213428,106,142
1517217026,85,143
1517222428,166,138
1517227828,171,93
1517233230,155,162
1517239230,150,187
1517243429,114,129
1517247629,118,88
1517251226,131,102
1517256030,134,107
1517259626,153,99
1517263829,137,116
1517268029,124,120
1517273429,163,237
1517278228,165,175
1517284228,192,161
1517289629,170,206
1517294429,126,183
1517298026,117,121
1517303429,138,177
1517308828,173,152
1517314229,165,130
1517319629,176,188
1517325030,161,158
1517330430,167,151
1517335830,159,136
1517339426,137,116
1517344229,181,134
1517348428,120,99
1517353830,180,195
1517359229,173,170
1517364630,163,157
1517370630,159,235
1517375429,111,156
1517380230,142,190
1517383826,97,88
1517388030,108,99
1517391625,122,135
1517396429,141,141
1517400026,132,154
1517403629,107,100
1517407225,85,88
1517410829,121,97
1517418028,210,191
1517421630,93,77
1517428826,223,206
1517432429,124,86
1517436026,111,98
1517440233,119,94
1517445629,211,152
1517451028,166,197
1517456430,186,169
1517461829,160,204
1517467229,136,148
1517472029,158,176
1517475626,123,104
1517479229,85,101
1517482826,97,116
1517487031,104,113
1517493030,175,166
1517497830,139,154
1517502633,151,148
1517506226,125,108
1517509830,116,78
1517514030,114,121
1517518831,209,150
1517523028,115,93
1517527830,130,129
1517532030,112,120
1517538029,103,153
1517542830,121,173
1517548229,175,271
1517553029,122,126
1517556626,101,126
1517563826,184,177
1517567430,127,121
1517574626,208,234
1517578229,108,104
1517581827,103,98
1517586030,117,127
1517590831,131,134
1517594426,155,93
