DateTime,Entries,UniqueIPs
1516991426,1021,1021
1516995029,1035,1035
1517002226,1086,1086
1517005829,1127,1127
1517009425,1141,1141
1517013027,1127,1127
1517020225,1048,1048
1517024427,1046,1046
1517029828,1026,1026
1517035228,987,987
1517040628,942,942
1517045428,955,955
1517049025,941,941
1517052629,932,932
1517056226,934,934
1517059829,947,947
1517067026,959,959
1517070629,979,979
1517074828,1003,1003
1517079628,986,986
1517083226,1002,1002
1517086828,1040,1040
1517094027,1104,1104
1517097629,1090,1090
1517101225,1098,1098
1517105428,1107,1107
1517109026,1090,1090
1517114428,1063,1063
1517119829,1019,1019
1517123427,1012,1012
1517127027,1017,1017
1517130628,1006,1006
1517133628,1027,1027
1517137226,1042,1042
1517141428,1043,1043
1517146829,996,996
1517152228,981,981
1517157628,988,988
1517161225,987,987
1517164228,1008,1008
1517167826,1057,1057
1517171429,1088,1088
1517175026,1134,1134
1517182227,1166,1166
1517185829,1179,1179
1517189426,1186,1186
1517193028,1197,1197
1517197228,1181,1181
1517202629,1174,1174
1517208028,1111,1111
1517213428,1075,1075
1517217026,1017,1017
1517222428,1045,1045
1517227828,1123,1123
1517233230,1116,1116
1517239230,1079,1079
1517243429,1064,1064
1517247629,1094,1094
1517251226,1123,1123
1517256030,1150,1150
1517259626,1204,1204
1517263829,1225,1225
1517268029,1229,1229
1517273429,1155,1155
1517278228,1145,1145
1517284228,1176,1176
1517289629,1140,1140
1517294429,1083,1083
1517298026,1079,1079
1517303429,1040,1040
1517308828,1061,1061
1517314229,1096,1096
1517319629,1084,1084
1517325030,1087,1087
1517330430,1103,1103
1517335830,1126,1126
1517339426,1147,1147
1517344229,1194,1194
1517348428,1215,1215
1517353830,1200,1200
1517359229,1203,1203
1517364630,1209,1209
1517370630,1133,1133
1517375429,1088,1088
1517380230,1040,1040
1517383826,1049,1049
1517388030,1058,1058
1517391625,1045,1045
1517396429,1045,1045
1517400026,1023,1023
1517403629,1030,1030
1517407225,1027,1027
1517410829,1051,1051
1517418028,1070,1070
1517421630,1086,1086
1517428826,1103,1103
1517432429,1141,1141
1517436026,1154,1154
1517440233,1179,1179
1517445629,1238,1238
1517451028,1207,1207
1517456430,1224,1224
1517461829,1180,1180
1517467229,1168,1168
1517472029,1150,1150
1517475626,1169,1169
1517479229,1153,1153
1517482826,1134,1134
1517487031,1125,1125
1517493030,1134,1134
1517497830,1119,1119
1517502633,1122,1122
1517506226,1139,1139
1517509830,1177,1177
1517514030,1170,1170
1517518831,1229,1229
1517523028,1251,1251
1517527830,1252,1252
1517532030,1244,1244
1517538029,1194,1194
1517542830,1142,1142
1517548229,1046,1046
1517553029,1042,1042
1517556626,1017,1017
1517563826,1024,1024
1517567430,1030,1030
1517574626,1004,1004
1517578229,1008,1008
1517581827,1013,1013
1517586030,1003,1003
1517590831,1000,1000
1517594426,1062,1062
1517598029,1079,1079
1517601626,1115,1115
1517605830,1133,1133
1517610629,1144,1144
1517614226,1126,1126
1517618429,1130,1130
1517622031,1112,1112
1517625627,1099,1099
1517631028,1078,1078
1517636429,1062,1062
1517640026,1028,1028
1517643629,1012,1012
1517647225,997,997
1517652629,1017,1017
1517656225,1012,1012
1517661630,984,984
1517667029,975,975
1517672431,974,974
1517677229,1003,1003
1517680825,1016,1016
1517684430,1025,1025
1517688629,1043,1043
1517692225,1089,1089
1517695831,1093,1093
1517701234,1127,1127
1517706629,1185,1185
1517711430,1215,1215
1517715027,1207,1207
1517719230,1187,1187
1517722827,1184,1184
1517726430,1165,1165
1517731231,1165,1165
1517734826,1170,1170
1517738430,1174,1174
1517742027,1166,1166
1517745630,1197,1197
1517749830,1192,1192
1517755231,1164,1164
1517759429,1175,1175
1517763630,1206,1206
1517767226,1249,1249
1517771430,1259,1259
1517776230,1262,1262
1517779828,1243,1243
1517783430,1226,1226
1517787027,1233,1233
1517794226,1246,1246
1517798429,1136,1136
1517804434,1120,1120
1517809229,1045,1045
1517814629,1016,1016
1517819429,1014,1014
1517823026,1036,1036
1517826632,1042,1042
1517830830,1030,1030
1517835030,1005,1005
1517839229,966,966
1517842826,977,977
1517846430,1029,1029
1517850028,1059,1059
1517853629,1074,1074
1517857227,1074,1074
1517861430,1126,1126
1517866232,1143,1143
1517870432,1138,1138
1517875831,1180,1180
1517881230,1134,1134
1517886630,1065,1065
1517892630,1022,1022
1517897431,1005,1005
1517900426,1012,1012
1517904029,979,979
1517907627,993,993
1517911230,984,984
1517914826,993,993
1517922027,965,965
1517925629,946,946
1517929830,930,930
1517934029,938,938
1517938229,956,956
1517941826,953,953
1517945429,946,946
1517949026,984,984
1517952632,1034,1034
1517956829,1040,1040
1517960426,995,995
1517963430,974,974
1517967025,978,978
1517970630,985,985
1517974227,954,954
1517978429,953,953
1517982026,916,916
1517986828,886,886
1517990426,866,866
1517993428,835,835
1517997025,851,851
