DateTime,AddedIPs,RemovedIPs
1512988825,22,17
1513000823,88,26
1513011024,8,16
1513022429,9,16
1513036223,11,7
1513047021,1,6
1513057820,46,19
1513068023,4,29
1513079425,8,28
1513090224,8,15
1513101024,5,14
1513111822,2,4
1513122623,1,15
1513133421,4,20
1513144821,16,0
1513155025,8,43
1513165823,3,34
1513177222,6,65
1513187421,3,31
1513198221,3,16
1513209021,1,15
1513220423,4,0
1513230622,3,29
1513241427,8,24
1513252222,1,23
1513263623,3,27
1513273822,3,11
1513285221,2,14
1513294821,341,23
1513302620,173,21
1513317023,71,0
1513330822,29,77
1513342226,16,20
1513356622,9,11
1513367421,5,10
1513378821,3,9
1513389621,37,36
1513400420,9,24
1513411222,12,0
1513422022,1,31
1513435222,5,28
1513445422,3,31
1513456221,1,20
1513467021,7,19
1513477220,21,16
1513488619,8,9
1513498822,2,22
1513509023,3,19
1513520423,4,0
1513531222,4,17
1513541421,0,23
1513552822,1,6
1513564221,3,15
1513574420,8,14
1513585222,13,8
1513596023,2,20
1513607422,8,11
1513617621,2,11
1513628422,3,7
1513639821,0,10
1513650021,5,10
1513661420,4,15
1513671623,0,96
1513682423,2,35
1513693224,2,0
1513704024,4,20
1513714823,2,11
1513725621,3,14
1513736421,32,19
1513747221,6,27
1513758023,4,32
1513769422,3,24
1513780822,2,0
1513790422,4,7
1513801222,3,14
1513812022,0,9
1513822821,2,13
1513833620,2,18
1513844422,3,17
1513855223,1,10
1513866022,4,10
1513880422,6,16
1513891224,0,6
1513902020,1,8
1513912820,1,9
1513923619,3,6
1513935021,3,8
1513945222,4,9
1513956021,1,11
1513966822,1,4
1513977622,2,14
1513988421,2,9
1513999220,2,9
1514009419,6,10
1514023822,3,10
1514035223,0,8
1514047221,2,15
1514058621,1,19
1514068821,2,14
1514080224,1,5
1514091020,1,5
1514101819,0,6
1514112622,4,10
1514124022,0,16
1514133621,1,3
1514144421,42,0
1514155820,9,9
1514167220,6,4
1514177420,2,1
1514188823,4,0
1514199623,2,14
1514210422,0,12
1514231422,2,6
1514242221,2,8
1514253621,0,5
1514263221,3,9
1514274019,3,10
1514284822,3,9
1514296222,3,12
1514307021,4,6
1514317821,1,13
1514329222,4,6
1514338819,1,11
1514349621,0,7
1514360419,1,8
1514375421,1,5
1514386221,1,28
1514396422,1,13
1514407221,0,4
1514428819,3,8
1514440219,2,12
1514450423,0,13
1514461823,0,18
1514472622,0,17
1514485221,3,10
1514495422,1,7
1514506820,0,10
1514517620,1,5
1514528419,1,6
1514539258,1,25
1514550021,2,10
1514560821,0,8
1514571621,5,0
1514581820,26,13
1514593820,4,6
1514604019,2,23
1514614218,1,0
1514625022,2,8
1514639422,0,13
1514653819,0,18
1514667021,6,5
1514677221,1,10
1514688020,3,10
1514698819,2,9
1514709621,1,8
1514721623,15,11
1514731222,23,10
1514742022,4,7
1514753421,2,15
1514764221,6,10
1514775020,2,7
1514785819,0,5
1514797820,2,5
1514806822,1,11
1514818221,7,0
1514829021,4,8
1514839221,1,6
1514850620,2,11
1514861454,15,4
1514871619,5,2
1514883623,0,10
1514893822,1,8
1514904021,1,13
1514918420,6,8
1514929220,5,2
1514940619,1,11
1514951420,0,9
1514965217,0,10
1514976023,1,25
1514986822,1,17
1514997621,2,10
1515012020,2,9
1515022820,1,28
1515034220,0,15
1515044419,1,6
1515055222,4,11
1515066025,0,8
1515076822,5,8
1515091219,2,10
1515104420,3,3
1515114619,2,8
1515129019,2,6
1515140422,2,19
1515152421,3,12
1515163822,5,16
1515174022,1,14
1515186621,25,0
1515199220,3,11
1515213621,3,15
1515224420,1,18
1515246022,3,14
1515260419,7,0
1515273023,1,25
1515287421,4,19
1515301818,4,11
1515314420,4,10
1515327021,3,5
1515338421,2,7
1515350421,2,8
1515364221,0,10
1515376220,0,4
1515386420,1,10
1515409221,1,2
1515423620,2,13
1515435022,3,6
1515447020,2,10
1515461419,0,6
1515475818,1,12
1515487220,2,11
1515499820,1,12
1515514222,2,8
1515526820,1,7
1515539420,1,14
1515552019,2,21
1515563419,2,9
1515573622,0,9
1515583222,1,9
1515594022,0,11
1515607819,0,7
1515619819,2,11
1515633018,3,15
1515643819,4,7
1515657621,67,13
1515667822,6,26
1515678022,2,27
1515692422,2,13
1515706220,2,5
1515719420,5,10
1515733819,4,11
1515747623,6,14
1515759023,2,10
1515769822,0,9
1515782422,17,7
1515796821,5,5
1515807621,1,7
1515818421,1,6
1515832821,3,11
1515847227,1,12
1515861021,1,14
1515875421,6,10
1515886820,2,5
1515897620,0,4
1515912019,1,128
1515922823,5,38
1515935423,2,32
1515949221,2,27
1515963622,3,22
1515975020,3,64
1515989418,1,19
1516001420,1,21
1516014022,2,15
1516023623,2,18
1516046422,0,11
1516059020,1,11
1516073420,3,12
1516083020,1,18
1516097422,4,6
1516108221,1,5
1516120222,2,10
1516134622,4,8
1516147220,5,19
1516161022,194,7
1516171820,56,6
1516182629,23,13
1516192851,17,12
1516204222,24,12
1516214422,8,20
1516228820,8,11
1516240220,8,11
1516251020,36,15
1516261221,12,8
1516275621,18,10
1516286421,15,15
1516300822,7,16
1516314621,6,8
1516326020,4,6
1516340420,8,22
1516354822,16,18
1516368623,8,13
1516380027,7,10
1516392622,5,7
1516406421,0,8
1516420220,2,14
1516430420,3,6
1516444820,5,11
1516455621,15,9
1516468220,8,8
1516482021,3,5
1516495220,3,10
1516506021,1,14
1516520420,4,6
1516531224,4,4
1516542022,1,3
1516552824,14,5
1516566622,7,6
1516576221,5,4
1516585220,6,2
1516596020,2,3
1516606820,5,3
1516619421,1,5
1516630222,2,6
1516642222,1,2
1516653621,4,3
1516667420,6,6
1516680620,13,4
1516695024,1,3
1516708822,4,8
1516723223,2,2
1516736422,3,2
1516749022,1,9
1516759821,5,21
1516770620,4,7
1516782023,5,15
1516792822,2,4
1516803022,2,1
1516817422,4,1
1516830021,2,5
1516842619,1,11
1516857021,4,7
1516870823,2,7
1516885221,3,5
1516894822,3,7
1516906822,1,11
1516920022,4,7
1516934419,4,7
1516948220,8,16
1516962620,12,14
1516975822,5,5
1516988421,5,2
1517002220,2,3
1517013020,3,7
1517024419,0,4
1517035220,2,2
1517049021,1,6
1517059823,2,7
1517070622,2,3
1517083220,3,3
1517097621,3,8
1517109019,1,7
1517123420,0,13
1517137221,7,4
1517146823,3,1
1517161220,2,7
1517175020,6,8
1517189419,7,16
1517202620,2,6
1517217021,3,5
1517227823,1,4
1517239224,5,4
1517251220,1,3
1517263822,4,8
1517278221,4,4
1517289621,2,4
1517303423,1,4
1517314223,2,6
1517325023,0,6
1517339420,1,3
1517353822,0,9
1517364621,2,4
1517375420,1,10
1517388025,3,5
1517400021,2,4
1517410823,4,13
1517421624,4,8
1517436020,1,4
1517445621,0,11
1517456422,3,7
1517467221,0,5
1517479224,3,5
1517493024,4,5
1517506220,4,12
1517518824,1,3
1517532022,3,3
1517542822,3,9
1517556618,4,8
1517567423,0,3
1517581821,1,8
1517594420,0,14
1517605823,1,6
1517618421,2,5
1517631020,3,5
1517643620,0,7
1517656221,1,7
1517667022,2,7
1517680820,0,8
1517692219,2,6
1517706621,4,10
1517719221,2,7
1517731225,2,9
1517745625,2,9
1517759423,0,18
1517771423,14,6
1517783422,5,5
1517794220,1,11
1517804426,0,9
1517826626,0,5
1517839223,1,5
1517853623,3,17
1517866222,3,5
1517875821,5,6
1517900419,1,4
1517914821,2,4
1517925623,0,10
1517938222,4,8
1517952622,1,3
1517967018,1,8
1517978421,3,5
1517990421,2,5
1518004221,3,13
1518015623,2,4
1518030021,2,6
1518043822,2,3
1518057022,2,6
1518071418,0,6
1518085824,0,9
1518100222,3,2
1518114623,2,7
1518129023,0,6
1518142819,2,4
1518154221,0,3
1518168623,3,6
1518182422,0,13
1518196822,3,10
1518211220,2,5
1518222621,6,8
1518237021,3,5
1518251423,2,11
1518265220,2,6
1518276022,1,6
1518290420,2,6
1518301824,1,8
1518316219,29,10
1518330619,4,7
1518345024,2,2
1518359423,1,5
1518373823,0,6
1518387623,1,6
1518399021,0,5
1518413421,2,5
1518427823,4,14
1518441623,1,8
1518455421,1,4
1518466821,4,4
1518492019,0,1
1518506419,0,9
1518520822,1,7
1518534622,1,5
1518546022,0,13
1518560422,2,5
1518574821,0,5
1518589220,1,6
1518603622,2,11
1518614421,1,5
1518628221,2,6
1518639622,1,11
1518650420,3,4
1518663620,4,0
1518677419,1,3
1518691822,2,8
1518706222,20,6
1518720621,8,9
1518731421,9,6
1518742221,3,7
1518756619,3,16
1518771022,1,13
1518782423,3,14
1518796223,1,14
1518810621,18,24
1518825020,8,13
1518837021,4,12
1518850821,3,8
1518865223,3,15
1518879622,2,8
1518894021,3,17
1518908421,2,10
1518922820,3,11
1518936619,53,15
1518948024,14,10
1518961822,4,4
1518976223,3,3
1518990620,3,3
1519005020,2,6
1519019422,2,2
1519030222,7,9
1519044622,6,3
1519057223,3,1
1519071621,2,6
1519084823,4,10
1519099221,4,7
1519113021,7,15
