DateTime,Entries,UniqueIPs
1512988825,6340,6464
1513000823,6401,6526
1513011024,6393,6518
1513022429,6386,6511
1513036223,6390,6515
1513047021,6385,6510
1513057820,6412,6537
1513068023,6387,6512
1513079425,6367,6492
1513090224,6359,6485
1513101024,6349,6476
1513111822,6347,6474
1513122623,6333,6460
1513133421,6318,6444
1513144821,6334,6460
1513155025,6301,6425
1513165823,6270,6394
1513177222,6211,6335
1513187421,6183,6307
1513198221,6170,6294
1513209021,6156,6280
1513220423,6160,6284
1513230622,6135,6258
1513241427,6120,6242
1513252222,6098,6220
1513263623,6075,6196
1513273822,6067,6188
1513285221,6056,6176
1513294821,6369,6494
1513302620,6520,6646
1513317023,6589,6717
1513330822,6540,6669
1513342226,6536,6665
1513356622,6534,6663
1513367421,6529,6658
1513378821,6523,6652
1513389621,6525,6653
1513400420,6511,6638
1513411222,6523,6650
1513422022,6493,6620
1513435222,6471,6597
1513445422,6443,6569
1513456221,6426,6550
1513467021,6414,6538
1513477220,6419,6543
1513488619,6418,6542
1513498822,6398,6522
1513509023,6382,6506
1513520423,6386,6510
1513531222,6376,6497
1513541421,6357,6474
1513552822,6352,6469
1513564221,6340,6457
1513574420,6334,6451
1513585222,6339,6456
1513596023,6321,6438
1513607422,6319,6435
1513617621,6311,6426
1513628422,6307,6422
1513639821,6298,6412
1513650021,6293,6407
1513661420,6282,6396
1513671623,6193,6300
1513682423,6161,6267
1513693224,6163,6269
1513704024,6147,6253
1513714823,6138,6244
1513725621,6127,6233
1513736421,6138,6246
1513747221,6118,6225
1513758023,6091,6197
1513769422,6071,6176
1513780822,6073,6178
1513790422,6070,6175
1513801222,6060,6164
1513812022,6051,6155
1513822821,6040,6144
1513833620,6025,6128
1513844422,6011,6114
1513855223,6002,6105
1513866022,5996,6099
1513880422,5986,6089
1513891224,5980,6083
1513902020,5973,6076
1513912820,5966,6068
1513923619,5963,6065
1513935021,5957,6060
1513945222,5953,6055
1513956021,5943,6045
1513966822,5940,6042
1513977622,5928,6030
1513988421,5921,6023
1513999220,5914,6016
1514009419,5910,6012
1514023822,5903,6005
1514035223,5895,5997
1514047221,5882,5984
1514058621,5865,5966
1514068821,5853,5954
1514080224,5849,5950
1514091020,5845,5946
1514101819,5839,5940
1514112622,5833,5934
1514124022,5817,5918
1514133621,5815,5916
1514144421,5857,5958
1514155820,5856,5958
1514167220,5857,5960
1514177420,5858,5961
1514188823,5862,5965
1514199623,5851,5953
1514210422,5840,5941
1514231422,5836,5937
1514242221,5830,5931
1514253621,5825,5926
1514263221,5819,5920
1514274019,5812,5913
1514284822,5806,5907
1514296222,5797,5898
1514307021,5795,5896
1514317821,5783,5884
1514329222,5780,5882
1514338819,5770,5872
1514349621,5763,5865
1514360419,5756,5858
1514375421,5752,5854
1514386221,5725,5827
1514396422,5715,5815
1514407221,5711,5811
1514428819,5706,5806
1514440219,5696,5796
1514450423,5684,5783
1514461823,5666,5765
1514472622,5649,5748
1514485221,5642,5741
1514495422,5636,5735
1514506820,5626,5725
1514517620,5622,5721
1514528419,5617,5716
1514539258,5594,5692
1514550021,5586,5684
1514560821,5580,5676
1514571621,5585,5681
