DateTime,AddedIPs,RemovedIPs
1516860623,2,0
1516864226,2,2
1516867223,1,0
1516870826,3,1
1516874423,1,2
1516878026,4,0
1516885223,4,6
1516889426,3,2
1516894826,1,5
1516900226,4,0
1516903224,2,0
1516906826,4,0
1516911026,3,9
1516915826,1,2
1516920026,1,0
1516930826,2,8
1516934423,1,0
1516939226,5,4
1516943426,4,3
1516948225,1,3
1516952425,2,4
1516956023,2,0
1516962623,4,5
1516966225,2,0
1516970426,2,3
1516975826,2,3
1516980625,2,5
1516991424,2,7
1516995026,4,0
1517002223,1,4
1517005827,3,0
1517009423,1,2
1517013025,0,4
1517020222,3,2
1517024425,3,7
1517029825,2,3
1517035226,1,1
1517040626,1,3
1517045426,1,2
1517049023,3,0
1517052627,2,3
1517056224,3,0
1517059826,4,5
1517067023,4,3
1517070626,0,2
1517074826,3,9
1517079626,2,6
1517083224,3,0
1517086826,2,4
1517094024,3,1
1517097626,2,5
1517101223,4,4
1517105426,5,1
1517109023,3,0
1517114426,2,5
1517119826,3,5
1517123424,3,0
1517127025,1,0
1517130625,2,1
1517133625,1,2
1517137224,0,2
1517141426,1,1
1517146827,3,0
1517152226,2,2
1517157626,1,0
1517161223,2,4
1517164225,3,0
1517167823,2,6
1517171426,2,0
1517175023,5,0
1517182224,4,5
1517185826,2,0
1517189424,3,1
1517193026,4,0
1517197226,5,10
1517202626,1,3
1517208025,2,4
1517213426,0,4
1517217023,3,0
1517222426,2,4
1517227826,1,3
1517233227,5,1
1517239227,3,3
1517243427,5,4
1517247627,3,1
1517251223,4,0
1517256027,0,2
1517259624,2,0
1517263826,4,4
1517268026,6,2
1517273427,2,0
1517278225,3,1
1517284226,3,1
1517289627,5,3
1517294426,4,0
1517298023,2,0
1517303426,0,6
1517308826,0,1
1517314227,3,3
1517319627,5,0
1517325027,1,1
1517330428,2,2
1517335827,1,3
1517339423,1,0
1517344227,2,4
1517348426,3,2
1517353827,1,2
1517359227,4,3
1517364627,4,2
1517370627,2,2
1517375426,3,0
1517380228,5,2
1517383823,2,0
1517388028,2,8
1517391623,1,0
1517396427,0,5
1517400023,3,0
1517403627,4,5
1517407223,3,6
1517410827,2,0
1517418025,1,1
1517421628,4,0
1517428823,3,6
1517436024,1,1
1517440230,0,3
1517445626,4,1
1517451025,3,3
1517456427,2,2
1517461827,5,1
1517467227,2,6
1517472026,0,2
1517475623,1,0
1517479227,3,5
1517482824,2,0
1517487028,2,2
1517493028,2,4
1517497827,4,4
1517502630,2,3
1517506224,2,0
1517509827,6,0
1517514027,3,5
1517518828,1,4
1517523026,1,1
1517527827,2,1
1517532027,3,4
1517542827,1,2
1517548227,1,2
1517553027,0,3
1517556623,2,1
1517563824,1,2
1517567427,3,5
1517574624,1,0
1517578226,5,4
1517581824,1,5
1517586027,2,3
1517590828,4,0
1517594424,4,0
1517598026,1,4
1517601624,1,4
1517605827,3,3
1517610627,1,2
1517614224,1,0
1517618426,4,2
1517622029,2,0
1517625625,4,2
1517631026,1,1
1517636427,1,2
1517640023,0,5
1517643627,5,0
1517647223,1,4
1517652627,2,3
1517656223,4,1
1517661627,4,3
1517667026,3,3
1517672428,3,2
1517677226,1,5
1517680823,2,0
1517684427,4,4
1517688626,4,2
1517692223,1,0
1517695828,1,4
1517701232,1,1
1517706626,2,0
1517711427,4,3
1517715024,4,2
1517719227,4,1
1517722823,4,0
1517726427,3,2
1517731228,0,7
1517734823,2,0
1517738427,4,0
1517742024,2,5
1517745628,3,4
1517749827,1,2
1517755228,3,0
1517759426,3,3
1517763627,1,3
1517767223,2,0
1517771427,4,4
1517776227,5,5
1517779825,3,0
1517783427,2,4
1517787024,2,5
1517794223,1,0
1517798426,3,1
1517804431,2,3
1517809226,0,2
