DateTime,Entries,UniqueIPs
1516984223,962,969
1516991424,954,961
1516995026,958,965
1517002223,956,963
1517005827,959,965
1517009423,963,969
1517013025,961,967
1517020222,954,960
1517024425,958,964
1517029825,954,959
1517035226,956,961
1517040626,953,958
1517045426,951,956
1517049023,953,958
1517052627,955,960
1517056224,959,964
1517059826,963,968
1517067023,965,970
1517070626,963,968
1517074826,956,961
1517079626,960,965
1517083224,968,973
1517086826,968,973
1517094024,968,973
1517097626,972,977
1517101223,972,977
1517105426,968,973
1517109023,973,978
1517114426,976,981
1517119826,975,981
1517123424,979,985
1517127025,983,989
1517130625,979,985
1517133625,977,983
1517137224,978,985
1517141426,978,985
1517146827,981,988
1517152226,980,987
1517157626,981,988
1517161223,981,988
1517164225,986,993
1517167823,978,985
1517171426,982,989
1517175023,986,993
1517182224,986,993
1517185826,986,993
1517189424,988,995
1517193026,988,995
1517197226,990,997
1517202626,991,998
1517208025,989,996
1517213426,983,990
1517217023,989,996
1517222426,990,997
1517227826,994,1001
1517233227,997,1004
1517239227,998,1005
1517243427,998,1004
1517247627,1000,1006
1517251223,1006,1012
1517256027,1006,1012
1517259624,1009,1015
1517263826,1000,1006
1517268026,1004,1010
1517273427,1005,1011
1517278225,1013,1019
1517284226,1010,1016
1517289627,1013,1019
1517294426,1013,1019
1517298023,1016,1022
1517303426,1008,1014
1517308826,1000,1006
1517314227,1001,1007
1517319627,1003,1009
1517325027,1000,1006
1517330428,998,1004
1517335827,998,1004
1517339423,1001,1007
1517344227,994,998
1517348426,987,991
1517353827,992,996
1517359227,987,993
1517364627,991,997
1517370627,994,1000
1517375426,995,1001
1517380228,990,996
1517383823,994,1000
1517388028,992,998
1517391623,994,1000
1517396427,991,997
1517400023,992,998
1517403627,997,1003
1517407223,998,1004
1517410827,997,1003
1517418025,999,1005
1517421628,999,1005
1517428823,1000,1006
1517432427,989,995
1517436024,990,996
1517440230,987,992
1517445626,984,989
1517451025,989,995
1517456427,981,987
1517461827,987,993
1517467227,984,990
1517472026,979,985
1517475623,982,988
1517479227,983,989
1517482824,979,985
1517487028,983,989
1517493028,983,989
1517497827,987,993
1517502630,986,992
1517506224,988,994
1517509827,982,988
1517514027,979,985
1517518828,973,979
1517523026,973,979
1517527827,975,981
1517532027,977,982
1517538026,970,975
1517542827,971,976
1517548227,969,974
1517553027,968,973
1517556623,969,974
1517563824,965,970
1517567427,967,972
1517574624,965,970
1517578226,970,975
1517581824,966,971
1517586027,962,968
1517590828,966,972
1517594424,973,979
1517598026,971,977
1517601624,970,976
1517605827,971,977
1517610627,970,976
1517614224,974,980
1517618426,973,979
1517622029,981,987
1517625625,980,986
1517631026,977,983
1517636427,978,984
1517640023,979,985
1517643627,978,984
1517647223,981,987
1517652627,971,977
1517656223,978,984
1517661627,972,979
1517667026,971,978
1517672428,970,977
1517677226,970,977
1517680823,973,980
1517684427,973,980
1517688626,968,975
1517692223,974,981
1517695828,980,987
1517701232,977,984
1517706626,974,981
1517711427,972,979
1517715024,977,984
1517719227,978,985
1517722823,985,992
1517726427,990,997
