DateTime,AddedIPs,RemovedIPs
1516991424,18,17
1516995026,22,20
1517002223,18,21
1517005827,22,20
1517009423,21,22
1517013025,19,22
1517020222,22,17
1517024425,25,23
1517029825,20,24
1517035226,20,20
1517040626,21,21
1517045426,21,21
1517049023,21,20
1517052627,20,20
1517056224,24,22
1517059826,24,23
1517067023,23,25
1517070626,20,22
1517074826,25,23
1517079626,24,25
1517083224,23,23
1517086826,21,22
1517094024,19,19
1517097626,19,19
1517101223,23,22
1517105426,23,22
1517109023,20,22
1517114426,24,23
1517119826,22,21
1517123424,21,23
1517127025,20,20
1517130625,21,18
1517133625,23,24
1517137224,20,22
1517141426,26,23
1517146827,22,26
1517152226,22,19
1517157626,23,24
1517161223,21,19
1517164225,23,25
1517167823,21,22
1517171426,24,21
1517175023,25,25
1517182224,22,25
1517185826,23,21
1517189424,22,22
1517193026,24,24
1517197226,24,25
1517202626,22,21
1517208025,21,23
1517213426,20,20
1517217023,23,22
1517222426,23,22
1517227826,21,23
1517233227,23,21
1517239227,24,23
1517243427,24,24
1517247627,24,26
1517251223,26,24
1517256027,23,23
1517259624,24,26
1517263826,22,22
1517268026,25,22
1517273427,23,24
1517278225,22,23
1517284226,22,22
1517289627,22,22
1517294426,23,22
1517298023,24,24
1517303426,23,23
1517308826,20,24
1517314227,23,21
1517319627,26,23
1517325027,22,24
1517330428,23,22
1517335827,19,23
1517339423,22,20
1517344227,22,21
1517348426,25,24
1517353827,23,25
1517359227,23,23
1517364627,23,22
1517370627,24,24
1517375426,23,23
1517380228,24,23
1517383823,22,24
1517388028,24,23
1517391623,20,21
1517396427,17,20
1517400023,22,17
1517403627,24,24
1517407223,24,25
1517410827,24,23
1517418025,20,23
1517421628,22,19
1517428823,23,24
1517432427,27,25
1517436024,24,26
1517440230,22,22
1517445626,24,23
1517451025,25,26
1517456427,25,25
1517461827,21,22
1517467227,22,21
1517472026,20,22
1517475623,20,21
1517479227,20,17
1517482824,21,22
1517487028,22,23
1517493028,21,21
1517497827,21,21
1517502630,25,21
1517506224,16,23
1517509827,21,15
1517514027,21,23
1517518828,19,21
1517523026,21,19
1517527827,23,22
1517532027,22,23
1517538026,22,22
1517542827,23,22
1517548227,22,23
1517553027,18,19
1517556623,20,21
1517563824,19,19
1517567427,22,18
1517574624,23,22
1517578226,22,25
1517581824,19,20
1517586027,23,19
1517590828,18,24
1517594424,26,20
1517598026,24,25
1517601624,22,24
1517605827,21,22
1517610627,24,21
1517614224,23,24
1517618426,23,25
1517622029,25,23
1517625625,23,24
1517631026,23,21
1517636427,20,23
1517640023,20,21
1517643627,25,20
1517647223,21,25
1517652627,22,22
1517656223,22,20
1517661627,23,23
1517667026,24,22
1517672428,20,23
1517677226,25,24
1517680823,23,25
1517684427,20,20
1517688626,25,21
1517692223,23,26
1517695828,25,23
1517701232,23,24
1517706626,22,24
1517711427,21,20
1517715024,23,22
1517719227,23,22
1517722823,23,22
1517726427,23,25
1517731228,21,23
1517734823,22,20
1517738427,22,22
1517742024,19,21
1517745628,21,21
1517749827,21,20
1517755228,23,22
1517759426,23,23
1517763627,18,23
1517767223,27,20
1517771427,24,26
1517776227,25,23
1517779825,21,25
1517783427,22,21
1517787024,21,22
1517794223,19,20
1517798426,22,18
1517804431,23,24
1517809226,25,23
1517814627,20,24
1517819426,23,20
1517823024,22,23
1517826629,22,23
1517830827,23,22
1517835027,21,20
1517839227,19,22
1517842823,22,19
1517846427,21,23
1517850025,21,21
1517853627,22,21
1517857225,23,23
1517861428,22,23
1517866229,22,22
1517870430,20,22
1517875828,22,20
1517881228,24,22
1517886628,20,24
1517892628,21,20
1517897428,23,21
1517900424,22,22
1517904027,18,19
1517907623,21,20
1517911227,17,21
1517914823,21,19
1517922023,24,21
1517925627,23,24
1517929827,22,23
1517934027,23,22
1517938226,24,23
1517941823,16,20
1517945426,18,20
1517949023,22,17
1517952628,21,20
1517956827,20,23
1517960423,23,20
1517963427,23,24
1517967023,22,23
1517970627,18,21
1517974224,21,18
1517978426,21,21
1517982024,19,21
1517986826,23,20
1517990423,22,23
1517993426,18,20
1517997023,22,19
1518004223,23,23
1518008426,22,24
1518012023,21,20
1518015627,23,23
1518019223,23,22
1518022228,21,21
1518026428,21,23
1518030024,20,20
1518033026,22,20
1518037226,22,23
1518040824,23,21
1518043827,22,23
1518048627,24,24
1518052223,19,23
1518057027,21,19
1518060623,20,20
1518063626,22,21
1518067826,22,20
1518071423,21,22
1518075026,23,23
1518078023,19,18
1518081625,19,21
1518088824,17,18
1518092427,22,21
1518096627,24,22
1518100224,22,22
1518103226,21,23
1518106824,22,21
1518110426,21,22
1518114627,19,20
1518118224,25,21
1518121826,22,25
1518125424,22,22
1518129028,20,21
1518132023,22,22
1518135626,23,21
1518142823,23,24
1518147626,23,21
1518150624,19,23
1518154226,23,19
1518157824,18,23
1518161426,16,15
1518164423,21,19
1518171624,22,21
1518175226,20,20
1518178824,20,19
1518182425,20,22
1518186024,20,19
1518189626,20,20
1518193223,25,23
1518196826,20,23
1518204024,16,17
1518211223,19,18
1518215427,17,17
1518219024,22,21
1518222627,20,22
1518226223,22,19
1518229826,20,22
1518233424,16,18
1518237027,21,19
1518240023,21,22
1518247223,24,21
1518251427,21,21
1518255023,19,22
1518258026,22,19
1518265223,22,22
1518272423,20,23
1518276026,18,18
1518283223,19,18
1518286826,24,21
1518290424,23,25
1518297624,22,22
1518305425,19,21
1518308426,23,19
1518316224,23,23
1518319826,24,24
1518323424,23,25
1518327026,23,22
1518330624,22,23
1518333626,22,23
1518337228,23,21
1518340825,23,24
1518348024,23,22
1518355823,19,20
1518359426,22,22
1518363024,20,22
1518366027,20,20
1518369625,23,21
1518376824,19,21
1518380426,22,20
1518384024,22,22
1518387627,22,23
1518394823,20,19
1518399026,24,22
1518402624,20,23
1518406226,21,22
1518409823,23,21
1518413426,24,22
1518416423,19,23
1518423624,19,19
1518430823,19,17
1518434425,21,22
1518438024,22,22
1518441626,22,22
1518445826,22,21
1518449424,23,22
1518452425,20,22
1518455424,23,22
1518459626,22,20
1518466824,21,23
1518470427,21,22
1518477624,19,18
1518484823,17,19
1518492023,22,20
1518495632,22,21
1518499224,18,22
1518502826,23,20
1518506423,22,22
1518510026,20,23
1518513624,20,18
1518517226,20,20
1518520824,25,23
1518524426,25,25
1518531024,20,22
1518534626,23,22
1518538827,21,22
1518542424,20,20
1518546026,20,21
1518549624,23,21
1518553234,24,23
1518556823,22,23
1518560426,22,22
1518564024,19,20
1518567626,22,21
1518571223,20,23
1518574826,25,20
1518578423,23,25
1518582026,22,22
1518585624,22,23
1518589226,22,22
1518593426,21,22
1518597023,24,21
1518600627,19,20
1518603623,19,20
1518606626,18,18
1518610826,21,19
1518614423,21,23
1518621624,13,16
1518625226,22,19
1518628224,23,22
1518633028,21,23
1518636625,20,18
1518639626,22,22
1518643223,22,22
1518646827,24,23
1518650424,23,24
1518655225,20,22
1518660026,17,15
1518663624,22,23
1518666626,22,22
1518670223,24,22
1518677424,16,18
1518681027,23,21
1518684624,19,21
1518688227,19,20
1518691824,18,18
1518695426,20,19
1518699024,22,21
1518702626,19,21
1518706224,21,19
1518709826,22,23
1518713424,23,22
1518717026,19,22
1518720624,22,20
1518723626,22,20
1518727827,22,22
1518731424,20,23
1518738625,17,17
1518742226,23,19
1518746427,23,25
1518750024,17,21
1518753627,21,17
1518756623,19,20
1518760228,22,20
1518763824,19,21
1518767426,20,21
1518771023,20,18
1518774626,22,22
1518778223,19,19
1518782426,17,20
1518786024,21,17
1518789026,19,21
1518792624,20,19
1518796226,20,21
1518803423,21,20
1518807026,23,23
1518810624,16,21
1518814227,23,19
1518817824,22,21
1518821426,21,19
1518825024,22,25
1518829226,19,19
1518832824,21,21
1518840024,20,20
1518843626,23,21
1518846623,21,23
1518853824,18,19
1518857426,19,20
1518861023,22,19
1518868223,17,18
1518875424,19,19
1518882624,20,19
1518886227,22,22
1518894024,21,21
1518897628,18,20
1518901223,18,16
1518904827,23,23
1518908425,21,20
1518912027,23,25
1518915624,22,22
1518919227,23,21
1518922824,21,21
1518925826,19,22
1518929424,22,20
1518933027,20,20
1518936623,21,21
1518940226,21,22
1518943823,21,20
1518948027,21,20
1518951625,22,22
1518955226,21,24
1518958824,21,19
1518961826,23,23
1518965424,24,23
1518969027,21,22
1518972024,21,23
1518976227,21,20
