DateTime,AddedIPs,RemovedIPs
1518169924,1,1
1518170412,1,1
1518170890,2,0
1518171371,0,1
1518171845,1,0
1518172808,0,1
1518174730,0,1
1518175210,1,1
1518175688,1,0
1518176650,0,1
1518177129,1,0
1518178089,0,1
1518178572,1,0
1518179310,0,1
1518179766,1,1
1518180245,1,1
1518180726,1,1
1518181222,1,0
1518181687,1,0
1518183126,0,1
1518185528,0,1
1518186248,1,0
1518186973,0,1
1518187445,1,0
1518188887,1,0
1518190085,0,1
1518191049,1,1
1518191525,1,0
1518192517,0,1
1518194169,1,0
1518194649,0,1
1518195129,1,1
1518195614,1,1
1518196086,1,1
1518198005,0,1
1518198487,1,0
1518199448,0,1
1518199926,1,1
1518200410,1,0
1518204005,0,1
1518204487,1,1
1518204965,1,1
1518205930,1,1
1518206407,1,0
1518209286,0,1
1518209769,1,1
1518210245,1,1
1518210732,1,0
1518213851,1,1
1518214812,1,1
1518215285,1,0
1518215767,0,2
1518216245,1,0
1518218888,0,1
1518219610,1,0
1518222977,0,1
1518223445,1,1
1518223926,1,2
1518224414,2,0
1518224890,7,8
1518225366,15,18
1518225849,9,14
1518226326,22,22
1518226809,12,14
1518227289,9,10
1518227768,11,19
1518228246,12,13
1518228972,8,12
1518229445,3,4
1518229931,3,1
1518230406,0,1
1518230891,1,0
1518233525,0,2
1518234008,2,1
1518234968,1,1
1518235931,1,0
1518238326,0,1
1518238817,1,1
1518239288,1,1
1518239769,1,0
1518240487,0,1
1518240970,1,0
1518243369,0,1
1518243846,1,1
1518244328,1,0
1518244806,0,1
1518245288,1,0
1518248165,0,1
1518249125,1,0
1518249614,0,1
1518250087,1,0
1518252967,0,2
1518253449,1,1
1518253928,2,1
1518254408,1,1
1518254889,1,0
1518258490,0,1
1518258965,1,1
1518259454,1,1
1518259927,1,1
1518260411,1,1
1518261370,1,0
1518264249,0,1
1518264725,1,1
1518265461,1,0
1518267367,0,1
1518268089,1,1
1518268566,1,1
1518269048,1,2
1518269531,1,0
1518270005,1,0
1518273608,1,1
1518274567,1,1
1518275049,1,0
1518275527,0,1
1518276966,1,0
1518277929,0,2
1518278416,2,1
1518278887,1,2
1518279368,1,0
1518279849,0,1
1518280330,2,1
1518280805,1,0
1518283211,0,1
1518283686,1,1
1518284169,1,2
1518284647,1,0
1518287770,0,1
1518288248,1,1
