DateTime,Entries,UniqueIPs
1518169924,5180,5180
1518170412,5180,5180
1518170890,5182,5182
1518171371,5181,5181
1518171845,5182,5182
1518172808,5181,5181
1518174730,5180,5180
1518175210,5180,5180
1518175688,5181,5181
1518176650,5180,5180
1518177129,5181,5181
1518178089,5180,5180
1518178572,5181,5181
1518179310,5180,5180
1518179766,5180,5180
1518180245,5180,5180
1518180726,5180,5180
1518181222,5181,5181
1518181687,5182,5182
1518183126,5181,5181
1518185528,5180,5180
1518186248,5181,5181
1518186973,5180,5180
1518187445,5181,5181
1518188887,5182,5182
1518190085,5181,5181
1518191049,5181,5181
1518191525,5182,5182
1518192517,5181,5181
1518194169,5182,5182
1518194649,5181,5181
1518195129,5181,5181
1518195614,5181,5181
1518196086,5181,5181
1518198005,5180,5180
1518198487,5181,5181
1518199448,5180,5180
1518199926,5180,5180
1518200410,5181,5181
1518204005,5180,5180
1518204487,5180,5180
1518204965,5180,5180
1518205930,5180,5180
1518206407,5181,5181
1518209286,5180,5180
1518209769,5180,5180
1518210245,5180,5180
1518210732,5181,5181
1518213851,5181,5181
1518214812,5181,5181
1518215285,5182,5182
1518215767,5180,5180
1518216245,5181,5181
1518218888,5180,5180
1518219610,5181,5181
1518222977,5180,5180
1518223445,5180,5180
1518223926,5179,5179
1518224414,5181,5181
1518224890,5180,5180
1518225366,5177,5177
1518225849,5172,5172
1518226326,5172,5172
1518226809,5170,5170
1518227289,5169,5169
1518227768,5161,5161
1518228246,5160,5160
1518228972,5156,5156
1518229445,5155,5155
1518229931,5157,5157
1518230406,5156,5156
1518230891,5157,5157
1518233525,5155,5155
1518234008,5156,5156
1518234968,5156,5156
1518235931,5157,5157
1518238326,5156,5156
1518238817,5156,5156
1518239288,5156,5156
1518239769,5157,5157
1518240487,5156,5156
1518240970,5157,5157
1518243369,5156,5156
1518243846,5156,5156
1518244328,5157,5157
1518244806,5156,5156
1518245288,5157,5157
1518248165,5156,5156
1518249125,5157,5157
1518249614,5156,5156
1518250087,5157,5157
1518252967,5155,5155
1518253449,5155,5155
1518253928,5156,5156
1518254408,5156,5156
1518254889,5157,5157
1518258490,5156,5156
1518258965,5156,5156
1518259454,5156,5156
1518259927,5156,5156
1518260411,5156,5156
1518261370,5157,5157
1518264249,5156,5156
1518264725,5156,5156
1518265461,5157,5157
1518267367,5156,5156
1518268089,5156,5156
1518268566,5156,5156
1518269048,5155,5155
1518269531,5156,5156
1518270005,5157,5157
1518273608,5157,5157
1518274567,5157,5157
1518275049,5158,5158
1518275527,5157,5157
1518276966,5158,5158
1518277929,5156,5156
1518278416,5157,5157
1518278887,5156,5156
1518279368,5157,5157
1518279849,5156,5156
1518280330,5157,5157
1518280805,5158,5158
1518283211,5157,5157
1518283686,5157,5157
1518284169,5156,5156
1518284647,5157,5157
1518287770,5156,5156
1518288248,5156,5156
1518288724,5155,5155
1518289221,5156,5156
1518289690,5156,5156
1518290166,5157,5157
1518292565,5156,5156
1518293291,5157,5157
1518294486,5156,5156
1518294964,5157,5157
1518297850,5156,5156
1518298330,5156,5156
1518298805,5157,5157
1518300248,5156,5156
1518300725,5157,5157
1518301689,5156,5156
1518302167,5157,5157
1518303617,5155,5155
1518304091,5157,5157
1518304572,5156,5156
1518305047,5156,5156
1518305531,5156,5156
1518306492,5156,5156
1518307217,5157,5157
1518309365,5156,5156
1518309850,5157,5157
1518310339,5156,5156
1518310816,5157,5157
1518311287,5154,5154
1518311770,5151,5151
1518312247,5151,5151
1518312731,5152,5152
1518313205,5153,5153
1518313690,5152,5152
1518314167,5155,5155
1518314890,5159,5159
1518315368,5160,5160
1518315845,5162,5162
1518316330,5163,5163
1518318248,5162,5162
1518319205,5162,5162
1518319690,5163,5163
1518320167,5162,5162
1518320650,5163,5163
1518322806,5162,5162
1518323288,5163,5163
1518323765,5162,5162
1518324254,5163,5163
1518328818,5162,5162
1518329287,5163,5163
1518329769,5162,5162
1518330970,5163,5163
1518331446,5162,5162
1518331927,5163,5163
1518334330,5162,5162
1518335046,5162,5162
1518336251,5162,5162
1518336967,5163,5163
1518338887,5162,5162
1518339848,5162,5162
1518340330,5163,5163
1518341766,5162,5162
1518342252,5163,5163
1518344172,5162,5162
1518344647,5162,5162
1518345130,5162,5162
1518345605,5163,5163
1518348966,5162,5162
1518349448,5162,5162
1518349929,5162,5162
1518350418,5163,5163
1518352101,5162,5162
1518353289,5163,5163
1518354966,5162,5162
1518355930,5163,5163
1518359285,5162,5162
1518359766,5162,5162
1518360247,5162,5162
1518360726,5163,5163
1518364818,5162,5162
1518366008,5163,5163
1518366730,5162,5162
1518367205,5163,5163
1518368653,5162,5162
1518369606,5162,5162
1518370088,5162,5162
1518370566,5162,5162
1518371049,5163,5163
1518374169,5162,5162
1518374647,5162,5162
1518375128,5162,5162
1518375614,5163,5163
1518376087,5164,5164
1518378966,5163,5163
1518379447,5163,5163
1518379927,5162,5162
1518380891,5163,5163
1518381365,5164,5164
1518383047,5163,5163
1518383527,5162,5162
1518384009,5162,5162
1518384488,5162,5162
1518384968,5163,5163
1518385446,5164,5164
1518385931,5163,5163
1518386415,5163,5163
1518386889,5163,5163
1518389289,5162,5162
1518390017,5162,5162
1518390731,5163,5163
1518391207,5162,5162
1518391688,5163,5163
1518394090,5164,5164
1518394567,5163,5163
1518395048,5164,5164
1518396007,5163,5163
1518397686,5152,5152
1518398170,5150,5150
1518398645,5149,5149
1518399129,5151,5151
1518399607,5149,5149
1518400091,5154,5154
1518400564,5151,5151
1518401047,5152,5152
1518401525,5153,5153
1518402010,5154,5154
1518402488,5153,5153
1518402965,5155,5155
1518410650,5155,5155
1518414248,5155,5155
1518428408,5154,5154
1518428890,5155,5155
1518439206,5156,5156
1518439690,5156,5156
1518442564,5155,5155
1518443051,5155,5155
1518444488,5156,5156
1518446408,5155,5155
1518456966,5156,5156
1518458888,5155,5155
1518460564,5156,5156
1518466087,5155,5155
1518468007,5156,5156
1518469932,5155,5155
1518473047,5157,5157
1518474964,5158,5158
1518476886,5157,5157
1518480966,5156,5156
1518481444,5157,5157
1518484087,5153,5153
1518484571,5157,5157
1518485044,5156,5156
1518485528,5157,5157
1518486006,5152,5152
1518486491,5155,5155
1518486968,5152,5152
1518487450,5154,5154
1518487930,5154,5154
