DateTime,AddedIPs,RemovedIPs
1516511766,1,0
1516516567,0,1
1516517051,1,0
1516523767,0,2
1516524246,2,0
1516528087,0,1
1516528572,1,0
1516535525,0,3
1516536014,3,0
1516540806,0,1
1516541528,1,0
1516552565,0,1
1516553048,1,0
1516559767,0,1
1516560248,1,0
1516565047,0,2
1516565531,1,0
1516573211,0,1
1516573687,1,0
1516582103,0,1
1516582564,1,0
1516583050,0,1
1516583537,1,0
1516584970,0,1
1516585445,1,0
1516596488,0,1
1516596969,1,0
1516605605,0,2
1516606099,2,0
1516611848,0,1
1516612328,1,0
1516642329,0,1
1516642805,1,0
1516643290,0,1
1516643765,1,0
1516655286,0,1
1516656970,1,0
1516669929,0,2
1516676167,0,1
1516676648,1,1
1516682885,0,1
1516683365,1,0
1516683851,0,1
1516684328,1,0
1516686725,0,1
1516687213,1,0
1516696806,1,0
1516700164,0,1
1516724647,1,0
1516735207,0,1
1516735686,1,0
1516756091,2,1
1516756569,0,1
1516757767,0,1
1516758247,1,0
1516758728,1,0
1516762090,0,1
1516762565,1,0
1516764965,0,1
1516765445,1,0
1516765926,0,1
1516766411,1,0
1516776965,0,1
1516789927,0,1
1516790408,1,0
1516791848,0,1
1516792328,1,0
1516815368,0,1
1516815845,1,0
1516816329,0,2
1516816814,2,0
1516819689,0,1
1516820171,1,0
1516838650,0,1
1516839131,1,0
1516839606,0,1
1516840090,1,0
1516842486,0,1
1516842966,1,0
1516843925,0,1
1516844406,2,0
1516844889,0,1
1516845366,1,0
1516845845,0,1
1516846329,1,0
1516865528,0,1
1516866008,1,0
1516866488,0,1
1516866965,1,0
1516869365,0,1
1516869852,1,0
1516890727,0,1
1516891445,1,0
1516891924,0,2
1516892416,2,0
1516895285,0,1
1516895769,1,0
1516915929,0,1
1516916405,1,0
1516917849,0,1
1516918328,1,0
1516918807,0,1
1516919291,1,0
1516924324,0,1
1516924813,1,0
1516929609,0,2
1516930093,2,0
1516931527,0,1
1516932018,1,0
1516932486,0,2
1516932969,1,0
1516933448,1,0
1516935367,1,0
1516941127,0,1
1516941609,1,1
1516942090,0,1
1516942568,1,0
1516946413,1,0
1516947845,0,1
1516948328,1,0
1516949765,0,1
1516950251,1,0
1516951207,0,1
1516951694,1,0
1516961290,0,1
1516961830,1,0
1516962244,0,1
1516962846,1,0
1516968250,0,2
1516968966,2,0
1516988889,0,1
1516993447,0,1
1516993936,1,0
1516994409,0,1
1516994886,1,0
1517101689,0,1
1517102648,0,1
1517103131,1,0
1517148247,1,0
1517188324,0,2
1517188810,1,0
1517189285,0,2
1517200805,0,1
1517274726,1,2
1517275205,1,0
1517277129,0,1
1517277625,1,0
1517360647,0,1
1517361606,0,1
1517362090,0,2
1517362567,2,1
1517363051,0,1
1517448245,0,1
1517448728,1,0
1517533926,0,1
1517534889,0,1
1517535365,1,0
1517535848,0,2
1517620576,0,1
1517621531,0,1
1517622005,2,0
1517622969,1,0
1517623449,0,1
1517623926,1,0
1517624408,1,0
1517706489,0,1
1517706967,1,0
1517709367,0,1
1517710090,1,2
1517730007,0,1
1517793848,0,1
1517794328,9,1
1517794805,0,1
1517796020,1,0
1517880725,2,2
1517881210,0,1
1517881685,2,0
1517888405,1,0
1517902328,3,0
1517902806,3,1
1517903289,1,0
1517904246,0,2
1517905207,1,0
1517907619,0,1
1517910004,1,0
1517913364,0,1
1517917925,1,0
1517921526,0,1
1517922016,1,0
1517925846,0,1
1517935444,1,0
1517935927,0,1
1517942405,1,0
1517944327,0,1
1517954885,1,0
1517956328,0,1
1517963526,1,0
1517965927,0,1
1517966409,0,1
1517966891,1,1
1517967364,1,11
1517967850,0,1
1517968325,1,0
1517990888,1,0
1517992805,0,1
1517997125,0,1
1517997616,1,0
1518001449,1,0
1518003366,0,1
1518006726,0,1
1518007209,1,0
1518019686,1,0
1518021610,0,1
1518023525,1,0
1518025924,0,1
1518026888,0,1
1518028329,1,0
1518030494,0,1
1518031925,1,0
1518034087,0,1
1518036005,1,0
1518037451,0,1
1518044653,1,0
1518046577,1,0
1518048494,0,1
1518052328,0,2
1518052810,1,0
1518053766,2,0
1518054251,0,1
1518054727,1,0
1518057134,0,1
1518070327,0,1
1518070806,1,0
1518073690,0,1
1518075127,1,0
1518077286,1,0
1518078727,0,1
1518079925,0,1
1518081608,1,0
1518083766,0,1
1518084734,1,0
1518086648,0,1
1518087614,1,0
1518088090,1,0
1518090006,0,1
1518091449,1,0
1518093607,0,1
1518102012,0,1
1518102487,1,0
1518105847,1,0
1518108008,0,1
1518109446,1,0
1518112831,0,1
