DateTime,Entries,UniqueIPs
1516511766,99,99
1516516567,98,98
1516517051,99,99
1516523767,97,97
1516524246,99,99
1516528087,98,98
1516528572,99,99
1516535525,96,96
1516536014,99,99
1516540806,98,98
1516541528,99,99
1516552565,98,98
1516553048,99,99
1516559767,98,98
1516560248,99,99
1516565047,97,97
1516565531,98,98
1516573211,97,97
1516573687,98,98
1516582103,97,97
1516582564,98,98
1516583050,97,97
1516583537,98,98
1516584970,97,97
1516585445,98,98
1516596488,97,97
1516596969,98,98
1516605605,96,96
1516606099,98,98
1516611848,97,97
1516612328,98,98
1516642329,97,97
1516642805,98,98
1516643290,97,97
1516643765,98,98
1516655286,97,97
1516656970,98,98
1516669929,96,96
1516676167,95,95
1516676648,95,95
1516682885,94,94
1516683365,95,95
1516683851,94,94
1516684328,95,95
1516686725,94,94
1516687213,95,95
1516696806,96,96
1516700164,95,95
1516724647,96,96
1516735207,95,95
1516735686,96,96
1516756091,97,97
1516756569,96,96
1516757767,95,95
1516758247,96,96
1516758728,97,97
1516762090,96,96
1516762565,97,97
1516764965,96,96
1516765445,97,97
1516765926,96,96
1516766411,97,97
1516776965,96,96
1516789927,95,95
1516790408,96,96
1516791848,95,95
1516792328,96,96
1516815368,95,95
1516815845,96,96
1516816329,94,94
1516816814,96,96
1516819689,95,95
1516820171,96,96
1516838650,95,95
1516839131,96,96
1516839606,95,95
1516840090,96,96
1516842486,95,95
1516842966,96,96
1516843925,95,95
1516844406,97,97
1516844889,96,96
1516845366,97,97
1516845845,96,96
1516846329,97,97
1516865528,96,96
1516866008,97,97
1516866488,96,96
1516866965,97,97
1516869365,96,96
1516869852,97,97
1516890727,96,96
1516891445,97,97
1516891924,95,95
1516892416,97,97
1516895285,96,96
1516895769,97,97
1516915929,96,96
1516916405,97,97
1516917849,96,96
1516918328,97,97
1516918807,96,96
1516919291,97,97
1516924324,96,96
1516924813,97,97
1516929609,95,95
1516930093,97,97
1516931527,96,96
1516932018,97,97
1516932486,95,95
1516932969,96,96
1516933448,97,97
1516935367,98,98
1516941127,97,97
1516941609,97,97
1516942090,96,96
1516942568,97,97
1516946413,98,98
1516947845,97,97
1516948328,98,98
1516949765,97,97
1516950251,98,98
1516951207,97,97
1516951694,98,98
1516961290,97,97
1516961830,98,98
1516962244,97,97
1516962846,98,98
1516968250,96,96
1516968966,98,98
1516988889,97,97
1516993447,96,96
1516993936,97,97
1516994409,96,96
1516994886,97,97
1517101689,96,96
1517102648,95,95
1517103131,96,96
1517148247,97,97
1517188324,95,95
1517188810,96,96
1517189285,94,94
1517200805,93,93
1517274726,92,92
1517275205,93,93
1517277129,92,92
1517277625,93,93
1517360647,92,92
1517361606,91,91
1517362090,89,89
1517362567,90,90
1517363051,89,89
1517448245,88,88
1517448728,89,89
1517533926,88,88
1517534889,87,87
1517535365,88,88
1517535848,86,86
1517620576,85,85
1517621531,84,84
1517622005,86,86
1517622969,87,87
1517623449,86,86
1517623926,87,87
1517624408,88,88
1517706489,87,87
1517706967,88,88
1517709367,87,87
1517710090,86,86
1517730007,85,85
1517793848,84,84
1517794328,92,92
1517794805,91,91
1517796020,92,92
1517880725,92,92
1517881210,91,91
1517881685,93,93
1517888405,94,94
1517902328,97,97
1517902806,99,99
1517903289,100,100
1517904246,98,98
1517905207,99,99
1517907619,98,98
1517910004,99,99
1517913364,98,98
1517917925,99,99
1517921526,98,98
1517922016,99,99
1517925846,98,98
1517935444,99,99
1517935927,98,98
1517942405,99,99
1517944327,98,98
1517954885,99,99
1517956328,98,98
1517963526,99,99
1517965927,98,98
1517966409,97,97
1517966891,97,97
1517967364,87,87
1517967850,86,86
1517968325,87,87
1517990888,88,88
1517992805,87,87
1517997125,86,86
1517997616,87,87
1518001449,88,88
1518003366,87,87
1518006726,86,86
1518007209,87,87
1518019686,88,88
1518021610,87,87
1518023525,88,88
1518025924,87,87
1518026888,86,86
1518028329,87,87
1518030494,86,86
1518031925,87,87
1518034087,86,86
1518036005,87,87
1518037451,86,86
1518044653,87,87
1518046577,88,88
1518048494,87,87
1518052328,85,85
1518052810,86,86
1518053766,88,88
1518054251,87,87
1518054727,88,88
1518057134,87,87
1518070327,86,86
1518070806,87,87
1518073690,86,86
1518075127,87,87
1518077286,88,88
1518078727,87,87
1518079925,86,86
1518081608,87,87
1518083766,86,86
1518084734,87,87
1518086648,86,86
1518087614,87,87
1518088090,88,88
1518090006,87,87
1518091449,88,88
1518093607,87,87
1518102012,86,86
1518102487,87,87
1518105847,88,88
1518108008,87,87
1518109446,88,88
1518112831,87,87
1518113286,86,86
1518115205,87,87
1518118565,86,86
1518125531,87,87
1518127690,86,86
1518136809,87,87
1518137285,88,88
1518138246,87,87
1518140164,93,93
1518155050,94,94
1518170412,93,93
1518170890,94,94
1518172808,93,93
1518176165,94,94
1518181687,95,95
1518183126,94,94
1518188887,95,95
1518192517,94,94
1518194169,94,94
1518196086,93,93
1518213851,94,94
1518215767,93,93
1518224890,91,91
1518226326,85,85
1518226809,85,85
1518228972,84,84
1518252006,85,85
1518265461,84,84
1518266410,85,85
1518269048,84,84
1518270005,85,85
1518272647,84,84
1518273129,85,85
1518273608,86,86
1518275527,85,85
1518276966,86,86
1518278887,85,85
1518280330,86,86
1518284169,85,85
1518285613,84,84
1518311287,85,85
1518311770,84,84
1518312247,85,85
1518312731,84,84
1518313205,83,83
1518313690,83,83
1518314167,84,84
1518338410,85,85
1518347527,84,84
1518348966,85,85
1518358088,84,84
1518358808,85,85
1518362413,84,84
1518362890,85,85
1518370566,84,84
1518376087,85,85
1518379927,84,84
1518381365,85,85
1518383047,84,84
1518384968,85,85
1518386889,84,84
1518394090,85,85
1518396007,84,84
1518399129,82,82
1518399607,84,84
1518416171,85,85
1518420249,84,84
1518426965,85,85
1518429850,84,84
1518433925,85,85
1518436566,84,84
1518439206,85,85
1518442564,84,84
1518443051,85,85
1518444488,86,86
1518446408,85,85
1518447365,84,84
1518450247,85,85
1518454085,84,84
1518456966,85,85
1518458888,84,84
1518460564,85,85
1518466087,84,84
1518468007,85,85
1518469932,84,84
1518474964,85,85
1518476886,84,84
1518480966,83,83
1518481444,84,84
1518484087,83,83
1518485044,84,84
1518485528,82,82
1518487450,83,83
1518487930,82,82
1518489606,81,81
1518511690,82,82
1518516018,81,81
1518516967,82,82
1518519369,81,81
1518520087,82,82
1518520570,83,83
1518522252,81,81
1518523925,82,82
1518524887,83,83
1518527291,82,82
1518527764,81,81
1518529686,82,82
1518534492,83,83
1518535445,82,82
1518536406,82,82
1518537848,80,80
1518538329,82,82
1518539287,81,81
1518539768,82,82
1518543609,83,83
1518545527,81,81
1518548889,82,82
1518550327,81,81
1518561849,82,82
1518563287,81,81
1518571932,79,79
1518572405,81,81
1518572889,82,82
1518575770,81,81
1518605531,82,82
1518609850,83,83
1518612008,81,81
1518612490,82,82
1518615365,82,82
1518617525,81,81
1518622089,82,82
1518627127,81,81
1518629527,82,82
1518631446,81,81
1518644408,82,82
1518646326,81,81
1518649453,82,82
1518651370,81,81
1518651847,82,82
1518654249,81,81
1518654727,82,82
1518657851,81,81
1518658806,81,81
1518659531,80,80
1518660485,81,81
1518662167,80,80
1518666247,79,79
1518666730,80,80
1518671288,81,81
1518672250,80,80
1518672726,80,80
1518687605,79,79
1518688567,80,80
1518689293,81,81
1518691205,80,80
1518693126,81,81
1518694565,80,80
1518705369,79,79
1518706325,80,80
1518717132,79,79
1518743288,78,78
1518745692,79,79
1518779047,80,80
1518780254,81,81
1518781209,80,80
1518786487,81,81
1518788172,80,80
1518792491,78,78
1518796818,80,80
1518797291,81,81
1518799206,80,80
1518805206,79,79
1518808325,80,80
1518809769,79,79
1518812171,80,80
1518813128,79,79
1518816731,80,80
1518818650,79,79
1518820571,80,80
1518822247,79,79
1518831133,80,80
1518847447,81,81
1518849368,80,80
1518852729,81,81
1518862329,82,82
1518863768,81,81
1518864969,80,80
1518869770,81,81
1518871928,80,80
1518876249,81,81
1518889205,80,80
1518890887,81,81
1518892805,80,80
1518905525,81,81
1518907205,80,80
1518917769,81,81
1518925445,82,82
1518941287,83,83
1518942727,82,82
1518950167,83,83
1518952092,82,82
1518953047,81,81
1518954007,83,83
1518955931,82,82
1518966486,83,83
1518967928,82,82
1518979208,81,81
1518984725,82,82
1518989765,81,81
1518994569,82,82
1518997213,83,83
1518997685,82,82
1519000566,81,81
1519002487,82,82
1519004405,81,81
1519004891,80,80
1519005364,81,81
1519010649,82,82
1519013528,81,81
1519014492,82,82
1519016427,81,81
1519018805,82,82
1519026009,83,83
1519027929,82,82
1519034892,81,81
1519037285,82,82
1519038486,81,81
1519039448,82,82
1519041849,81,81
1519045211,82,82
1519045690,83,83
1519047368,82,82
1519049287,83,83
1519050246,82,82
1519051205,82,82
1519063688,81,81
1519076405,82,82
1519081924,81,81
1519083851,82,82
1519089369,81,81
1519089846,82,82
1519090325,81,81
1519090809,82,82
1519092250,81,81
1519096096,82,82
1519118888,81,81
1519119851,82,82
