DateTime,Entries,UniqueIPs
1508324452,4710,4755
1508343266,4700,4745
1508361442,4712,4757
1508390207,4665,4710
1508412283,4674,4717
1508429171,4671,4715
1508453585,4703,4748
1508476355,4675,4720
1508498246,4691,4735
1508515224,4676,4720
1508540055,4652,4696
1508562626,4688,4733
1508583382,4698,4743
1508601763,4674,4719
1508626553,4655,4701
1508648834,4675,4721
1508669724,4691,4736
1508688804,4682,4726
1508710438,4695,4741
1508734853,4627,4673
1508758817,4622,4668
1508774544,4638,4684
1508799334,4660,4706
1508821508,4628,4673
1508845508,4632,4677
1508861652,4625,4670
1508883021,4666,4711
1508908356,4646,4691
1508929479,4621,4667
1508947898,4610,4656
1508969359,4658,4704
1508994620,4625,4670
1509015515,4666,4712
1509033841,4638,4685
1509057082,4647,4694
1509080895,4632,4679
1509104576,4621,4667
1509119985,4609,4655
1509143831,4659,4705
1509167021,4620,4665
1509189732,4641,4687
1509207247,4636,4681
1509228784,4626,4671
1509254495,4638,4683
1509275422,4663,4708
1509293978,4653,4699
1509315288,4670,4715
1509340623,4638,4683
1509362059,4648,4691
1509380022,4638,4680
1509402154,4683,4725
1509426848,4658,4700
1509448417,4674,4717
1509466200,4656,4699
1509488552,4679,4723
1509512661,4643,4687
1509537201,4637,4681
1509553008,4620,4665
1509574523,4636,4682
1509598952,4625,4672
1509622912,4625,4673
1509639009,4639,4687
1509660437,4669,4717
1509685855,4634,4682
1509706707,4678,4727
1509725163,4676,4723
1509749007,4677,4724
1509772226,4698,4745
1509793284,4734,4781
1509811734,4694,4741
1509833710,4692,4740
1509858917,4653,4702
1509879475,4686,4737
1509902089,4631,4682
1509924174,4638,4689
1509948998,4638,4689
1509969980,4625,4676
1509988526,4611,4662
1510010605,4595,4645
1510034986,4602,4652
1510055799,4609,4660
1510074406,4591,4642
1510099159,4571,4621
1510121459,4593,4642
1510142235,4594,4642
1510160665,4575,4623
1510185265,4563,4610
1510208339,4593,4640
1510228931,4582,4628
1510247751,4575,4621
1510269190,4569,4614
1510293803,4595,4640
1510317315,4634,4679
1510333849,4600,4645
1510354476,4619,4664
1510380064,4617,4662
1510404033,4606,4651
1510420447,4631,4676
1510441636,4635,4680
1510467020,4659,4704
1510487500,4663,4708
1510506706,4687,4728
1510528415,4752,4794
1510553179,4718,4760
1510576734,4723,4766
1510592857,4751,4793
1510616748,4769,4810
1510639622,4780,4821
1510663608,4763,4804
1510679471,4791,4832
1510701162,4808,4848
1510725788,4837,4877
1510748908,4831,4871
1510765571,4862,4902
1510790889,4878,4918
1510812280,4890,4929
1510835110,4915,4954
1510852065,4933,4972
1510876743,4961,4999
1510899029,4978,5016
1510919425,5014,5052
1510938883,5047,5084
1510960277,5070,5106
1510985174,5076,5112
1511009277,5090,5127
1511024741,5111,5148
1511048137,5125,5163
1511071706,5147,5186
1511092736,5172,5212
1511111501,5191,5231
1511132850,5216,5257
1511157925,5226,5267
1511181927,5267,5309
1511198224,5268,5310
1511219676,5287,5329
1511244125,5305,5346
1511267385,5331,5372
1511284356,5329,5369
1511305072,5354,5395
1511330732,5376,5419
1511353614,5447,5490
1511370617,5406,5445
1511391876,5435,5474
1511417051,5452,5491
1511440050,5515,5554
1511457097,5486,5524
1511478118,5511,5550
1511503476,5520,5559
1511526797,5556,5595
1511543292,5564,5604
1511564598,5564,5605
1511590105,5566,5607
1511610491,5590,5632
1511629566,5606,5648
1511653564,5632,5675
1511676660,5647,5690
1511697357,5667,5715
1511716254,5671,5719
1511737879,5691,5743
1511763153,5701,5754
1511783913,5731,5784
1511802628,5738,5791
1511824176,5757,5813
1511849217,5770,5825
1511872633,5802,5856
1511889235,5804,5858
1511910323,5834,5888
1511935672,5842,5897
1511955907,5863,5917
1511975541,5865,5919
1511996656,5884,5938
1512022407,5896,5950
1512043778,5909,5965
1512061568,5917,5974
1512085358,5942,5997
1512108566,5949,6004
1512128883,5997,6052
1512148066,5959,6014
1512168755,5980,6031
1512195040,5968,6019
1512215195,5976,6027
1512234331,5971,6022
1512258213,5986,6034
1512281148,5981,6029
1512304681,5985,6032
1512320964,5976,6022
1512342240,6013,6060
1512367575,5968,6008
1512390353,5975,6015
1512407532,5972,6013
1512427985,5981,6024
1512454196,5986,6029
1512474842,5987,6032
1512493913,5998,6043
1512515191,5990,6036
1512540351,6004,6050
1512563234,6004,6050
1512580059,5971,6016
1512601160,6011,6060
1512626890,5982,6031
1512647482,5982,6031
1512666540,5990,6039
1512687305,6020,6069
1512713239,5993,6042
1512733883,6018,6068
1512752667,6003,6053
1512776804,6042,6092
1512799968,5992,6042
1512819326,6036,6087
1512839333,5990,6040
1512860555,6034,6084
1512885622,5999,6049
1512908493,6012,6062
1512925438,5973,6022
1512949503,5922,5972
1512972411,5933,5983
1512995312,5899,5950
1513012232,5915,5966
1513032586,5928,5980
1513058446,5886,5938
1513081212,5898,5952
1513098151,5822,5876
1513121386,5794,5848
1513144748,5814,5868
1513167323,5834,5889
1513184717,5750,5805
1513207530,5782,5837
1513231245,5720,5776
1513253829,5757,5814
1513271114,5714,5769
1513294763,5646,5700
1513317280,5657,5711
1513339738,5666,5720
1513357139,5631,5685
1513380423,5632,5686
1513403931,5547,5600
1513426439,5589,5642
1513443651,5535,5589
1513467061,5541,5593
1513490296,5493,5545
1513512243,5502,5554
1513529777,5446,5499
1513552812,5448,5502
1513576287,5361,5414
1513594761,5392,5448
1513615948,5331,5386
1513635158,5398,5455
1513662718,5348,5404
1513682052,5334,5390
1513702616,5256,5310
1513721793,5277,5331
1513749135,5222,5275
1513768461,5256,5309
1513788491,5204,5257
1513807893,5216,5272
1513835294,5146,5202
1513854263,5176,5232
1513874817,5149,5205
1513894221,5194,5251
