DateTime,AddedIPs,RemovedIPs
1508324452,110,109
1508343266,103,102
1508361442,102,103
1508390207,121,120
1508412283,110,111
1508429171,109,111
1508453585,105,102
1508476355,114,117
1508498246,104,101
1508515224,102,104
1508540055,102,102
1508562626,121,121
1508583382,97,96
1508601763,92,94
1508626553,119,116
1508648834,105,107
1508669724,100,97
1508688804,98,100
1508710438,120,119
1508734853,99,100
1508758817,100,99
1508774544,100,101
1508799334,113,113
1508821508,115,114
1508845508,105,105
1508861652,98,99
1508883021,112,111
1508908356,98,99
1508929479,94,95
1508947898,88,87
1508969359,117,116
1508994620,99,98
1509015515,110,111
1509033841,94,94
1509057082,102,103
1509080895,96,96
1509104576,101,101
1509119985,91,92
1509143831,112,112
1509167021,92,93
1509189732,98,97
1509207247,101,101
1509228784,110,110
1509254495,96,95
1509275422,100,99
1509293978,99,99
1509315288,110,110
1509340623,97,98
1509362059,108,108
1509380022,94,93
1509402154,118,119
1509426848,101,101
1509448417,103,102
1509466200,100,102
1509488552,113,112
1509512661,99,101
1509537201,101,99
1509553008,98,98
1509574523,114,114
1509598952,95,95
1509622912,117,118
1509639009,103,103
1509660437,118,118
1509685855,107,107
1509706707,124,125
1509725163,118,116
1509749007,130,129
1509772226,125,127
1509793284,104,102
1509811734,101,102
1509833710,103,102
1509858917,91,93
1509879475,98,97
1509902089,101,102
1509924174,112,111
1509948998,100,101
1509969980,129,127
1509988526,98,100
1510010605,102,101
1510034986,115,116
1510055799,106,103
1510074406,93,95
1510099159,102,102
1510121459,116,117
1510142235,106,105
1510160665,93,93
1510185265,100,99
1510208339,123,123
1510228931,102,102
1510247751,97,98
1510269190,110,109
1510293803,120,123
1510317315,100,97
1510333849,121,123
1510354476,139,136
1510380064,124,124
1510404033,100,100
1510420447,120,122
1510441636,138,137
1510467020,130,130
1510487500,107,107
1510506706,127,128
1510528415,134,133
1510553179,129,130
1510576734,100,98
1510592857,128,129
1510616748,135,134
1510639622,123,124
1510663608,99,99
1510679471,121,122
1510701162,140,138
1510725788,130,132
1510748908,101,100
1510765571,118,119
1510790889,142,140
1510812280,132,134
1510835110,141,139
1510852065,129,132
1510876743,141,138
1510899029,130,132
1510919425,140,138
1510938883,131,133
1510960277,140,139
1510985174,131,133
1511009277,142,139
1511024741,127,129
1511048137,124,122
1511071706,133,135
1511092736,142,140
1511111501,125,128
1511132850,140,138
1511157925,121,125
1511181927,134,129
1511198224,125,129
1511219676,137,134
1511244125,129,130
1511267385,141,140
1511284356,130,131
1511305072,137,136
1511330732,128,129
1511353614,139,138
1511370617,129,129
1511391876,131,130
1511417051,127,129
1511440050,136,136
1511457097,126,126
1511478118,138,137
1511503476,126,127
1511526797,137,135
1511543292,120,123
1511564598,119,120
1511590105,114,113
1511610491,131,129
1511629566,122,124
1511653564,129,126
1511676660,121,124
1511697357,134,132
1511716254,118,121
1511737879,129,128
1511763153,119,121
1511783913,136,132
1511802628,121,124
1511824176,126,124
1511849217,125,128
1511872633,140,135
1511889235,120,125
1511910323,127,124
1511935672,125,126
1511955907,129,129
1511975541,122,122
1511996656,128,126
1512022407,114,117
1512043778,137,134
1512061568,126,129
1512085358,124,121
1512108566,113,117
1512128883,133,130
1512148066,117,119
1512168755,124,121
1512195040,114,117
1512215195,127,125
1512234331,104,107
1512258213,131,128
1512281148,104,107
1512304681,113,110
1512320964,96,100
1512342240,109,105
1512367575,97,103
1512390353,134,128
1512407532,108,112
1512427985,118,115
1512454196,106,107
1512474842,116,114
1512493913,111,113
1512515191,120,117
1512540351,102,107
1512563234,113,108
1512580059,99,102
1512601160,108,105
1512626890,95,96
1512647482,120,118
1512666540,109,112
1512687305,115,113
1512713239,111,112
1512733883,102,100
1512752667,105,106
1512776804,110,110
1512799968,97,97
1512819326,103,102
1512839333,102,103
1512860555,110,110
1512885622,97,98
1512908493,105,106
1512925438,96,97
1512949503,112,110
1512972411,95,98
1512995312,104,99
1513012232,94,97
1513032586,118,115
1513058446,97,100
1513081212,103,100
1513098151,95,99
1513121386,107,103
1513144748,96,101
1513167323,100,95
1513184717,93,96
1513207530,101,98
1513231245,91,94
1513253829,104,101
1513271114,92,95
1513294763,118,117
1513317280,89,90
1513339738,96,94
1513357139,89,91
1513380423,109,107
1513403931,99,102
1513426439,100,98
1513443651,93,95
1513467061,108,105
1513490296,89,92
1513512243,104,101
1513529777,87,90
1513552812,116,112
1513576287,97,102
1513594761,94,91
1513615948,96,96
1513635158,125,124
1513662718,106,106
1513682052,99,99
1513702616,89,90
1513721793,92,91
1513749135,101,102
1513768461,104,104
1513788491,96,97
1513807893,107,106
1513835294,102,106
1513854263,100,98
1513874817,104,105
1513894221,137,132
1513921797,126,130
1513940454,98,95
1513961312,105,108
1513981115,112,111
1514008134,103,103
1514026634,106,107
1514048616,114,113
1514068452,139,136
1514095169,128,131
1514114393,108,106
1514134336,108,110
1514154081,141,138
1514181438,131,135
1514199931,108,105
1514220679,107,110
1514240753,137,134
1514268223,132,134
1514287065,111,110
1514307412,111,114
1514326845,131,128
1514354347,128,127
1514373594,128,130
1514393807,113,111
1514417424,106,107
1514440973,108,108
1514459913,109,112
1514479964,114,113
1514499324,137,134
1514526616,130,134
1514545346,104,102
1514566598,113,114
1514585940,136,133
1514613444,123,128
1514632313,102,99
1514652943,107,110
1514672701,138,133
1514699826,128,132
1514718581,94,92
1514739250,116,116
1514759063,136,135
1514786055,129,128
1514805614,105,106
1514825863,130,130
1514845968,140,139
1514872573,128,129
1514891748,100,101
1514912113,125,124
1514931505,137,135
1514958472,123,126
1514977844,115,113
1514998241,117,119
1515017611,138,137
1515045461,134,136
1515064277,108,105
1515084968,122,122
1515103405,134,135
1515131655,126,127
1515150347,113,114
1515171106,123,121
1515189988,135,134
1515218105,124,125
1515236103,110,109
1515257828,102,104
1515276336,104,103
1515304403,105,106
1515344739,40,39
1515363713,98,98
1515390973,96,96
1515409016,118,117
1515430645,105,106
1515448739,106,104
1515477245,100,104
1515494966,101,98
1515517633,96,100
1515536394,103,102
1515563924,92,92
1515582058,104,101
1515603944,97,101
1515623176,104,99
1515650204,111,115
1515669036,112,110
1515689740,104,106
1515709506,94,90
1515736293,111,115
1515755139,100,96
1515775344,102,105
1515795173,112,110
1515822938,118,120
1515841437,100,97
1515862802,99,103
1515882918,95,94
1515909154,118,120
1515928223,125,123
1515949222,96,97
1515969287,92,91
1515995384,119,121
1516014352,126,123
1516034812,102,105
1516054392,94,94
1516081829,117,116
1516100608,113,113
1516121454,98,98
1516140971,108,106
1516168632,120,122
1516187373,118,116
1516207610,92,95
1516226776,103,100
1516254681,118,118
1516273708,101,103
1516294137,97,95
1516313708,123,124
1516341210,110,111
1516359957,100,100
1516380744,91,91
1516400371,102,100
1516427714,108,111
1516446921,96,94
1516467359,97,100
1516486943,103,102
1516513753,113,114
1516532340,98,95
1516553583,88,90
1516572836,97,94
1516600418,112,114
1516619919,96,94
1516640114,94,98
1516658943,103,101
1516686743,119,121
1516705820,104,101
1516726567,98,99
1516746092,97,94
1516773006,107,111
1516791829,101,99
1516812883,97,100
1516832154,104,101
1516859822,99,101
1516878644,106,103
1516899533,104,104
1516919136,114,113
1516946036,110,111
1516965149,98,98
1516985683,112,116
1517004812,118,115
1517032400,107,108
1517051493,103,100
1517072473,103,106
1517091868,99,97
1517118830,95,97
1517137841,94,92
1517158664,85,87
1517178265,108,104
1517205357,97,99
1517224076,99,98
1517245223,90,94
1517265016,106,102
1517291701,95,97
1517310180,90,88
1517331184,81,82
1517350660,110,109
1517378166,102,105
1517397251,97,94
1517417877,91,93
1517437871,111,108
1517464158,98,101
1517483092,105,105
1517504482,104,106
1517524063,112,110
1517550829,104,106
1517569450,112,108
1517590637,97,100
1517610378,124,121
1517637510,110,113
1517656444,103,101
1517676799,97,98
1517696039,110,111
1517723437,108,105
1517742676,119,119
1517763352,102,102
1517783301,130,129
1517809704,121,123
1517828811,102,103
1517849442,108,108
1517869054,134,134
1517895965,132,134
1517915282,106,102
1517935608,112,115
1517955994,133,132
1517982614,128,128
1518001042,101,101
1518021947,105,107
1518040891,130,126
1518068705,119,120
1518087166,111,110
1518108289,112,113
1518127793,131,128
1518155536,122,125
1518174000,94,93
1518194253,110,111
1518213051,119,117
1518241912,113,116
1518260849,104,104
1518281422,109,109
1518300561,129,126
1518327998,127,128
1518346850,102,101
1518367330,112,114
1518387089,128,126
1518414439,120,123
1518433120,96,95
1518453849,107,108
1518473631,103,103
1518500770,102,103
1518519458,110,108
1518540152,105,106
1518560193,119,118
1518587417,113,113
1518606064,93,92
1518626845,102,104
1518645830,109,107
1518673530,110,112
1518692318,94,92
1518713045,111,113
1518732565,93,92
1518759922,103,104
1518779367,95,95
1518800154,110,111
1518819941,120,117
1518846804,120,122
1518865392,94,93
1518886392,103,105
1518905878,101,100
1518933372,105,104
1518952523,91,89
1518972745,108,109
1518992292,106,106
1519019837,105,106
1519039071,96,96
1519059600,101,101
1519078790,94,93
1519106098,110,110
1519125595,100,102
