DateTime,AddedIPs,RemovedIPs
1518745922,4,0
1518746521,8,0
1518747121,9,0
1518747721,6,3
1518748322,9,0
1518748921,17,0
1518750121,8,0
1518750722,3,1
1518751322,5,1
1518751921,12,0
1518752521,2,0
1518753721,6,0
1518754321,6,0
1518754921,13,0
1518755522,3,1
1518756121,5,1
1518756722,1,0
1518757321,4,0
1518757921,3,0
1518758522,2,0
1518759722,1,11
1518760321,1,0
1518760922,5,4
1518761521,6,0
1518762121,1,0
1518762721,1,0
1518763322,4,0
1518763921,23,1
1518764522,4,1
1518765122,1,0
1518765721,0,2
1518766321,6,0
1518766921,3,8
1518767521,1,3
1518768122,9,0
1518768722,5,17
1518769321,5,0
1518769921,3,10
1518770521,7,0
1518771122,3,29
1518771721,2,4
1518772322,6,0
1518772921,3,0
1518774121,1,4
1518774722,2,0
1518775321,1,1
1518776521,2,0
1518777721,2,0
1518778921,2,0
1518780122,1,1
1518780722,10,0
1518781322,2,5
1518782521,6,0
1518783121,6,2
1518783722,2,3
1518784322,1,0
1518784921,4,2
1518786121,1,0
1518787322,1,0
1518787921,2,1
1518788522,1,1
1518789722,3,27
1518790322,4,0
1518790921,2,0
1518792121,1,3
1518792721,2,11
1518793322,1,0
1518794522,1,0
1518795121,3,0
1518796322,2,6
1518796922,1,19
1518797522,12,0
1518798122,2,0
1518799322,8,1
1518800521,0,24
1518801722,3,1
1518804122,3,0
1518804722,2,0
1518805322,1,2
1518805922,7,0
1518806521,10,6
1518807122,31,0
1518807722,6,4
1518808921,7,0
1518809521,2,0
1518810121,2,5
1518811321,3,0
1518811922,13,0
1518812522,14,0
1518813121,4,0
1518813722,2,0
1518814321,2,1
1518814922,3,2
1518815522,7,5
1518816122,16,0
1518817322,1,3
1518817922,5,0
1518818522,9,2
1518819722,6,2
1518820321,6,1
1518820921,9,0
1518821521,1,0
1518822122,7,3
1518822722,15,0
1518823321,3,0
1518823921,18,0
1518824521,7,0
1518825122,9,2
1518825722,13,2
1518826922,4,0
1518827522,4,2
1518828122,11,0
1518828722,7,1
1518829321,3,0
1518829921,1,2
1518831121,8,1
1518831721,5,2
1518832322,6,1
1518832922,3,4
1518833522,4,0
1518834121,7,0
1518834721,7,0
1518835322,4,0
1518835922,4,1
1518836521,6,0
1518837122,7,2
1518837721,15,1
1518838321,6,0
1518838922,3,1
1518839522,7,0
1518840121,6,0
1518840722,4,0
1518841321,3,0
1518841921,1,3
1518842522,7,0
1518843722,8,3
1518844321,2,0
1518844921,11,0
