DateTime,Entries,UniqueIPs
1518751921,9120,9209
1518752521,9122,9211
1518753721,9121,9210
1518754321,9126,9215
1518754921,9131,9220
1518755522,9134,9223
1518756121,9139,9228
1518756722,9139,9228
1518757321,9130,9219
1518757921,9133,9222
1518758522,9136,9225
1518759122,9134,9223
1518759722,9135,9224
1518760321,9135,9224
1518760922,9140,9229
1518761521,9147,9236
1518762121,9148,9237
1518762721,9149,9238
1518763322,9153,9242
1518763921,9176,9265
1518764522,9180,9269
1518765122,9181,9270
1518766321,9186,9275
1518766921,9180,9269
1518767521,9181,9270
1518768122,9190,9279
1518768722,9195,9284
1518769321,9200,9290
1518769921,9199,9289
1518770521,9206,9296
1518771122,9196,9284
1518771721,9185,9273
1518772322,9190,9278
1518772921,9192,9280
1518774121,9193,9281
1518774722,9195,9283
1518775321,9196,9284
1518776521,9179,9267
1518777721,9177,9265
1518778921,9158,9245
1518780122,9151,9238
1518780722,9156,9242
1518781322,9158,9244
1518782521,9162,9249
1518783121,9168,9255
1518783722,9166,9253
1518784322,9160,9248
1518784921,9157,9245
1518786121,9159,9247
1518786722,9157,9245
1518787322,9135,9222
1518787921,9137,9224
1518788522,9135,9222
1518789722,9136,9223
1518790322,9142,9229
1518790921,9144,9231
1518792121,9140,9227
1518792721,9142,9229
1518793322,9143,9230
1518794522,9139,9225
1518795121,9142,9228
1518796322,9141,9228
1518796922,9142,9229
1518797522,9154,9241
1518798122,9150,9236
1518799322,9150,9237
1518800521,9147,9234
1518801722,9141,9228
1518802921,9140,9227
1518804122,9138,9225
1518804722,9140,9227
1518805322,9141,9228
1518805922,9149,9236
1518806521,9156,9244
1518807122,9184,9272
1518807722,9185,9273
1518808921,9189,9278
1518809521,9190,9279
1518810121,9192,9281
1518811321,9195,9284
1518811922,9182,9271
1518812522,9197,9286
1518813121,9201,9290
1518813722,9201,9290
1518814321,9200,9288
1518814922,9198,9287
1518815522,9204,9293
1518816122,9220,9309
1518817322,9218,9307
1518817922,9224,9313
1518818522,9210,9297
1518819722,9212,9298
1518820321,9212,9298
1518820921,9219,9305
1518821521,9220,9306
1518822122,9227,9313
1518822722,9240,9326
1518823321,9243,9329
1518823921,9258,9344
1518824521,9264,9350
1518825122,9250,9336
1518825722,9263,9349
1518826922,9260,9346
1518827522,9264,9350
1518828122,9275,9361
1518828722,9282,9368
1518829321,9285,9371
1518829921,9285,9371
1518831121,9252,9338
1518831721,9257,9343
1518832322,9263,9349
1518832922,9264,9350
1518833522,9269,9355
1518834121,9275,9361
1518834721,9281,9366
1518835322,9287,9372
1518835922,9292,9377
1518836521,9298,9384
1518837122,9306,9392
1518837721,9306,9391
1518838321,9311,9397
1518838922,9311,9396
1518839522,9317,9402
1518840121,9306,9391
1518840722,9311,9396
1518841321,9314,9399
1518841921,9311,9396
1518842522,9318,9403
1518843722,9276,9360
1518844321,9278,9362
1518844921,9290,9374
1518845521,9293,9377
1518846121,9298,9382
1518846722,9306,9391
1518847322,9309,9394
1518847922,9307,9392
1518848521,9310,9395
1518849122,9314,9399
1518849722,9317,9402
1518850922,9316,9401
1518851522,9317,9402
1518852122,9321,9406
1518852721,9323,9408
1518853322,9316,9401
1518853922,9326,9411
1518854522,9327,9412
1518855122,9330,9415
1518855722,9333,9418
1518856321,9334,9419
1518856921,9341,9426
1518857522,9343,9428
1518858121,9358,9443
1518858722,9366,9451
1518859321,9372,9457
