DateTime,AddedIPs,RemovedIPs
1518555721,0,1
1518557521,0,1
1518559321,3,1
1518559921,0,2
1518560521,0,5
1518562322,0,3
1518562921,0,2
1518565321,0,2
1518566522,1,1
1518568322,0,12
1518569522,7,4
1518570122,0,1
1518571322,1,0
1518571921,0,4
1518574921,14,0
1518575522,1,1
1518577922,0,2
1518579721,9,13
1518583322,1,0
1518584521,0,1
1518585122,0,1
1518585722,0,4
1518587522,11,0
1518588121,0,3
1518589322,1,1
1518590522,0,15
1518592322,2,1
1518592921,0,8
1518593521,0,2
1518594721,1,0
1518596521,0,3
1518597121,1,7
1518597722,1,1
1518598321,1,5
1518599521,0,2
1518600121,1,0
1518600722,3,2
1518601322,0,1
1518602522,2,0
1518603721,0,3
1518604321,0,1
1518605522,1,3
1518606121,0,1
1518607321,0,1
1518608521,1,0
1518609121,0,3
1518609722,10,0
1518610322,1,7
1518610921,1,0
1518612122,1,1
1518613322,0,1
1518613922,0,1
1518614522,0,3
1518615121,1,0
1518615721,0,4
1518618122,1,2
1518619322,14,2
1518620522,1,2
1518621721,0,3
1518622921,0,7
1518624721,0,2
1518625322,0,1
1518626521,1,0
1518627721,0,3
1518628921,1,4
1518629521,0,1
1518631321,1,3
1518632521,2,5
1518633122,0,1
1518635522,0,4
1518636121,0,1
1518636721,1,0
1518637321,1,1
1518638522,0,1
1518639121,3,0
1518639722,1,4
1518642121,0,7
1518642721,0,3
1518643322,0,2
1518644521,1,4
1518645721,1,0
1518646921,3,3
1518647522,1,0
1518649321,0,4
1518650521,0,1
1518651721,0,1
1518652922,6,0
1518653522,0,1
1518654121,0,12
1518655321,2,0
1518655923,2,0
1518656522,1,0
1518658322,2,0
1518659521,1,2
1518660121,0,4
1518660722,0,2
1518661321,0,2
1518661921,1,1
1518664322,1,2
1518664921,1,0
1518665522,2,13
1518666121,2,0
1518666722,0,5
1518667322,0,1
1518667922,0,2
1518669122,1,5
1518669722,2,0
1518670922,10,8
1518671521,1,0
1518672121,2,0
1518673321,2,0
1518674522,0,5
1518677522,1,1
1518678122,2,0
1518678721,8,4
1518679321,1,1
1518680521,0,1
1518681121,1,0
1518681721,1,0
1518684121,1,3
1518685321,5,1
1518685921,1,0
1518686521,2,2
1518687722,1,6
1518688922,4,1
1518690122,0,3
1518691321,10,0
1518691921,0,1
1518693722,1,0
1518694321,0,1
1518694922,0,4
1518696122,6,11
1518697921,1,0
1518698522,0,5
1518699721,2,1
1518700321,2,0
1518700921,0,9
1518701521,1,0
1518704521,0,3
1518705721,0,1
1518706922,2,6
1518708121,1,0
1518708721,0,3
1518709321,0,8
1518710522,0,1
1518711122,0,2
1518711721,0,2
1518714121,0,2
1518715922,0,2
1518716521,1,0
1518717121,1,3
1518718921,5,2
1518719521,0,1
1518720722,0,1
1518721321,1,5
1518721922,1,0
1518724922,0,1
1518725521,0,1
1518726122,1,3
1518727321,0,1
1518727922,1,0
1518728521,1,0
1518729721,0,5
1518732122,0,2
1518732722,0,4
1518733321,1,0
1518734521,1,4
1518735121,1,0
1518736322,1,1
1518737522,0,5
1518739321,1,0
1518740521,1,0
1518742923,0,3
1518743522,3,0
1518744122,5,0
1518745922,0,3
1518746521,0,5
1518747121,1,2
1518747721,1,0
1518749522,0,1
1518750121,0,1
1518751322,0,11
1518752521,1,0
1518753721,0,4
1518754321,1,0
1518754921,0,1
1518755522,0,1
1518756722,0,1
1518759722,0,5
1518760922,0,3
1518763921,0,2
1518764522,28,7
1518765122,3,0
1518766321,1,1
1518766921,0,1
1518769321,1,0
1518769921,6,0
1518770521,1,0
1518771122,2,1
1518771721,0,6
1518772322,3,0
1518774121,0,2
1518776521,1,0
1518777721,1,8
1518778921,7,0
1518781922,1,3
1518783722,0,1
1518784322,2,0
1518784921,1,4
1518786121,3,0
1518786722,0,8
1518787322,1,3
1518789722,0,1
1518790322,6,0
1518790921,0,3
1518792721,0,2
1518793322,1,0
1518793921,1,0
1518796322,0,2
1518797522,2,1
1518798122,0,2
1518798722,0,3
1518799322,0,2
1518799922,1,0
1518804122,3,1
1518805322,0,2
1518805922,0,1
1518806521,1,1
1518807722,0,3
1518808921,3,0
1518809521,0,5
1518811321,1,5
1518811922,0,3
1518812522,8,0
1518813121,1,0
1518813722,0,1
1518814321,0,2
1518815522,4,1
1518816122,1,0
1518816721,0,1
1518817322,0,5
1518818522,0,2
1518819722,0,3
1518820321,8,0
1518820921,2,2
1518822121,2,1
1518823321,1,0
1518823921,0,3
1518826322,1,2
1518826922,1,1
1518828122,0,1
1518829921,0,5
1518830522,1,0
1518831121,0,4
1518831721,0,4
1518832922,0,4
1518833522,10,0
1518834121,0,2
1518834721,0,1
1518835922,1,1
1518836521,1,2
