DateTime,AddedIPs,RemovedIPs
1518732122,2,2
1518733321,5,5
1518734521,4,4
1518735121,3,3
1518735722,5,5
1518736322,6,6
1518736922,2,2
1518737522,2,2
1518738121,2,2
1518739321,7,7
1518739923,1,1
1518740521,3,3
1518741121,3,3
1518741721,2,2
1518742923,1,1
1518743522,7,7
1518744122,7,7
1518745323,1,1
1518746521,1,1
1518747121,4,4
1518747721,1,1
1518748322,1,1
1518748921,1,1
1518750121,1,1
1518750722,1,1
1518751921,3,3
1518752521,4,4
1518753121,2,2
1518753721,2,2
1518754321,3,3
1518754921,2,2
1518755522,1,1
1518756121,2,2
1518756722,2,2
1518757321,2,2
1518757921,2,2
1518758522,1,1
1518759722,2,2
1518760922,1,1
1518762121,2,2
1518762721,2,2
1518763322,6,6
1518763921,2,2
1518764522,30,30
1518765122,5,5
1518765721,5,5
1518766321,2,2
1518766921,2,2
1518768122,5,5
1518769321,6,6
1518769921,8,8
1518770521,1,1
1518771122,3,3
1518771721,1,1
1518772322,5,5
1518772921,2,2
1518773521,1,1
1518774121,1,1
1518774722,1,1
1518775321,1,1
1518776521,4,4
1518777721,2,2
1518778921,7,7
1518780122,2,2
1518780722,5,5
1518781322,3,3
1518781922,2,2
1518782521,2,2
1518783121,3,3
1518783722,5,5
1518784322,3,3
1518784921,1,1
1518786121,6,6
1518786722,7,7
1518787322,4,4
1518787921,5,5
1518788522,1,1
1518789722,1,1
1518790322,6,6
1518790921,2,2
1518792121,3,3
1518792721,3,3
1518793322,2,2
1518793921,4,4
1518794522,1,1
1518795121,2,2
1518796322,3,3
1518796922,1,1
1518797522,2,2
1518798122,1,1
1518798722,1,1
1518799322,2,2
1518799922,3,3
1518800521,2,2
1518801721,2,2
1518802921,1,1
1518804122,4,4
1518805322,5,5
1518805922,3,3
1518806521,3,3
1518807122,2,2
1518807722,6,6
1518808921,7,7
1518809521,1,1
1518810121,1,1
1518811321,7,7
1518811922,1,1
1518812522,10,10
1518813121,2,2
1518813722,2,2
1518815522,6,6
1518816122,2,2
1518816721,1,1
1518817322,1,1
1518817922,1,1
1518818522,2,2
1518819722,3,3
1518820321,9,9
1518820921,3,3
1518822121,3,3
1518823321,5,5
1518824521,1,1
1518825722,2,2
1518826322,2,2
1518826922,3,3
1518828122,3,3
1518829321,2,2
1518829921,2,2
1518830522,3,3
1518831121,2,2
1518831721,3,3
1518832322,1,1
1518832922,2,2
1518833522,11,11
1518834121,2,2
1518835322,1,1
1518835922,1,1
1518836521,3,3
1518837122,1,1
1518838321,2,2
1518838922,4,4
1518839522,11,11
1518840121,1,1
1518841321,10,10
1518841921,2,2
1518842522,1,1
1518843722,3,3
1518844321,2,2
1518844921,2,2
1518846121,1,1
1518846722,3,3
1518847322,2,2
1518848521,5,5
1518849122,1,1
1518849722,2,2
1518850321,2,2
1518850922,2,2
1518852122,1,1
1518853322,3,3
1518854522,2,2
1518855122,20,20
1518855722,6,6
1518856321,5,5
1518856921,4,4
1518858121,4,4
1518858722,2,2
1518859321,2,2
1518859922,4,4
1518860521,1,1
1518861121,1,1
1518861721,4,4
1518862921,8,8
1518863522,1,1
1518864122,4,4
1518864721,2,2
1518865322,11,11
1518866522,2,2
1518867721,4,4
1518868921,1,1
1518869522,2,2
1518870121,4,4
1518870722,9,9
1518871321,1,1
1518872522,7,7
1518873121,5,5
1518873722,9,9
1518874321,4,4
1518874922,3,3
1518875521,2,2
1518876121,2,2
1518876722,15,15
1518877321,1,1
1518878521,1,1
1518879122,3,3
1518879721,2,2
1518882122,7,7
1518882722,2,2
1518884521,3,3
1518885721,12,12
1518886921,8,8
1518887521,2,2
1518888122,4,4
1518889322,4,4
1518889921,3,3
1518890521,3,3
1518891721,3,3
1518892321,2,2
1518892922,4,4
1518894121,2,2
1518894722,1,1
1518895321,3,3
1518895921,1,1
1518897122,1,1
1518897721,4,4
1518898922,6,6
1518899522,2,2
1518900121,4,4
1518900721,5,5
1518901321,2,2
1518901921,10,10
1518902521,1,1
1518903721,6,6
1518904321,7,7
1518904921,7,7
1518906121,3,3
1518907322,2,2
1518907922,1,1
1518908521,6,6
1518909121,2,2
1518909721,4,4
1518911522,5,5
1518912122,3,3
1518913323,6,6
1518913922,2,2
1518914522,1,1
1518915722,6,6
1518916321,2,2
1518916922,2,2
1518917521,4,4
1518918121,3,3
1518918722,2,2
1518919321,3,3
1518919922,18,18
1518920522,1,1
1518921122,6,6
1518921721,4,4
1518922922,9,9
1518923521,6,6
1518924121,1,1
1518925321,2,2
1518926521,5,5
1518927122,7,7
1518927721,5,5
1518928921,7,7
1518929521,2,2
1518930121,2,2
1518930721,1,1
1518931321,1,1
1518932522,2,2
1518933721,6,6
1518934921,8,8
1518935521,2,2
1518936721,2,2
1518937322,4,4
1518938521,3,3
1518939721,5,5
1518940922,2,2
1518941522,5,5
1518942122,4,4
1518943321,6,6
1518943921,2,2
1518944521,2,2
1518945121,1,1
1518945722,4,4
1518946322,3,3
1518948122,10,10
1518949321,2,2
1518949921,1,1
1518950522,4,4
1518951121,5,5
1518951721,2,2
1518952922,2,2
1518954122,3,3
1518954721,1,1
1518955322,2,2
1518956521,4,4
1518957722,2,2
1518958921,3,3
1518960121,3,3
1518960722,3,3
1518961322,1,1
1518961921,3,3
1518962521,5,5
1518963121,4,4
1518963722,3,3
1518964321,2,2
1518964921,5,5
1518965522,3,3
1518966121,2,2
1518966721,1,1
1518967321,2,2
1518968522,5,5
1518969122,3,3
1518969721,1,1
1518970921,6,6
1518972122,7,7
1518972721,2,2
1518973321,8,8
1518974522,5,5
1518975122,3,3
1518975722,4,4
1518976922,5,5
1518978122,8,8
1518979322,6,6
1518979922,1,1
1518980522,5,5
1518981121,2,2
1518981722,8,8
1518982322,2,2
1518982921,12,12
1518984121,2,2
1518985321,5,5
1518985922,9,9
1518986521,2,2
1518987122,2,2
1518987722,1,1
1518988921,9,9
1518990121,2,2
1518991322,4,4
1518991921,5,5
1518992521,3,3
1518993721,8,8
1518994321,8,8
1518996121,5,5
1518996722,4,4
1518997321,11,11
1518997922,2,2
1518998522,7,7
1518999722,8,8
1519000321,2,2
1519000922,5,5
1519002122,6,6
1519002722,6,6
1519003321,6,6
1519003921,4,4
1519004521,5,5
1519005122,2,2
1519005721,3,3
1519006321,2,2
1519006922,6,6
1519007522,7,7
1519008122,5,5
1519008721,1,1
1519009322,17,17
1519010521,1,1
1519011721,4,4
1519012322,3,3
1519012921,2,2
1519014121,3,3
1519014722,2,2
1519015322,12,12
1519016522,17,17
1519017122,4,4
1519017722,1,1
1519018322,1,1
1519018922,3,3
1519020121,5,5
1519021322,10,10
1519021921,5,5
1519022521,1,1
1519023721,10,10
1519024921,22,22
1519026122,6,6
1519026722,3,3
1519027322,4,4
1519027921,5,5
1519028522,5,5
1519029121,5,5
1519029722,4,4
1519030321,4,4
1519030922,1,1
1519031522,4,4
1519032121,3,3
1519032722,2,2
1519033322,5,5
1519034521,1,1
1519035121,1,1
1519035721,2,2
1519036921,8,8
1519037521,2,2
1519038122,5,5
1519038722,1,1
1519039321,6,6
