DateTime,AddedIPs,RemovedIPs
1517317326,111,0
1517320925,112,0
1517324525,121,0
1517328125,124,0
1517331725,120,0
1517335325,89,0
1517338925,84,0
1517342526,82,0
1517346126,80,0
1517349725,121,0
1517353325,57,0
1517356925,120,2516
1517360526,270,0
1517364125,71,0
1517367725,116,0
1517371325,97,0
1517374925,91,0
1517378525,103,0
1517382125,119,0
1517385725,136,0
1517389326,103,0
1517392925,115,0
1517396525,117,0
1517400125,105,0
1517403725,90,0
1517407325,97,0
1517410925,85,0
1517414526,123,0
1517418126,112,0
1517421725,139,0
1517425326,98,0
1517428925,95,0
1517432525,66,0
1517436126,104,0
1517439725,70,0
1517443325,69,2540
1517446925,79,0
1517450526,78,0
1517454126,61,0
1517457726,77,0
1517461325,78,0
1517464926,108,1
1517468525,125,0
1517472126,116,0
1517475725,145,0
1517479326,195,0
1517482925,122,0
1517486526,150,0
1517490126,173,0
1517493725,227,0
1517497326,121,0
1517500925,217,0
1517504525,305,0
1517508126,82,0
1517511726,93,0
1517515326,68,0
1517518926,71,0
1517522526,63,0
1517526126,77,0
1517529725,58,2636
1517533326,80,0
1517536926,67,0
1517540526,59,0
1517544126,57,0
1517547726,78,0
1517551326,90,0
1517554926,81,0
1517558526,84,0
1517562126,105,0
1517565726,115,0
1517569326,105,2
1517572926,82,0
1517576526,99,0
1517580126,85,0
1517583726,101,0
1517587326,125,0
1517590926,115,0
1517594526,111,0
1517598126,61,0
1517601726,100,0
1517605326,87,0
1517608926,306,0
1517612526,86,0
1517616126,82,2961
1517619726,66,0
1517623326,89,0
1517626926,78,0
1517630526,114,0
1517634126,85,0
1517637726,128,0
1517641326,116,0
1517644926,116,0
1517648526,143,0
1517652126,137,0
1517655726,110,0
1517659326,150,0
1517662926,96,1
1517666526,90,0
1517670127,132,0
1517673727,127,0
1517677327,89,0
1517680927,163,0
1517684526,169,0
1517688126,70,0
1517691726,86,0
1517695327,63,0
1517698927,71,0
1517702526,57,2462
1517706126,82,0
1517709726,59,0
1517713326,86,0
1517716927,90,0
1517720526,68,0
1517724126,59,0
1517727727,82,0
1517731326,66,0
1517734927,80,0
1517738527,130,0
1517742127,98,0
1517745727,252,0
1517749327,135,0
1517752927,159,0
1517756527,151,0
1517760127,116,0
1517763727,66,0
1517767327,90,0
1517770926,72,0
1517774526,97,0
1517778127,167,0
1517781727,82,0
1517785327,63,0
1517788927,66,2553
1517792527,59,0
1517796127,70,0
1517799727,77,0
1517803326,52,0
1517806927,122,0
1517810528,75,0
1517814127,154,0
1517817727,125,0
1517821326,150,0
1517824927,140,0
1517828527,151,0
1517832127,200,0
1517835727,153,0
1517839327,90,0
1517842927,125,0
1517846527,115,0
1517850127,134,0
1517853727,117,0
1517857327,83,0
1517860927,83,0
1517864527,80,0
1517868127,75,0
1517871727,78,0
1517875327,71,2337
1517878927,90,0
1517882527,85,0
1517886127,80,0
1517889727,75,0
1517893327,73,0
1517896927,86,0
1517900527,96,0
1517904128,96,0
1517907727,99,0
1517911327,161,0
1517914927,126,0
1517918527,193,0
1517922127,129,0
1517925727,182,0
1517929327,258,0
1517932927,161,0
1517936527,84,0
1517940128,124,0
1517943728,73,0
1517947328,95,0
1517950927,79,0
1517954528,74,0
1517958128,74,0
1517961727,54,2388
1517965327,79,0
1517968928,57,0
1517972527,108,0
1517976128,165,0
1517979728,81,0
1517983327,99,0
1517986927,91,0
1517990528,100,0
1517994128,104,0
1517997728,118,0
1518001328,117,0
1518004927,114,0
1518008527,163,0
1518012127,136,0
1518015728,139,0
1518019327,66,1
1518022927,90,0
1518026528,80,0
1518030128,104,0
1518033728,93,0
1518037328,134,0
1518040928,84,0
1518044528,77,0
1518048128,89,2857
1518051728,179,0
1518055328,71,0
1518058928,207,0
1518062528,324,0
1518066128,234,0
1518069728,121,0
1518073328,110,0
1518076928,133,0
1518080528,121,0
1518084128,124,0
1518087728,108,0
1518091328,124,0
1518094928,105,0
1518098528,134,0
1518102128,153,0
1518105728,76,0
1518109328,100,0
1518112928,97,0
1518116528,87,0
1518120128,94,0
1518123728,126,0
1518127328,85,0
1518130928,64,0
1518134529,86,2615
1518138128,106,0
1518141728,95,0
1518145328,67,0
1518148928,73,0
1518152528,82,0
1518156128,130,0
1518159729,112,0
1518163328,126,0
1518168728,366,0
1518172329,94,0
1518175929,112,0
1518179529,82,0
1518183128,139,0
1518186728,173,0
1518190328,188,0
1518193928,148,0
1518197528,156,0
1518201128,108,0
1518204728,100,0
1518208329,72,0
1518211929,70,0
1518215528,88,0
1518219129,59,0
1518222728,77,2945
1518226329,231,0
1518229929,71,0
1518233528,60,0
1518238929,96,0
1518242528,81,0
1518246129,93,0
1518249728,63,0
1518253329,94,0
1518256929,112,0
1518260529,79,0
1518264129,111,0
1518267729,113,0
1518271328,88,0
1518274929,90,0
1518278529,95,1
1518282128,99,0
1518285729,121,0
1518289328,58,0
1518292928,83,0
1518296528,51,0
1518300129,68,0
1518303729,72,0
1518307328,60,2883
1518310929,75,0
1518314529,58,0
1518318129,64,0
1518321729,65,0
1518325329,77,0
1518328929,71,0
1518332529,76,0
1518336129,107,0
1518339729,96,0
1518343328,88,0
1518346929,100,0
1518350529,84,0
1518354129,88,0
1518357730,82,0
1518361329,80,0
1518364929,183,0
1518368529,200,0
1518372129,93,0
1518375730,93,0
1518379329,70,0
1518382929,216,0
1518386529,94,0
1518390129,72,0
1518393730,94,2076
1518397329,106,0
1518400929,212,0
1518404530,211,0
1518409929,101,0
1518413530,93,0
1518417129,113,0
1518420730,137,0
1518424329,487,0
1518427930,240,0
1518431530,224,0
1518435130,170,0
1518438729,97,0
1518442329,160,0
1518445929,108,0
1518449530,244,0
1518453130,275,0
1518456730,168,0
1518460329,63,0
1518463929,116,0
1518467530,81,0
1518471129,300,0
1518474730,101,0
1518479230,93,0
1518482829,123,2118
1518486430,160,0
1518490030,165,0
1518493630,84,0
1518497230,152,0
1518500829,158,0
1518504430,87,0
1518508030,91,0
1518511630,161,0
1518515230,99,0
1518518830,91,0
1518522430,98,0
1518526030,163,0
1518529630,116,0
1518533230,108,0
1518536829,170,0
1518540430,83,0
1518544029,80,0
1518547630,52,0
1518551230,57,0
1518554830,65,0
1518558430,63,0
1518562029,67,0
1518565630,70,0
1518569230,201,3969
1518572829,84,0
1518578229,202,0
1518581830,77,0
1518585430,74,0
1518589030,99,0
1518592630,96,0
1518596230,135,0
1518599830,91,0
1518603430,75,0
1518607030,96,0
1518610630,106,0
1518614230,83,0
1518617830,87,0
1518621430,97,0
1518625030,281,0
1518628630,74,0
1518632230,119,0
1518635830,70,0
1518639430,78,0
1518643030,84,0
1518646631,87,0
1518650230,55,0
1518653830,86,2716
1518657430,87,0
1518661030,93,0
1518664630,91,0
1518668231,80,0
1518671831,208,0
1518675431,257,0
1518679031,98,0
1518682630,274,0
1518686230,182,0
1518689830,96,0
1518693430,135,0
1518697031,133,0
1518700630,156,0
1518704230,108,0
1518707831,76,0
1518711431,149,0
1518715030,89,0
1518718630,77,0
1518722231,72,0
1518725830,78,0
1518729430,74,0
1518733031,81,0
1518736631,75,0
1518740231,88,2521
1518743831,73,0
1518749231,346,0
1518752830,134,0
1518756431,72,0
1518760031,108,0
1518763631,78,0
1518767231,84,0
1518770830,106,0
1518774431,103,0
1518778031,100,0
1518781631,90,0
1518785231,93,0
1518788831,189,0
1518792431,88,0
1518796031,137,0
1518799630,82,0
1518803231,71,0
1518806830,85,0
1518810431,144,0
1518814031,164,0
1518817631,80,0
1518821231,133,0
1518824831,81,0
1518828431,93,2822
1518832030,296,0
1518835631,172,0
