DateTime,Entries,UniqueIPs
1517317326,5142,5142
1517320925,5254,5254
1517324525,5375,5375
1517328125,5499,5499
1517331725,5619,5619
1517335325,5708,5708
1517338925,5792,5792
1517342526,5874,5874
1517346126,5954,5954
1517349725,6075,6075
1517353325,6132,6132
1517356925,3736,3736
1517360526,4006,4006
1517364125,4077,4077
1517367725,4193,4193
1517371325,4290,4290
1517374925,4381,4381
1517378525,4484,4484
1517382125,4603,4603
1517385725,4739,4739
1517389326,4842,4842
1517392925,4957,4957
1517396525,5074,5074
1517400125,5179,5179
1517403725,5269,5269
1517407325,5366,5366
1517410925,5451,5451
1517414526,5574,5574
1517418126,5686,5686
1517421725,5825,5825
1517425326,5923,5923
1517428925,6018,6018
1517432525,6084,6084
1517436126,6188,6188
1517439725,6258,6258
1517443325,3787,3787
1517446925,3866,3866
1517450526,3944,3944
1517454126,4005,4005
1517457726,4082,4082
1517461325,4160,4160
1517464926,4267,4267
1517468525,4392,4392
1517472126,4508,4508
1517475725,4653,4653
1517479326,4848,4848
1517482925,4970,4970
1517486526,5120,5120
1517490126,5293,5293
1517493725,5520,5520
1517497326,5641,5641
1517500925,5858,5858
1517504525,6163,6163
1517508126,6245,6245
1517511726,6338,6338
1517515326,6406,6406
1517518926,6477,6477
1517522526,6540,6540
1517526126,6617,6617
1517529725,4039,4039
1517533326,4119,4119
1517536926,4186,4186
1517540526,4245,4245
1517544126,4302,4302
1517547726,4380,4380
1517551326,4470,4470
1517554926,4551,4551
1517558526,4635,4635
1517562126,4740,4740
1517565726,4855,4855
1517569326,4958,4958
1517572926,5040,5040
1517576526,5139,5139
1517580126,5224,5224
1517583726,5325,5325
1517587326,5450,5450
1517590926,5565,5565
1517594526,5676,5676
1517598126,5737,5737
1517601726,5837,5837
1517605326,5924,5924
1517608926,6230,6230
1517612526,6316,6316
1517616126,3437,3437
1517619726,3503,3503
1517623326,3592,3592
1517626926,3670,3670
1517630526,3784,3784
1517634126,3869,3869
1517637726,3997,3997
1517641326,4113,4113
