DateTime,AddedIPs,RemovedIPs
1516731484,1,0
1516735085,6,9
1516742294,2,12
1516743186,0,1
1516749483,10,0
1516756688,0,2
1516763878,2,1
1516771083,5,0
1516778287,1,2
1516785487,5,2
1516792681,2,1
1516799888,3,2
1516807088,5,3
1516808872,0,1
1516810679,0,1
1516814286,2,4
1516821555,6,3
1516823302,0,1
1516828679,4,6
1516835883,4,0
1516843089,1,3
1516850286,4,4
1516854783,1,0
1516857500,7,8
1516864692,5,7
1516871899,1,8
1516879091,9,0
1516886283,1,1
1516893487,1,6
1516900688,3,4
1516902483,0,2
1516911488,2,2
1516915101,5,1
1516922289,3,3
1516925888,2,0
1516929487,12,7
1516934891,1,0
1516935850,1,0
1516936691,24,6
1516937585,1,0
1516938487,1,0
1516943889,5,9
1516951088,4,6
1516954694,1,0
1516958287,5,3
1516961884,1,0
1516965484,5,3
1516973612,3,3
1516976283,2,0
1516979896,2,6
1516981688,1,0
1516983493,3,0
1516987099,1,4
1516990684,0,1
1516991588,1,0
1516994293,0,2
1517001485,0,3
1517008697,5,1
1517010492,1,0
1517015887,1,4
1517023086,0,5
1517030290,0,7
1517037492,0,1
1517044694,0,1
1517048291,2,0
1517051883,0,5
1517059091,0,2
1517066287,0,1
1517069885,1,0
1517071691,0,15
1517073487,0,2
1517077098,0,1
1517080685,0,3
1517087880,32,2
1517095080,4,4
1517102290,6,2
1517109484,2,7
1517111284,1,0
1517113095,0,1
1517116695,3,6
1517122085,1,0
1517123883,3,5
1517131080,2,6
1517134679,1,0
1517138283,1,3
1517145482,4,2
1517147277,0,1
1517153669,7,8
1517159892,7,3
1517160783,0,1
1517163501,0,2
1517167085,15,1
1517174288,3,1
1517182392,4,30
1517188677,4,0
1517195897,3,1
1517196793,0,1
1517201287,1,0
1517202241,1,0
1517203099,6,2
1517205828,0,2
1517210286,7,0
1517217505,1,1
1517224688,1,0
1517232796,6,1
1517239082,4,1
1517246290,8,1
1517247177,0,5
1517249028,1,0
1517253483,5,1
1517260694,3,4
1517265185,1,0
1517266982,1,0
1517267886,5,7
1517271477,0,1
1517275095,4,1
1517277783,1,0
1517282284,2,5
1517289489,6,2
1517296685,3,6
1517297581,2,0
1517303043,1,0
1517303884,7,6
1517310242,1,0
1517311087,2,4
1517311983,0,2
1517318287,5,1
1517325487,5,6
1517334526,10,5
1517347099,11,7
1517354290,3,4
1517357039,0,1
1517361501,2,3
1517368685,1,5
1517371439,1,0
1517373194,1,0
1517374091,0,1
1517375901,5,7
1517382240,0,1
1517383095,3,4
1517390292,4,1
1517397488,6,2
1517404682,2,2
1517409190,1,0
1517411887,1,11
1517413690,0,3
1517415489,1,0
1517419176,3,8
1517422691,1,2
1517426282,10,3
1517429887,1,0
1517433485,2,2
1517437099,0,1
1517440693,3,1
1517444291,0,1
1517447893,5,4
1517455094,16,8
1517462291,4,5
1517469490,10,7
1517473090,1,0
1517476684,5,2
1517483898,4,4
1517491091,3,4
1517494687,1,1
1517498287,1,13
1517511097,5,3
1517512693,3,5
1517513599,5,0
1517517197,2,0
1517519886,4,5
1517520797,0,1
1517521694,0,1
1517522631,0,1
1517523499,0,2
1517527094,7,2
1517534289,4,2
1517541496,5,7
1517548695,4,4
1517555887,9,6
1517559484,1,0
1517562201,1,0
1517563097,5,5
1517570288,4,3
1517577492,4,4
1517581085,0,1
1517584684,5,3
1517585585,0,1
1517586560,1,0
1517593742,8,10
1517599103,6,6
1517599984,0,1
1517606286,2,2
1517609890,2,0
1517612639,1,0
1517613490,6,5
1517620699,4,5
1517621586,1,0
1517627891,4,6
1517635095,5,10
1517637827,2,0
1517642289,5,5
1517649495,3,2
1517656687,2,1
1517663036,0,1
1517663885,4,3
1517669288,0,2
1517671105,3,6
1517678291,5,5
1517681881,1,0
1517685484,8,8
1517696285,1,5
1517699894,3,4
1517707089,1,1
1517714285,1,10
1517715194,1,0
1517726027,6,7
1517728691,23,6
1517735893,2,4
1517743086,4,3
1517748492,1,0
1517750292,4,3
1517757492,4,3
1517764694,5,4
1517771893,3,0
1517772782,1,0
1517779088,3,3
1517786293,4,7
1517789036,0,2
1517793499,5,3
1517800695,0,6
1517807895,5,4
1517815093,3,3
1517822282,7,5
1517826796,1,0
1517829483,1,5
1517836689,6,4
1517843881,4,5
1517847494,1,0
1517851089,6,7
1517857433,0,5
1517858280,4,2
1517861950,3,8
1517865482,11,2
1517874491,83,4
1517876287,1,0
1517879888,3,1
1517883490,0,1
1517887095,2,6
1517892492,1,0
1517894281,6,7
1517901481,7,4
1517908701,4,7
1517915881,3,3
1517923112,6,4
1517930290,4,7
1517937501,3,1
1517944699,5,2
1517951883,5,5
1517955490,0,1
1517956397,0,2
1517957296,0,1
1517959090,8,2
1517960907,0,1
1517963591,0,1
1517966286,0,1
1517973507,3,7
1517980691,4,3
1517987888,2,7
1517995095,7,3
1518002288,0,3
1518010393,4,5
1518013095,0,1
1518016683,4,1
1518017605,0,2
1518020290,0,2
1518023886,1,5
1518031089,6,5
1518038284,5,2
1518040095,1,0
1518045482,3,0
1518052694,5,4
1518059892,1,9
1518062644,1,0
1518067094,4,11
1518070689,1,0
1518072491,1,0
1518074299,4,2
1518081499,7,2
1518088684,2,4
1518094169,1,0
1518095937,1,2
1518103102,6,7
1518106688,1,2
1518110284,9,4
1518112096,1,0
1518113894,0,1
1518117494,16,7
1518124689,17,7
1518128307,0,3
1518131890,2,0
1518132792,1,0
1518139084,0,3
1518143594,1,0
1518146285,1,4
1518149895,1,0
1518153498,4,4
1518160692,6,4
1518167887,2,3
1518170649,1,0
1518171489,1,0
1518175089,3,6
1518182287,3,2
1518189482,2,0
1518193085,1,64
1518206882,13,194
1518211089,1,7
1518218296,1,0
1518225490,3,4
1518229985,1,0
1518232683,2,4
1518239884,7,6
1518247100,5,6
1518254294,5,3
1518261482,3,2
1518272296,5,4
1518275885,4,7
1518283086,5,6
1518290290,4,9
1518297496,15,3
1518301091,0,1
1518304681,6,4
1518311884,2,0
1518319084,4,9
1518326297,3,4
1518333488,7,0
1518340700,4,4
1518347033,1,0
1518347886,8,3
1518356002,3,0
1518358688,1,0
1518362281,8,5
1518365884,0,1
1518369487,2,11
1518374892,0,1
1518376682,7,0
1518383884,2,5
1518391086,2,3
1518398285,4,1
1518405479,2,7
1518412692,3,5
1518419890,6,5
1518427097,5,3
1518434283,4,6
1518438829,0,1
1518442399,4,2
1518445104,1,0
1518448688,6,5
1518455881,1,8
1518463083,10,5
1518469440,0,1
1518470284,8,5
1518471175,0,2
1518473881,1,0
1518477483,2,6
1518484683,3,1
1518491883,0,4
1518499093,5,6
1518506276,4,3
1518513482,4,8
1518520683,4,3
1518531501,9,6
1518535077,5,5
1518539587,0,2
1518542280,8,5
1518545890,1,0
1518549484,7,6
1518556668,4,4
1518564772,6,4
1518571070,1,2
1518573803,0,1
1518578265,0,6
1518585473,6,7
1518592665,6,4
1518599869,2,3
1518607063,1,1
1518609811,2,0
1518614272,4,7
1518621466,3,7
1518622366,0,3
1518628665,6,11
1518636821,6,6
1518643069,4,2
1518646665,1,0
1518649404,0,1
1518650268,5,7
1518657469,3,4
1518664667,6,10
1518671871,4,15
1518675470,1,0
1518679068,6,7
1518686270,3,3
1518693466,7,1
1518700692,4,4
1518707865,2,3
1518712369,0,1
1518715067,4,8
1518718665,0,1
1518722262,3,4
1518729623,6,3
1518731423,1,0
1518733217,2,0
1518736821,3,1
1518744024,4,2
1518747625,0,1
1518751229,1,8
1518754818,1,0
1518758421,4,10
1518765620,6,3
1518772835,3,3
1518780024,1,2
1518788143,7,4
1518794419,4,3
1518795324,0,1
1518796216,0,1
1518801615,3,3
1518808823,3,3
1518816020,7,4
1518822319,0,1
1518823218,1,4
1518826821,1,0
1518827720,0,2
1518829566,0,1
1518830416,3,1
1518833169,0,1
1518837627,3,5
1518839420,0,2
1518844820,3,9
1518852023,5,2
1518859228,3,5
1518866419,1,4
1518873730,2,6
1518881726,5,4
1518884417,1,0
1518888022,5,4
1518895219,4,5
1518898829,0,1
1518899724,0,1
1518902424,4,3
1518906029,0,1
1518906928,0,2
1518909623,2,6
1518912369,0,1
1518913224,0,3
1518916823,3,2
1518924025,3,5
1518931226,5,6
1518938432,4,7
1518945628,5,4
1518952816,6,2
1518960024,3,2
1518967218,4,5
1518970821,0,1
1518974416,4,11
1518978025,0,3
1518981619,3,4
1518987961,0,1
1518988812,2,3
1518991566,0,1
1518992417,1,1
1518996011,3,2
1518997816,0,1
1518999612,0,1
1519001423,0,1
1519002368,0,1
1519003216,4,1
