DateTime,AddedIPs,RemovedIPs
1517090625,2,2
1517094163,1,0
1517097763,2,0
1517101363,1,2
1517108623,2,2
1517109164,1,0
1517115824,1,1
1517119424,1,3
1517123024,1,0
1517126564,2,0
1517130164,1,1
1517133764,1,0
1517137425,0,5
1517141025,1,0
1517144564,2,2
1517148164,2,1
1517151765,4,3
1517155424,4,1
1517158964,2,0
1517162624,2,2
1517166225,1,2
1517169764,2,0
1517173365,1,0
1517177025,0,2
1517180625,2,3
1517184225,2,0
1517191365,1,1
1517194965,0,2
1517198565,2,0
1517202165,3,2
1517205765,3,3
1517209425,4,0
1517213025,0,4
1517220226,0,3
1517227366,2,0
1517234625,0,5
1517238165,2,0
1517241765,1,1
1517245365,3,1
1517248966,0,1
1517252626,2,1
1517256226,0,1
1517259766,1,0
1517263366,4,0
1517266966,1,0
1517270566,2,4
1517277766,1,2
1517284966,3,6
1517288566,2,2
1517292166,0,2
1517295766,2,0
1517299366,4,1
1517302966,1,2
1517306566,0,1
1517310166,2,1
1517313766,1,0
1517317426,0,7
1517320966,4,0
1517324566,0,1
1517328166,2,1
1517331766,6,0
1517335366,3,2
1517338966,1,0
1517342567,1,0
1517346167,5,1
1517349766,1,1
1517353427,1,1
1517357027,1,0
1517364167,0,1
1517371367,2,6
1517375027,1,1
1517378567,1,0
1517382167,2,0
1517385767,1,0
1517389367,1,2
1517392967,2,1
1517396567,2,2
1517400167,2,0
1517403827,0,1
1517407367,1,2
1517410968,0,1
1517414568,0,1
1517421767,3,1
1517425368,4,1
1517432568,2,3
1517436228,0,1
1517439768,1,0
1517443368,2,0
1517446968,1,0
1517450568,4,0
1517454168,1,0
1517457828,3,2
1517461428,1,5
1517464968,4,0
1517468568,3,1
1517472168,2,0
1517475768,1,2
1517479368,1,1
1517482968,0,1
1517486568,1,0
1517493768,1,1
1517497369,0,1
1517500969,3,2
1517504568,1,0
1517508168,0,1
1517511769,1,1
1517515428,1,1
1517518969,3,0
1517522568,5,0
1517526169,1,2
1517529769,1,0
1517533429,2,1
1517536969,0,1
1517540569,1,0
1517544169,3,7
1517547769,1,0
1517551369,2,5
1517555029,5,4
1517558629,2,0
1517562169,2,1
1517565769,2,3
1517569369,1,2
1517572969,0,3
1517576629,1,0
1517580169,4,0
1517583769,0,5
1517587369,2,0
1517591029,4,5
1517594569,3,0
1517598169,1,6
1517601770,1,0
1517605370,1,3
1517608970,2,0
1517612630,1,1
1517616170,1,3
1517619830,1,0
1517623370,1,0
1517626970,1,3
1517630570,1,0
1517634170,3,1
1517637770,1,3
1517641370,2,0
1517644970,2,5
1517648630,2,0
1517652230,1,4
1517659370,2,2
1517662970,1,4
1517670230,2,2
1517673770,1,0
1517677370,1,2
1517680970,2,2
1517684570,3,1
1517688170,0,4
1517691770,0,2
1517695370,1,1
1517698971,0,1
1517706171,0,3
1517709770,1,0
1517713370,0,4
1517716971,2,1
1517720571,3,0
1517724171,2,1
1517727831,0,6
1517731371,2,0
1517734971,0,2
1517738631,1,0
1517742231,2,1
1517745831,2,2
1517749371,0,11
1517752971,3,2
1517756571,1,0
1517760232,1,2
1517763831,1,4
1517767371,1,0
1517770972,1,4
1517774572,1,0
1517778171,1,0
1517781831,2,1
1517785372,2,1
1517788972,2,1
1517792632,1,0
1517796172,0,2
1517803372,2,4
1517806972,3,0
1517810572,2,3
1517814172,0,3
1517817772,3,3
1517821372,2,0
1517824972,1,3
1517828632,0,4
1517832232,1,0
1517835772,3,2
1517839372,2,2
1517842972,1,0
1517846572,1,8
1517853832,2,1
1517857432,0,1
1517860972,5,2
1517864572,4,2
1517868172,0,1
1517871772,1,1
1517886172,1,4
1517889773,2,1
1517893373,3,0
1517896973,1,0
1517900633,4,2
1517904173,1,3
1517907773,3,2
1517914973,1,2
1517918573,3,1
1517922173,1,2
1517925773,2,0
1517929373,1,1
1517932973,0,1
1517936573,1,0
1517940173,1,4
1517943773,1,0
1517947433,1,2
1517951033,3,0
1517954633,4,4
1517958173,3,0
1517961773,0,1
1517968973,1,1
1517976174,3,5
1517979774,2,1
1517983374,2,1
1517990634,4,6
1517997774,0,5
1518004974,1,2
1518008574,1,0
1518012174,1,2
1518015774,1,1
1518019374,0,4
1518022974,1,1
1518026574,3,3
1518030174,1,4
1518033774,1,0
1518037374,1,0
1518040974,2,1
1518048175,1,1
1518051775,1,0
1518055375,0,1
1518058975,1,0
1518062635,0,2
1518066175,4,5
1518069775,1,2
1518073375,1,4
1518077035,3,0
1518080575,3,1
1518084175,0,1
1518091375,0,4
1518098575,1,0
1518102175,3,1
1518105775,3,0
1518109375,4,0
1518112975,3,5
1518116575,13,0
1518120175,12,1
1518123775,3,5
1518127375,1,1
1518134575,1,1
1518141775,0,3
1518148975,2,0
1518152575,3,6
1518156175,2,0
1518159776,2,4
1518163376,1,1
1518170576,1,0
1518174176,2,1
1518177776,1,3
1518181376,1,3
1518188576,1,7
1518192176,1,4
1518195776,2,3
1518199376,5,0
1518203036,0,1
1518206576,0,6
1518213777,0,3
1518217376,0,2
1518220976,1,1
1518224576,0,1
1518231776,0,2
1518235436,2,4
1518238977,3,0
1518242576,1,3
1518246176,3,0
1518249777,2,2
1518253377,2,0
1518256977,0,1
1518260577,2,5
1518264237,1,0
1518267837,4,4
1518271377,1,0
1518271617,0,3
1518278578,3,1
1518282177,1,0
1518285777,2,4
1518289377,1,0
1518292978,4,1
1518296577,2,1
1518300177,2,0
1518303778,1,4
1518307378,0,1
1518310977,2,0
1518314577,2,4
1518318177,1,3
1518321778,0,2
1518325377,3,0
1518328978,3,2
1518332578,1,2
1518336177,2,1
1518339778,2,0
1518343378,6,1
1518346977,1,1
1518350578,1,1
1518354178,1,0
1518357778,2,3
1518361378,2,0
1518364978,1,0
1518368578,1,4
1518372178,4,0
1518375778,0,2
1518382978,1,1
1518386578,1,1
1518390178,1,0
1518393778,1,5
1518397378,0,3
1518404578,2,5
1518408178,0,2
1518411778,3,3
1518415378,1,0
1518418978,3,7
1518422578,4,2
1518429779,2,0
1518433379,2,2
1518436979,2,5
1518440578,0,1
1518444180,2,2
1518447779,1,4
1518451379,0,1
1518454979,1,1
1518458579,7,0
1518462179,3,0
1518465839,2,1
1518469379,1,0
1518472979,1,0
1518480179,0,2
1518483780,1,1
1518490980,0,3
1518494579,3,0
1518498179,1,1
1518501779,2,0
1518505380,1,1
1518508980,2,4
1518516180,1,5
1518519779,1,0
1518523380,4,2
1518526980,0,1
1518530579,1,3
1518534180,3,1
1518537780,3,0
1518541381,1,1
1518544980,3,1
1518548580,3,0
1518552180,1,2
1518555780,3,5
1518559381,3,0
1518562981,2,3
1518577380,0,3
1518580981,5,2
1518584580,1,0
1518588180,3,6
1518591781,3,2
1518595381,1,0
1518598981,2,1
1518602581,1,1
1518609781,0,1
1518613381,3,1
1518616981,1,3
1518620581,2,0
1518624181,2,5
1518627781,2,4
1518631381,3,0
1518634981,1,2
1518638581,3,0
1518642181,1,0
1518649381,3,3
1518652981,1,0
1518656581,1,0
1518660182,1,1
1518663782,1,6
1518667381,1,1
1518670982,2,2
1518674582,2,0
1518678182,1,6
1518681782,2,0
1518685382,1,1
1518688982,0,4
1518692582,5,0
1518696182,3,2
1518703322,2,0
1518706982,0,5
1518714182,2,5
1518717782,1,5
1518724982,1,4
1518728582,3,2
1518732182,1,1
1518735782,2,0
1518739383,1,3
1518742983,2,0
1518750183,0,3
1518753783,2,2
1518757383,2,0
1518760983,3,1
1518764583,2,7
1518768183,1,0
1518771783,1,6
1518778983,1,2
1518786185,6,10
1518789783,3,2
1518793383,1,0
1518796983,0,9
1518800583,3,0
1518804183,2,3
1518807783,0,6
1518811383,4,0
1518814983,3,2
1518818584,1,0
1518822184,0,2
1518825784,0,2
1518829384,2,0
1518832984,0,7
1518836584,2,0
1518840184,1,0
1518843784,2,5
1518847384,3,0
1518850924,2,3
1518854584,2,3
1518858184,0,2
1518865384,0,2
1518868984,1,1
1518872584,0,3
1518876185,2,1
1518879785,1,0
1518883385,1,0
1518886925,2,0
1518890587,3,1
1518894185,0,2
1518901385,1,1
1518904985,1,3
1518912185,1,1
1518915785,0,2
1518919388,1,1
1518922985,1,0
1518926585,2,2
1518930185,2,0
1518933785,2,1
1518937385,1,4
1518940985,1,1
1518944525,4,0
1518948186,1,1
1518951786,4,3
1518958986,2,5
1518962586,1,0
1518966186,2,3
1518969786,1,0
1518973386,1,5
1518976986,2,0
1518980586,1,0
1518984186,0,2
1518994986,1,0
1518998586,1,0
1519002186,2,1
1519009386,1,2
1519012986,1,3
1519016586,4,1
1519020187,3,0
1519023787,1,4
1519027387,1,0
1519034587,1,2
1519038187,0,3
1519045387,3,3
1519052527,1,0
1519056187,1,2
1519059787,0,1
1519063327,2,2
1519066987,1,0
1519070587,2,3
1519074187,1,1
1519077787,2,0
1519081387,0,2
1519084987,0,1
1519092190,1,0
1519095727,1,1
1519099387,2,2
1519102987,3,0
1519106587,1,2
1519113788,3,1
1519117388,1,0
1519120988,3,0
