DateTime,Entries,UniqueIPs
1517126564,1034,1151
1517130164,1035,1152
1517133764,1036,1153
1517137425,1033,1150
1517141025,1034,1151
1517144564,1033,1150
1517148164,1035,1152
1517151765,1039,1156
1517155424,1037,1154
1517158964,1038,1155
1517162624,1044,1176
1517166225,1041,1173
1517169764,1042,1174
1517173365,1043,1175
1517177025,1032,1164
1517180625,1035,1167
1517184225,1037,1169
1517191365,1038,1170
1517198565,1040,1172
1517202165,1043,1175
1517205765,1046,1178
1517209425,1050,1182
1517220226,1048,1180
1517227366,1050,1182
1517234625,1048,1180
1517238165,1050,1182
1517241765,1051,1183
1517245365,1051,1183
1517252626,1051,1183
1517256226,1049,1181
1517259766,1050,1182
1517263366,1053,1185
1517266966,1051,1183
1517270566,1053,1185
1517277766,1054,1186
1517281366,1051,1183
1517284966,1053,1185
1517288566,1055,1187
1517292166,1054,1186
1517295766,1051,1183
1517299366,1048,1180
1517302966,1049,1181
1517306566,1048,1180
1517310166,1047,1179
1517313766,1049,1181
1517317426,1050,1182
1517320966,1054,1186
1517328166,1054,1186
1517331766,1060,1192
1517335366,1059,1191
1517338966,1060,1192
1517342567,1061,1193
1517346167,1067,1199
1517349766,1068,1200
1517353427,1067,1199
1517357027,1068,1200
1517364167,1062,1194
1517367767,1059,1191
1517371367,1061,1193
1517375027,1059,1191
1517378567,1054,1186
1517382167,1052,1184
1517385767,1053,1185
1517389367,1052,1184
1517392967,1054,1186
1517396567,1055,1187
1517400167,1057,1189
1517407367,1055,1187
1517410968,1053,1185
1517418168,1051,1183
1517421767,1053,1185
1517425368,1054,1186
1517432568,1054,1186
1517439768,1053,1185
1517443368,1055,1187
1517446968,1058,1190
1517450568,1073,1205
1517454168,1066,1200
1517457828,1069,1203
1517461428,1069,1203
1517464968,1074,1208
1517468568,1072,1206
1517472168,1074,1208
1517475768,1076,1210
1517479368,1077,1211
1517486568,1073,1207
1517493768,1073,1207
1517500969,1076,1210
1517504568,1077,1211
1517508168,1076,1210
1517511769,1077,1211
1517515428,1077,1211
1517518969,1077,1211
1517522568,1082,1216
1517526169,1081,1215
1517529769,1083,1217
1517533429,1085,1219
1517536969,1082,1216
1517540569,1082,1216
1517544169,1080,1214
1517547769,1078,1212
1517551369,1080,1214
1517555029,1080,1214
1517558629,1082,1216
1517562169,1080,1214
1517565769,1082,1216
1517569369,1081,1215
1517576629,1082,1216
1517580169,1087,1221
1517583769,1083,1217
1517587369,1085,1219
1517591029,1085,1218
1517594569,1089,1222
1517598169,1090,1223
1517601770,1091,1224
1517605370,1092,1225
1517608970,1094,1227
1517612630,1095,1228
1517616170,1094,1227
1517619830,1095,1228
1517623370,1094,1227
1517626970,1095,1228
1517630570,1078,1211
1517634170,1081,1214
1517637770,1083,1216
1517641370,1085,1218
1517644970,1087,1220
1517648630,1089,1222
1517652230,1090,1223
1517655770,1091,1224
1517659370,1093,1226
1517662970,1094,1227
1517670230,1096,1229
1517673770,1097,1230
1517677370,1098,1231
1517680970,1100,1233
1517684570,1103,1236
1517691770,1101,1234
1517695370,1102,1235
1517698971,1098,1231
1517702571,1096,1229
1517709770,1096,1229
1517716971,1094,1227
1517720571,1097,1230
1517724171,1097,1230
1517731371,1097,1230
1517734971,1094,1227
1517738631,1095,1228
1517742231,1093,1226
1517745831,1092,1225
1517752971,1094,1227
1517756571,1095,1228
1517760232,1093,1226
1517763831,1095,1228
1517767371,1096,1229
1517770972,1097,1230
1517774572,1094,1227
1517778171,1095,1228
1517781831,1095,1228
1517785372,1097,1230
1517788972,1098,1231
1517792632,1097,1230
1517799772,1096,1229
1517803372,1094,1227
1517806972,1097,1230
1517810572,1092,1225
1517814172,1090,1223
1517817772,1092,1225
1517821372,1094,1227
1517824972,1095,1228
1517832232,1095,1228
1517835772,1096,1229
1517839372,1099,1232
1517842972,1097,1230
1517846572,1096,1214
1517850172,1097,1215
1517853832,1096,1215
1517857432,1090,1209
1517860972,1092,1212
1517864572,1096,1216
1517868172,1095,1215
1517871772,1095,1215
1517875372,1096,1216
1517878972,1096,1214
1517886172,1093,1211
1517889773,1095,1213
1517893373,1095,1213
1517896973,1096,1214
1517900633,1094,1212
1517904173,1095,1213
1517907773,1094,1211
1517914973,1094,1209
1517918573,1095,1210
1517922173,1093,1208
1517925773,1095,1210
1517929373,1096,1211
1517932973,1092,1207
1517936573,1091,1206
1517940173,1092,1207
1517943773,1092,1207
1517947433,1090,1205
1517951033,1093,1208
1517954633,1093,1208
1517958173,1096,1211
1517961773,1094,1209
1517968973,1094,1209
1517972573,1090,1205
1517976174,1091,1206
1517979774,1093,1208
1517983374,1094,1209
1517986974,1092,1207
1517990634,1096,1208
1517997774,1094,1206
1518004974,1095,1207
1518008574,1096,1208
1518012174,1097,1209
1518015774,1096,1208
1518019374,1095,1207
1518022974,1096,1208
1518026574,1093,1205
1518030174,1095,1208
1518033774,1092,1205
1518037374,1093,1206
1518040974,1093,1208
1518048175,1093,1208
1518051775,1094,1209
1518055375,1091,1205
1518058975,1092,1206
1518062635,1088,1201
1518066175,1092,1205
1518069775,1084,1197
1518073375,1086,1199
1518077035,1085,1199
1518080575,1087,1202
1518084175,1086,1201
1518087775,1087,1202
1518091375,1086,1201
1518094975,1085,1200
1518098575,1086,1201
1518102175,1087,1202
1518105775,1090,1205
1518109375,1092,1207
1518112975,1091,1206
1518116575,1099,1219
1518120175,1096,1228
1518123775,1097,1229
1518127375,1094,1226
1518130975,1092,1224
1518134575,1091,1223
1518141775,1090,1222
1518145375,1087,1219
1518148975,1089,1221
1518152575,1085,1217
1518156175,1084,1216
1518159776,1086,1218
1518163376,1082,1214
1518170576,1080,1212
1518174176,1082,1214
1518177776,1081,1213
1518181376,1083,1215
1518184976,1080,1212
1518188576,1081,1213
1518192176,1078,1210
1518195776,1080,1212
1518199376,1084,1216
