DateTime,AddedIPs,RemovedIPs
1517248966,5,2
1517252626,3,6
1517256226,1,2
1517259766,2,0
1517263366,4,1
1517266966,1,0
1517270566,3,1
1517274166,0,1
1517277766,1,2
1517281366,1,0
1517284966,4,4
1517288566,2,4
1517292166,0,1
1517295766,3,3
1517299366,4,4
1517302966,1,5
1517310166,2,4
1517313766,3,1
1517317426,3,2
1517320966,4,3
1517324566,1,2
1517328166,2,2
1517331766,7,3
1517335366,3,3
1517338966,1,0
1517342567,2,1
1517346167,6,3
1517349766,2,1
1517353427,1,3
1517357027,2,2
1517360567,1,0
1517367767,0,2
1517371367,2,4
1517375027,2,2
1517378567,2,1
1517382167,2,5
1517385767,2,3
1517389367,1,2
1517392967,2,3
1517396567,3,1
1517400167,2,3
1517403827,0,2
1517407367,2,3
1517410968,1,4
1517414568,0,1
1517418168,1,1
1517421767,4,5
1517425368,4,3
1517429028,1,1
1517432568,3,6
1517439768,1,1
1517443368,3,2
1517446968,3,5
1517450568,16,7
1517454168,1,1
1517457828,3,4
1517461428,1,2
1517464968,5,5
1517468568,6,4
1517472168,3,3
1517475768,3,3
1517479368,2,0
1517482968,1,1
1517486568,1,1
1517493768,1,3
1517497369,0,1
1517500969,4,2
1517504568,6,33
1517508168,0,3
1517511769,2,4
1517515428,2,7
1517518969,3,2
1517522568,5,2
1517526169,1,5
1517529769,3,3
1517533429,2,6
1517536969,23,1
1517540569,3,2
1517544169,3,3
1517547769,1,4
1517551369,2,3
1517555029,6,4
1517558629,2,5
1517562169,3,2
1517565769,2,2
1517569369,3,1
1517572969,1,1
1517576629,1,2
1517580169,5,4
1517583769,1,1
1517587369,2,2
1517591029,7,4
1517594569,4,2
1517598169,3,3
1517601770,2,0
1517605370,2,1
1517608970,3,2
1517612630,2,1
1517616170,2,3
1517619830,1,7
1517623370,2,2
1517626970,2,4
1517630570,1,1
1517634170,3,4
1517637770,2,2
1517641370,3,2
1517644970,2,3
1517648630,2,3
1517652230,30,5
1517655770,2,1
1517659370,4,3
1517662970,2,1
1517666570,0,6
1517670230,2,2
1517673770,1,2
1517677370,2,0
1517680970,3,4
1517684570,5,3
1517688170,0,3
1517691770,1,0
1517695370,2,1
1517698971,2,0
1517702571,0,2
1517706171,0,1
1517709770,1,0
1517713370,0,1
1517716971,2,2
1517720571,3,4
1517724171,2,4
1517727831,1,1
1517731371,3,3
1517734971,1,1
1517738631,1,1
1517742231,2,6
1517745831,3,2
1517749371,0,3
1517752971,3,4
1517756571,3,1
1517760232,4,3
1517763831,4,4
1517767371,2,1
1517770972,2,2
1517774572,3,2
1517778171,2,3
1517781831,3,2
1517785372,4,2
1517788972,2,1
1517792632,1,1
1517799772,1,0
1517803372,2,4
1517806972,3,6
1517810572,2,4
1517814172,1,0
1517817772,4,5
1517821372,2,2
1517824972,1,0
1517828632,1,2
1517832232,1,2
1517835772,3,2
1517839372,3,3
1517842972,1,3
1517846572,1,0
1517850172,5,0
1517853832,5,6
1517857432,3,3
1517860972,9,3
1517864572,4,2
1517868172,1,0
1517871772,2,3
1517875372,2,0
1517882572,0,3
1517886172,1,3
1517889773,4,5
1517893373,4,3
1517896973,2,1
1517900633,4,11
1517904173,2,0
1517907773,3,2
1517911373,0,1
1517914973,2,1
1517918573,5,2
1517922173,1,2
1517925773,2,1
1517929373,1,1
1517932973,0,3
1517936573,2,5
1517940173,3,3
1517943773,2,6
1517947433,4,5
1517951033,5,2
1517954633,5,5
1517958173,3,3
1517968973,2,5
1517976174,4,3
1517979774,4,4
1517983374,2,3
1517986974,0,2
1517990634,6,5
1517994174,2,1
1517997774,1,1
1518001374,0,3
1518004974,3,1
1518008574,2,3
1518012174,1,1
1518015774,2,1
1518019374,0,1
1518022974,1,0
1518026574,3,2
1518030174,5,2
1518033774,3,1
1518037374,2,5
1518040974,6,1
1518044574,1,3
1518048175,2,1
1518051775,1,0
1518055375,0,3
1518058975,2,1
1518062635,3,0
1518066175,4,5
1518069775,2,1
1518073375,2,6
1518077035,4,5
1518080575,4,5
1518084175,0,1
1518087775,1,1
1518091375,2,0
1518094975,2,1
1518098575,1,2
1518102175,4,2
1518105775,4,5
1518109375,4,1
1518112975,3,2
1518116575,13,6
1518120175,12,7
1518123775,3,5
1518127375,2,5
1518134575,1,3
1518138175,2,3
1518141775,2,1
1518145375,0,2
1518148975,3,1
1518152575,3,6
1518156175,2,1
1518159776,3,3
1518163376,1,0
1518166976,1,0
1518170576,1,1
1518174176,3,4
1518177776,1,2
1518181376,2,1
1518188576,3,1
1518192176,2,2
1518195776,3,3
1518199376,6,6
1518203036,3,6
1518206576,1,1
1518210176,1,0
1518213777,1,3
1518217376,1,1
1518220976,1,2
1518224576,1,1
1518228176,1,1
1518231776,1,2
1518235436,4,2
1518238977,3,4
1518242576,1,3
1518246176,4,3
1518249777,2,3
1518253377,2,2
1518256977,1,1
1518260577,3,2
1518264237,1,5
1518267837,4,2
1518271377,2,4
1518271617,1,1
1518274978,1,1
1518278578,6,2
1518282177,1,4
1518285777,3,5
1518289377,1,1
1518292978,17,4
1518296577,4,1
1518300177,3,3
1518303778,3,4
1518307378,0,2
1518310977,2,3
1518314577,3,1
1518318177,1,1
1518321778,0,1
1518325377,3,4
1518328978,4,2
1518332578,1,2
1518336177,2,2
1518339778,2,2
1518343378,6,6
1518346977,3,4
1518350578,2,0
1518354178,1,3
1518357778,4,4
1518361378,3,1
1518364978,1,3
1518368578,2,4
1518372178,6,3
1518375778,3,2
1518379378,1,2
1518382978,3,4
1518386578,3,3
1518390178,1,1
1518393778,2,2
1518397378,0,1
1518400979,0,2
1518404578,2,1
1518408178,1,1
1518411778,3,6
1518415378,1,1
1518418978,6,6
1518422578,5,3
1518426178,1,1
1518429779,2,4
1518433379,3,2
1518436979,3,1
1518440578,1,0
1518444180,2,3
1518447779,1,5
1518451379,0,3
1518454979,1,3
1518458579,8,3
1518462179,4,12
1518465839,2,6
1518469379,1,2
1518472979,3,2
1518480179,2,1
1518483780,1,6
1518487379,0,2
1518490980,0,1
1518494579,3,6
1518498179,2,5
1518501779,3,7
1518505380,2,10
1518508980,3,5
1518512579,0,3
1518516180,2,1
1518519779,2,1
1518523380,5,1
1518526980,2,0
1518530579,2,1
1518534180,4,3
1518537780,3,2
1518541381,2,2
1518544980,5,2
1518548580,4,4
1518552180,2,1
1518555780,3,5
1518559381,3,2
1518562981,2,2
1518566580,0,1
1518570181,1,1
1518573780,0,2
1518577380,1,0
1518580981,6,6
1518584580,1,3
1518588180,4,4
1518591781,4,5
1518595381,1,2
1518598981,2,2
1518602581,1,2
1518606181,0,2
1518609781,2,0
1518613381,3,3
1518616981,1,3
1518620581,2,3
1518624181,4,0
1518627781,3,5
1518631381,5,2
1518634981,4,1
1518638581,3,1
1518642181,2,1
1518645781,1,3
1518649381,3,1
1518652981,1,2
1518656581,1,3
1518660182,3,0
