DateTime,AddedIPs,RemovedIPs
1516891965,1,1
1516895815,16,6
1516899643,19,7
1516903476,7,3
1516907323,15,4
1516911112,12,1
1516914998,4,0
1516918850,5,2
1516922929,13,11
1516926775,10,28
1516930618,5,13
1516934449,12,15
1516938281,4,3
1516942127,10,7
1516945966,12,6
1516949816,27,33
1516953640,12,16
1516957483,2,12
1516961340,13,52
1516965395,10,18
1516969496,21,16
1516973331,5,3
1516977346,9,8
1516981218,14,13
1516985099,1,1
1516988937,4,12
1516993085,1,0
1516996833,10,4
1517000686,14,3
1517004538,12,8
1517008648,15,14
1517012439,14,8
1517016292,8,6
1517020119,10,13
1517023979,6,5
1517027819,17,1
1517031626,10,12
1517035485,5,3
1517039319,2,0
1517043164,12,5
1517046991,1,1
1517050840,7,12
1517054689,2,5
1517059108,4,4
1517062825,22,33
1517066924,17,14
1517070741,17,20
1517074856,18,14
1517082793,21,11
1517086612,14,13
1517090448,20,21
1517094307,6,13
1517098390,14,17
1517102213,10,18
1517106055,4,6
1517109892,4,6
1517113751,7,14
1517117581,13,21
1517121435,7,10
1517125237,30,45
1517129194,10,5
1517132915,6,4
1517140611,13,8
1517144448,12,7
1517152241,1,4
1517155945,0,2
1517159804,2,1
1517167472,2,1
1517171312,4,1
1517175187,1,1
1517179030,8,1
1517182858,24,20
1517186679,11,11
1517190560,1,1
1517194356,1,2
1517198207,1,2
1517202056,1,0
1517206128,4,2
1517209941,0,1
1517213794,3,4
1517217638,5,2
1517221501,8,6
1517225311,8,0
1517244527,18,7
1517248361,6,0
1517252190,9,0
1517256056,6,0
1517259874,6,0
1517263734,5,0
1517267549,4,0
1517271412,5,0
1517282906,3,0
1517286769,8,0
1517290605,4,3
1517294424,0,2
1517298286,5,15
1517302104,3,3
1517306302,9,3
1517310295,1,0
1517314266,2,3
1517317945,1,1
1517325910,0,1
1517329968,9,6
1517333828,6,10
1517337625,13,7
1517341471,15,18
1517345242,7,8
1517348916,20,6
1517352768,37,6
1517356583,6,11
1517360676,15,9
1517364538,8,6
1517368368,7,1
1517372226,25,49
1517376037,7,5
1517379906,11,17
1517383732,4,7
1517387562,6,8
1517391626,7,6
1517395478,6,8
1517399583,0,11
1517403404,2,7
1517407235,3,15
1517411330,5,14
1517415158,4,8
1517419037,4,2
1517422829,4,0
1517426685,4,1
1517430514,3,0
1517434356,0,1
1517438198,1,0
1517442036,1,0
1517445865,11,6
1517449739,17,12
1517453572,12,3
1517457413,6,0
1517461285,196,83
1517465086,204,124
1517468941,248,243
1517472762,232,232
1517533719,237,237
1517537549,229,229
1517541394,206,206
1517545231,262,262
1517549073,237,237
1517552930,228,229
1517556787,230,231
1517560614,47,47
1517565402,25,32
1517569234,19,19
1517573106,19,34
1517576929,13,18
1517580773,9,15
1517584598,8,22
1517588288,13,15
1517592294,19,20
1517596130,25,25
1517603810,31,34
1517607646,14,14
1517611983,23,20
1517616060,16,16
1517619912,10,15
1517623740,17,19
1517627564,16,17
1517631406,13,17
1517639100,63,63
1517642961,21,25
1517646754,33,18
1517650615,10,11
1517654453,17,13
1517658544,16,15
1517662374,16,15
1517666213,17,16
1517670300,27,32
1517674380,26,28
1517678228,20,15
1517682059,15,12
1517685918,8,8
1517689734,2,3
1517693567,20,21
1517697671,29,23
1517701584,36,32
1517705613,18,16
1517709439,9,10
1517713485,16,18
1517717352,10,11
1517721165,4,3
1517725021,0,8
1517728863,3,6
1517732936,10,10
1517736797,28,25
1517740718,25,36
1517744479,25,18
1517748281,11,21
1517756218,39,43
1517760066,19,30
1517764118,18,28
1517767991,31,30
1517772114,10,10
1517775894,27,23
1517779742,24,19
1517783552,17,18
1517787446,17,17
1517791281,17,15
1517798943,17,15
1517802815,13,12
1517806622,17,4
1517810479,17,14
1517814317,15,20
1517818154,8,5
1517821958,13,9
1517825807,7,4
1517829666,19,24
1517833518,12,18
1517837343,12,6
1517841176,14,19
1517845029,24,24
1517848880,18,19
1517852642,34,45
1517856515,20,19
1517864215,42,36
1517868056,25,29
1517872134,16,16
1517875969,15,10
1517879831,9,12
1517883644,7,12
1517887477,12,9
1517891305,14,16
1517895190,25,25
1517899015,1,6
1517906664,2,12
1517910525,1,1
1517914394,6,11
1517918193,2,3
1517922044,0,8
1517925883,3,4
1517929739,3,1
1517933576,2,13
1517937557,5,5
1517941470,4,1
1517949155,3,4
1517952987,1,2
1517960683,0,1
1517964520,3,3
1517968363,6,6
1517972196,5,3
1517976102,0,2
1517979879,0,1
1517983737,6,7
1517987551,0,1
1517991402,5,14
1517995230,12,12
1517999069,7,14
1518002905,4,5
1518006748,2,9
1518018317,3,16
1518022113,1,2
1518025955,2,3
1518029831,2,3
1518033616,3,3
1518037517,1,1
1518041353,6,8
1518045161,12,13
1518049025,9,10
1518052879,15,19
1518056710,17,16
1518060511,15,16
1518064641,12,12
1518068432,16,15
1518072295,14,16
1518076141,13,10
1518083799,52,43
1518087704,17,3
1518095348,8,4
1518099183,7,20
1518107115,33,23
1518110936,9,17
1518114790,12,8
1518118640,10,13
1518122482,3,3
1518126554,5,0
1518138775,14,10
1518142846,2,3
1518146719,6,6
1518150540,7,1
1518154392,11,4
1518158483,16,9
1518162340,9,0
1518166180,11,3
1518177665,45,9
1518181756,5,5
1518185596,8,11
1518189421,2,10
1518193259,10,17
1518208855,28,50
1518212774,11,10
1518220613,21,23
1518224444,6,8
1518228299,8,16
1518232124,4,11
1518239852,13,12
1518243903,8,14
1518247751,1,5
1518251580,4,15
1518255469,10,4
1518259503,9,8
1518263380,9,7
1518267559,14,12
1518271511,17,13
1518275625,14,20
1518279423,13,1
1518283280,3,13
1518287137,7,3
1518298909,19,10
1518302686,3,1
1518310371,2,0
1518314231,1,4
1518322164,24,12
1518326227,16,4
1518330281,20,15
1518334379,15,13
1518338460,21,17
1518342296,5,20
1518346155,7,8
1518349978,12,1
1518353836,11,0
1518357669,14,3
1518361771,13,3
1518365588,8,1
1518369722,14,17
1518373608,18,19
1518377600,22,14
1518381457,10,19
1518385499,27,19
1518389377,30,35
1518393413,45,30
1518397254,25,31
1518401102,39,24
1518404984,13,12
1518408764,15,14
1518412632,7,9
1518416724,12,12
1518420787,9,12
1518424661,6,12
1518432301,18,32
1518436122,4,11
1518440076,2,11
1518444074,3,5
1518447918,3,13
1518451732,3,7
1518455585,0,4
1518459432,2,7
1518463277,6,5
1518467102,5,6
1518470947,2,2
1518478803,16,10
1518482705,5,3
1518486545,7,3
1518490373,5,1
1518494225,11,5
1518498109,7,14
1518501901,5,12
1518509827,29,39
1518513710,9,6
1518517541,7,5
1518521593,9,9
1518526028,10,11
1518529754,14,10
1518533603,6,6
1518537420,5,10
1518541272,1,1
1518545099,7,1
1518548956,17,1
1518552779,14,5
1518556731,10,2
1518560711,11,14
1518564914,9,4
1518569028,11,18
1518572922,12,22
1518577574,18,6
1518581597,25,17
1518585421,10,7
1518589249,16,8
1518593098,9,16
1518596953,17,15
1518600789,7,2
1518608747,15,24
1518612572,5,15
1518616414,5,15
1518620260,6,14
1518624101,3,5
1518628194,1,7
1518632030,5,7
1518635943,17,14
1518639951,8,9
1518643982,12,26
1518648879,12,26
1518652886,13,14
1518656725,13,15
1518664624,11,20
1518668748,11,6
1518672792,6,11
1518676871,7,7
1518680924,2,2
1518688611,1,2
1518692736,5,0
1518696562,3,7
1518700622,9,4
1518704481,9,5
1518708291,7,15
1518712153,13,7
1518716231,21,20
1518720080,9,8
1518723912,21,11
1518727999,4,5
1518731836,2,0
1518735924,5,1
1518739783,11,4
1518743810,18,0
1518747687,10,3
1518751515,8,4
1518755337,8,0
1518759215,13,7
1518763061,5,7
1518766843,1,4
1518770702,1,6
1518774525,11,5
1518778394,11,1
1518782250,10,5
1518786082,9,5
1518794030,25,27
1518797843,4,2
1518801696,2,5
1518805747,1,6
1518813651,9,13
1518817753,0,11
1518821605,0,3
1518829259,3,15
1518833144,0,13
1518837226,3,6
1518841276,4,12
1518845147,2,4
1518848941,7,5
1518852786,3,8
1518856650,2,5
1518860444,0,3
1518864348,4,3
1518868417,6,1
1518872521,8,4
1518876331,7,9
1518881734,7,9
1518885446,4,0
1518889242,10,2
1518893101,11,8
1518896937,2,6
1518901039,12,15
1518905118,18,21
1518909212,6,6
1518913278,5,3
1518917116,3,3
1518920937,10,6
1518924807,5,4
1518928904,14,13
1518932705,9,3
1518936793,0,5
1518940869,0,9
1518944700,1,5
1518948778,5,1
1518983800,2,0
1518987894,6,0
1518991736,4,1
1519003476,8,1
1519007311,5,3
1519011151,7,1
1519014995,1,1
1519018828,2,1
1519022679,1,0
1519026510,3,0
1519030377,1,0
1519034259,2,1
1519038064,1,0
1519041947,3,2
1519049806,3,3
1519057524,1,5
1519061304,2,1
1519065149,1,1
1519069010,3,4
1519074137,4,2
1519077927,1,1
1519081704,1,0
1519085821,4,3
1519089646,16,16
1519093486,17,21
1519097868,26,31
1519101633,8,9
1519105518,9,9
1519109327,9,9
1519113213,5,4
1519116988,12,14
1519124740,21,24
