DateTime,Entries,UniqueIPs
1516891965,172,172
1516895815,182,182
1516899643,194,194
1516903476,198,198
1516907323,209,209
1516911112,220,220
1516914998,224,224
1516918850,227,227
1516922929,229,229
1516926775,211,211
1516930618,203,203
1516934449,200,200
1516938281,201,201
1516942127,204,204
1516945966,210,210
1516949816,204,204
1516953640,200,200
1516957483,190,190
1516961340,151,151
1516965395,143,143
1516969496,148,148
1516973331,150,150
1516977346,151,151
1516981218,152,152
1516985099,152,152
1516988937,144,144
1516993085,145,145
1516996833,151,151
1517000686,162,162
1517004538,166,166
1517008648,167,167
1517012439,173,173
1517016292,175,175
1517020119,172,172
1517023979,173,173
1517027819,189,189
1517031626,187,187
1517035485,189,189
1517039319,191,191
1517043164,198,198
1517046991,198,198
1517050840,193,193
1517054689,190,190
1517059108,190,190
1517062825,179,179
1517066924,182,182
1517070741,179,179
1517074856,183,183
1517082793,193,193
1517086612,194,194
1517090448,193,193
1517094307,186,186
1517098390,183,183
1517102213,175,175
1517106055,173,173
1517109892,171,171
1517113751,164,164
1517117581,156,156
1517121435,153,153
1517125237,138,138
1517129194,143,143
1517132915,145,145
1517140611,150,150
1517144448,155,155
1517152241,152,152
1517155945,150,150
1517159804,151,151
1517167472,152,152
1517171312,155,155
1517175187,155,155
1517179030,162,162
1517182858,166,166
1517186679,166,166
1517190560,166,166
1517194356,165,165
1517198207,164,164
1517202056,165,165
1517206128,167,167
1517209941,166,166
1517213794,165,165
1517217638,168,168
1517221501,170,170
1517225311,178,178
1517244527,189,189
1517248361,195,195
1517252190,204,204
1517256056,210,210
1517259874,216,216
1517263734,221,221
1517267549,225,225
1517271412,230,230
1517282906,233,233
1517286769,241,241
1517290605,242,242
1517294424,240,240
1517298286,230,230
1517302104,230,230
1517306302,236,236
1517310295,237,237
1517314266,236,236
1517317945,236,236
1517325910,235,235
1517329968,238,238
1517333828,234,234
1517337625,240,240
1517341471,237,237
1517345242,236,236
1517348916,250,250
1517352768,281,281
1517356583,276,276
1517360676,282,282
1517364538,284,284
1517368368,290,290
1517372226,266,266
1517376037,268,268
1517379906,262,262
1517383732,259,259
1517387562,257,257
1517391626,258,258
1517395478,256,256
1517399583,245,245
1517403404,240,240
1517407235,228,228
1517411330,219,219
1517415158,215,215
1517419037,217,217
1517422829,221,221
1517426685,224,224
1517430514,227,227
1517434356,226,226
1517438198,227,227
1517442036,228,228
1517445865,233,233
1517449739,238,238
1517453572,247,247
1517457413,253,253
1517461285,366,366
1517465086,446,446
1517468941,451,451
1517472762,451,451
1517533719,451,451
1517537549,451,451
1517541394,451,451
1517545231,451,451
1517549073,451,451
1517552930,450,450
1517556787,449,449
1517560614,449,449
1517565402,442,442
1517569234,442,442
1517573106,427,427
1517576929,422,422
1517580773,416,416
1517584598,402,402
1517588288,400,400
1517592294,399,399
1517596130,399,399
1517603810,396,396
1517607646,396,396
1517611983,399,399
1517616060,399,399
1517619912,394,394
1517623740,392,392
1517627564,391,391
1517631406,387,387
1517639100,387,387
1517642961,383,383
1517646754,398,398
1517650615,397,397
1517654453,401,401
1517658544,402,402
1517662374,403,403
1517666213,404,404
1517670300,399,399
1517674380,397,397
1517678228,402,402
1517682059,405,405
1517685918,405,405
1517689734,404,404
1517693567,403,403
1517697671,409,409
1517701584,413,413
1517705613,415,415
1517709439,414,414
1517713485,412,412
1517717352,411,411
1517721165,412,412
1517725021,404,404
1517728863,401,401
1517732936,401,401
1517736797,404,404
1517740718,393,393
1517744479,400,400
1517748281,390,390
1517756218,386,386
1517760066,375,375
1517764118,365,365
1517767991,366,366
1517772114,366,366
1517775894,370,370
1517779742,375,375
1517783552,374,374
1517787446,374,374
1517791281,376,376
1517798943,378,378
1517802815,379,379
1517806622,392,392
1517810479,395,395
