DateTime,AddedIPs,RemovedIPs
1516861240,45,23
1516865080,55,55
1516868922,122,189
1516872783,151,143
1516876603,172,152
1516880431,143,172
1516884285,172,143
1516888115,144,172
1516891971,144,144
1516895825,179,144
1516899650,167,179
1516903484,167,167
1516907338,182,167
1516911120,160,181
1516915003,153,158
1516918856,51,60
1516922934,44,40
1516926783,23,17
1516930628,25,16
1516934456,52,65
1516938292,21,9
1516942133,35,27
1516945986,22,24
1516949830,35,29
1516953653,46,3
1516957492,24,31
1516961346,27,29
1516965401,40,38
1516969503,32,25
1516973346,26,27
1516981228,77,87
1516985108,69,92
1516988949,175,182
1516993091,162,179
1516996845,142,138
1517000692,84,40
1517004543,64,30
1517008658,84,39
1517012446,67,128
1517016299,36,61
1517020125,20,33
1517023992,17,25
1517027823,83,27
1517031634,178,105
1517035499,210,298
1517039333,207,213
1517043181,191,193
1517046995,171,215
1517050847,155,156
1517054694,10,21
1517059117,22,15
1517062836,119,41
1517066932,175,67
1517070749,120,90
1517074869,130,145
1517082812,155,364
1517086619,25,31
1517090456,41,36
1517094323,29,33
1517098399,127,68
1517102220,144,63
1517106063,190,192
1517109900,220,275
1517113764,116,133
1517117592,31,31
1517121453,19,18
1517125251,18,21
1517129213,63,33
1517132923,222,243
1517140632,225,226
1517144461,203,194
1517148452,181,231
1517152258,187,167
1517155953,176,192
1517159812,181,180
1517163640,177,180
1517167482,191,174
1517171320,170,184
1517175200,186,164
1517179044,178,178
1517182879,71,81
1517186687,88,32
1517190574,7,2
1517194368,26,8
1517198229,8,4
1517202079,16,7
1517206131,15,13
1517209944,4,3
1517213797,15,18
1517217641,20,14
1517221507,25,53
1517225315,41,31
1517244541,139,91
1517248373,53,12
1517252193,69,38
1517256066,66,41
1517259881,39,45
1517263740,30,27
1517267554,38,49
1517271416,9,16
1517275241,11,20
1517279069,26,32
1517282912,9,15
1517286775,68,84
1517290609,95,61
1517294428,83,89
1517298291,88,81
1517302109,85,60
1517306306,33,65
1517310299,20,22
1517314274,16,46
1517317948,11,14
1517322052,14,46
1517325915,11,35
1517329973,35,19
1517333846,68,121
1517337633,54,23
1517341480,70,23
1517345254,66,31
1517348922,72,109
1517352782,44,60
1517356591,44,46
1517360681,22,20
1517364545,34,42
1517368373,45,50
1517372232,55,73
1517376044,225,263
1517379924,169,147
1517383744,180,176
1517387570,246,250
1517391631,203,216
1517395482,234,227
1517399593,38,35
1517403412,36,39
1517407245,45,24
1517411335,74,58
1517415166,46,39
1517419047,72,71
1517422833,130,99
1517426690,132,83
1517430517,97,74
1517434360,91,75
1517438202,103,106
1517442041,89,82
1517445874,41,38
1517449744,53,52
1517453580,55,68
1517457422,302,288
1517461309,380,378
1517465094,340,341
1517468950,347,345
1517472772,360,360
1517533730,347,349
1517537558,87,89
1517541404,61,61
1517545240,70,69
1517549080,49,49
1517552948,32,35
1517556796,62,77
1517560621,39,42
1517565406,54,72
1517569243,50,49
1517573113,34,61
1517576935,50,58
1517580785,224,171
1517584603,347,326
1517588295,129,131
1517592300,101,105
1517596139,98,100
1517603815,112,116
1517607659,127,127
1517612012,421,408
1517616078,397,397
1517619930,366,367
1517623772,356,355
1517627579,392,392
1517631423,270,270
1517639108,273,275
1517642979,81,91
1517646761,73,73
1517650623,308,299
1517654483,174,175
1517658558,255,255
1517662388,324,319
1517666225,314,314
1517670323,104,105
1517674389,356,358
1517678237,344,342
1517682065,271,271
1517685940,450,449
1517689740,451,451
1517693576,117,117
1517697691,94,94
1517701603,137,154
1517705636,121,127
1517709461,339,321
1517713497,405,402
1517717384,450,448
1517721172,451,451
1517725033,451,451
1517728872,373,373
1517732943,355,355
1517736813,100,100
1517740730,125,126
1517748295,421,421
1517756225,177,177
1517760076,39,84
1517764128,76,73
1517768008,67,53
1517775901,417,388
1517779759,34,43
1517783560,43,37
1517787467,143,143
1517791297,278,279
1517798954,447,445
1517806638,449,449
1517810495,314,314
1517814331,288,290
1517818176,297,294
1517821971,324,323
1517825815,395,397
1517829684,323,321
1517833533,282,282
1517837357,95,96
1517841188,88,91
1517845051,70,70
1517848896,33,51
1517852654,92,115
1517856526,306,261
1517864227,276,278
1517868067,105,116
1517872144,123,110
1517875976,127,147
1517879839,102,101
1517883650,295,287
1517887489,51,41
1517891316,33,38
1517895205,53,60
1517899028,18,59
1517902849,9,16
1517906669,19,55
1517910537,11,24
1517918200,104,135
1517922055,80,56
1517925891,55,37
1517929745,55,7
1517933581,72,76
1517937564,84,84
1517941477,70,40
1517945316,61,47
1517949159,41,43
1517952992,9,14
1517956847,4,20
1517960691,7,12
1517964529,49,54
1517968370,46,56
1517972207,82,100
1517979885,46,54
1517983751,18,40
1517987557,5,12
1517991410,34,26
1517995239,35,50
1517999074,61,69
1518002909,11,10
1518006753,14,39
1518010622,12,6
1518014466,5,2
1518018334,39,36
1518022120,39,26
1518025965,46,45
1518029858,23,14
1518033622,30,16
1518037538,15,9
1518041363,201,131
1518045168,189,172
1518049034,200,197
1518052904,291,292
1518056718,130,130
1518060517,211,211
1518064655,247,244
1518068440,169,169
1518072303,68,86
1518076152,94,95
1518083806,201,198
1518095369,434,418
1518099194,339,339
1518107135,406,405
1518110964,302,303
1518114808,435,434
1518118659,384,385
1518122517,448,447
1518126569,451,451
1518138793,448,449
1518142862,308,308
1518146746,348,349
1518150559,383,383
1518154415,399,397
1518158504,274,274
1518177700,433,433
1518181781,243,243
1518185620,252,256
1518189439,246,244
1518193280,233,233
1518208878,443,448
1518212796,308,303
1518220632,449,449
1518224453,433,432
1518228314,331,331
1518232143,348,347
1518239878,451,451
1518243917,451,451
1518247767,401,401
1518251589,390,390
1518255498,212,213
1518259512,219,219
1518267574,446,445
1518271534,213,213
1518275648,238,240
1518279434,199,200
1518283295,201,200
1518287164,189,189
1518298931,441,440
1518302694,419,418
1518306680,450,450
1518310380,420,421
1518314264,411,410
1518322197,447,449
1518326248,240,241
1518330291,276,274
1518334395,220,221
1518338474,129,130
1518342306,181,182
1518346181,236,234
1518349995,174,174
1518353865,236,237
1518357693,353,350
1518361798,303,304
1518365600,219,220
1518373629,447,448
1518377621,292,290
1518381483,200,204
1518385508,179,180
1518389405,98,97
1518393425,80,78
1518397286,87,88
1518401119,130,133
1518405016,276,273
1518408780,438,434
1518412651,450,451
1518416747,451,450
1518420800,449,450
1518424698,400,400
1518432315,416,418
1518436130,281,281
1518440087,357,354
1518444094,351,352
1518447939,248,248
1518451740,285,285
1518455596,277,277
1518459454,190,194
1518467126,448,445
1518470978,286,284
1518478820,451,451
1518482727,283,284
1518486563,322,323
1518490392,292,292
1518494248,311,310
1518501930,429,434
1518509839,438,435
1518517570,428,428
1518521615,375,372
1518526051,398,398
1518533637,450,451
1518537441,283,283
1518541310,358,357
1518545112,169,170
1518548979,228,229
1518552801,293,292
1518556774,361,362
1518560728,245,243
1518564927,231,232
1518569042,196,197
1518572934,59,61
1518577602,114,113
1518581609,205,205
1518585440,228,226
1518589261,228,228
1518593121,296,296
1518596974,371,371
1518600806,361,360
1518604953,309,309
1518612605,449,451
1518616431,340,340
1518624130,450,449
1518628234,445,446
1518635970,446,447
1518639979,175,175
1518643996,194,193
1518648917,285,283
1518652918,237,237
1518656748,214,216
1518664641,409,412
1518668771,207,204
1518672811,212,210
1518676900,335,337
1518680937,412,411
1518688624,448,447
1518696596,451,451
1518700641,273,275
1518704502,254,255
1518708304,177,176
1518712172,234,233
1518716255,230,232
1518720104,149,150
1518723940,140,139
1518728039,199,199
1518731858,197,197
1518735963,189,192
1518739819,301,296
1518743824,343,342
1518747721,279,279
1518751547,201,203
1518755367,186,187
1518759250,209,209
1518763092,195,198
1518766855,203,202
1518770727,148,146
1518774537,127,126
1518778423,67,68
1518782283,57,57
1518786109,72,73
1518794060,408,404
1518797871,388,389
1518801734,400,402
1518805770,416,413
1518813675,448,449
1518817769,265,264
1518821641,151,153
1518829268,413,411
1518833186,343,344
1518837254,300,300
1518841291,221,221
1518848958,448,450
1518852806,235,234
1518856687,220,224
1518860458,385,379
1518872553,448,449
1518876362,290,290
1518881774,428,428
1518885473,324,326
1518889253,297,295
1518893117,222,222
1518896968,179,178
1518901061,205,208
1518905136,221,219
1518909240,278,278
1518913302,297,297
1518917158,307,307
1518920955,331,330
1518924830,313,315
1518928938,211,212
1518932737,207,207
1518936813,69,70
1518940893,56,60
1518944710,100,111
1518948797,257,242
1518983819,81,79
1518987901,79,83
1518991753,25,26
1518995685,8,9
1518999659,33,43
1519003483,30,38
1519007318,42,47
1519011159,41,56
1519015004,23,42
1519018833,6,11
1519022686,7,48
1519026517,51,41
1519030393,61,36
1519034286,22,19
1519038089,9,3
1519041973,34,26
1519045804,6,1
1519049811,21,58
1519053663,35,33
1519057557,40,56
1519061318,33,33
1519065156,46,47
1519069039,67,63
1519074147,40,1
1519077962,4,4
1519081711,13,6
1519085835,16,2
1519089653,60,63
1519093497,183,178
1519097888,197,161
1519101643,183,180
1519105551,224,223
1519109346,198,202
1519117000,207,212
