DateTime,AddedIPs,RemovedIPs
1516742458,168,167
1516746292,158,168
1516750738,127,158
1516754428,127,127
1516758293,127,127
1516762146,127,127
1516765969,152,127
1516770076,148,152
1516773890,141,148
1516777714,163,141
1516781741,157,163
1516785682,173,157
1516789480,152,172
1516793336,120,153
1516797407,123,120
1516801271,123,123
1516805100,127,123
1516808924,124,127
1516812778,125,124
1516816907,131,125
1516820681,126,131
1516824518,134,126
1516828382,151,134
1516832233,149,151
1516838232,147,149
1516842068,150,147
1516849730,151,150
1516853576,150,151
1516857429,150,150
1516861246,154,150
1516865086,163,154
1516868929,162,162
1516872799,166,163
1516876611,154,166
1516880438,139,154
1516884292,140,139
1516888122,142,140
1516891976,147,142
1516895833,190,147
1516899659,196,190
1516903493,194,196
1516907350,201,194
1516911128,182,201
1516915009,148,182
1516918861,167,148
1516922940,144,167
1516926790,155,144
1516930637,89,91
1516934466,160,153
1516938305,181,160
1516942140,156,181
1516949844,185,156
1516953667,137,158
1516957504,194,164
1516961357,119,139
1516965408,178,174
1516969511,188,178
1516973353,205,188
1516981235,202,204
1516985117,178,203
1516988959,159,178
1516993098,158,159
1516996862,213,158
1517000702,199,194
1517004548,223,218
1517008668,200,219
1517012452,177,202
1517016307,185,179
1517020133,197,185
1517024002,179,197
1517027830,215,179
1517031647,203,215
1517035513,203,190
1517039349,194,203
1517043198,178,180
1517047000,170,205
1517050856,157,156
1517054702,201,171
1517059127,199,201
1517062851,195,167
1517066941,163,177
1517070759,210,191
1517074879,175,191
1517082826,175,216
1517086626,158,157
1517090471,151,164
1517094342,168,159
1517098409,182,143
1517102230,173,201
1517106073,192,146
1517109909,190,209
1517113775,188,177
1517117602,148,207
1517121472,185,161
1517125266,170,186
1517129233,225,170
1517132935,196,200
1517144477,224,220
1517148464,179,221
1517152269,159,159
1517155967,170,169
1517159819,174,174
1517163651,176,175
1517167492,166,166
1517171328,299,185
1517175213,291,299
1517179059,309,290
1517182898,282,303
1517186694,228,230
1517190588,2,2
1517194381,2,2
1517209947,1,0
1517213801,2,3
1517217646,145,60
1517221514,155,105
1517225325,166,137
1517244554,450,450
1517248380,188,188
1517252200,194,194
1517256078,180,180
1517259886,187,187
1517263743,190,190
1517267560,85,85
1517271422,2,3
1517286779,155,154
1517290617,233,233
1517294434,282,283
1517298297,257,257
1517302117,280,280
1517306309,47,47
1517310303,1,3
1517314282,1,1
1517322057,2,2
1517325920,1,2
1517329979,362,361
1517333863,338,447
1517337641,320,339
1517341489,319,320
1517345264,309,319
1517349359,327,309
1517353232,325,327
1517357064,263,325
1517360916,241,263
1517364995,241,241
1517368835,230,234
1517372687,229,212
1517376523,315,251
1517380348,315,318
1517384213,321,315
1517388015,319,321
1517391890,311,319
1517395698,203,271
1517399606,234,243
1517403420,235,234
1517407255,230,235
1517411341,345,230
1517415174,330,345
1517419059,352,330
1517422839,439,352
1517426695,451,439
1517430521,87,88
1517434366,86,87
1517438205,86,86
1517442050,191,191
1517445883,451,449
1517449748,451,451
1517453593,451,451
1517457434,448,451
1517461332,451,448
1517465104,400,400
1517468957,425,425
1517472781,449,449
1517533739,451,451
1517537566,450,451
1517541416,451,450
1517545246,451,451
1517549087,451,451
1517552958,451,451
1517556803,451,451
1517560627,451,451
1517565414,451,451
1517569255,445,445
1517573119,451,451
1517576943,451,451
1517580796,450,451
1517584612,451,450
1517588302,451,451
1517592309,447,447
1517596146,451,451
1517603821,451,451
1517607678,451,451
1517616101,451,451
1517619957,451,451
1517627597,451,451
1517631443,451,451
1517639118,451,451
1517642998,451,451
1517646769,451,451
1517650636,451,451
1517654510,451,451
1517658571,451,451
1517662406,451,451
1517666239,449,449
1517670346,451,451
1517674401,450,451
1517678248,451,450
1517682073,451,451
1517685962,451,451
1517689750,451,451
1517693589,451,451
1517697712,451,451
1517701627,450,450
1517705660,451,451
1517709481,451,451
1517713506,451,451
1517721179,451,451
1517725043,451,451
1517728885,451,451
1517732951,451,451
1517736832,451,451
1517740739,451,451
1517748305,450,450
1517756234,449,449
1517760087,451,451
1517764136,451,451
1517768023,451,451
1517775911,451,451
1517779779,451,451
1517783571,451,451
1517787487,451,451
1517791312,451,451
1517798965,451,451
1517806650,451,451
1517810507,451,451
1517814354,450,450
1517818200,451,451
1517821982,450,450
1517825828,450,451
1517829702,451,450
1517833550,450,451
1517837372,450,449
1517841204,451,451
1517845074,451,451
1517848911,451,451
1517852664,451,451
1517856538,451,451
1517864237,450,451
1517868084,451,450
1517872158,451,451
1517875988,447,451
1517879850,450,446
1517883660,423,423
1517887504,451,451
1517891325,451,451
1517895224,451,451
1517899040,66,66
1517902854,3,3
1517906674,2,2
1517910551,3,3
1517918206,69,69
1517922085,48,49
1517925904,30,31
1517929753,64,64
1517933591,57,57
1517937570,38,39
1517941484,41,43
1517945322,47,52
1517949164,40,40
1517952999,2,1
1517956860,3,4
1517964546,52,51
1517968379,96,96
1517972218,108,110
1517979893,87,81
1517983762,3,6
1517987562,1,2
1517991416,91,90
1517995245,85,88
1517999080,102,104
1518002916,23,26
1518014491,19,18
1518018346,137,126
1518022125,106,107
1518025976,138,136
1518029887,45,45
1518033637,3,4
1518037562,3,4
1518041371,383,381
1518045182,424,422
1518049045,450,449
1518052923,445,445
1518056729,451,451
1518060523,413,413
1518064671,443,443
1518068450,421,421
1518072311,448,449
1518076171,334,336
1518083818,451,448
1518095386,451,451
1518099206,451,451
1518107155,451,451
1518110994,451,451
1518114836,451,451
1518118675,451,451
1518126586,451,451
1518138811,450,451
1518142884,451,450
1518146773,451,451
1518150579,451,451
1518154438,451,451
1518158530,451,451
1518181807,451,451
1518185641,401,401
1518189458,408,408
1518193301,387,387
1518208905,451,451
1518212819,416,416
1518220649,451,451
1518224473,451,451
1518228328,450,451
1518232163,451,450
1518239900,450,450
1518243929,451,451
1518247777,451,451
1518251601,451,451
1518255528,451,451
1518259523,450,451
1518267584,451,450
1518271556,451,451
1518275674,448,451
1518279446,450,448
1518283313,451,450
1518287180,451,451
1518298956,451,451
1518302707,451,451
1518310392,451,451
1518314298,451,451
1518322224,451,451
1518326267,448,448
1518330302,449,449
1518334415,451,451
1518338484,451,451
1518342324,451,451
1518346210,450,451
1518350013,451,450
1518353892,448,449
1518357721,451,450
1518361825,451,451
1518365615,451,451
1518373647,451,451
1518377650,445,446
1518381513,451,450
1518385526,451,451
1518389439,450,451
1518393438,451,450
1518397321,451,451
1518401138,450,451
1518405042,449,449
1518408796,450,450
1518412668,451,450
1518416772,451,451
1518420813,451,451
1518432327,450,451
1518436144,451,450
1518440098,451,451
1518444116,451,451
1518447964,450,451
1518451752,451,450
1518455610,450,451
1518459479,451,450
1518467149,450,451
1518471013,451,450
1518478836,451,451
1518482749,451,451
1518486577,449,449
1518490412,451,451
1518494271,451,451
1518501959,450,450
1518509849,450,451
1518517585,450,450
1518521650,451,450
1518526073,451,451
1518533681,451,451
1518537466,451,451
1518541348,450,451
1518545127,451,450
1518549004,451,451
1518552825,451,451
1518560747,450,451
1518564941,450,450
1518569059,451,450
1518572948,451,451
1518577630,451,451
1518581620,451,451
1518585458,451,451
1518589279,451,451
1518593149,451,451
1518596996,450,451
1518600824,451,450
1518604972,451,451
1518616456,448,451
1518624164,451,448
1518636000,450,451
1518640014,451,450
1518644010,451,451
1518652962,451,451
1518656772,451,451
1518664662,425,425
1518668796,451,451
1518672834,451,451
1518676936,451,451
1518680950,451,451
1518688643,451,451
1518696629,451,451
1518700661,451,451
1518704526,451,451
1518708321,451,451
1518712192,451,451
1518716280,451,451
1518720126,451,451
1518723972,451,451
1518728083,451,451
1518731882,450,451
1518736006,451,450
1518739862,451,451
1518743838,451,451
1518747754,449,450
1518751578,451,450
1518755398,451,451
1518759294,450,451
1518763125,451,450
1518766867,451,451
1518770763,451,451
1518774547,451,451
1518778453,451,451
1518782310,451,451
1518786142,451,451
1518794094,451,451
1518797898,447,448
1518801773,450,450
1518805789,451,450
1518813706,450,451
1518817793,450,450
1518821685,451,450
1518829282,451,451
1518833229,451,451
1518837289,450,451
1518841309,449,450
1518848974,450,448
1518852832,450,451
1518860471,451,450
1518872589,451,451
1518876394,444,446
1518881814,451,449
1518885502,450,451
1518889275,450,450
1518893139,450,449
1518896998,449,451
1518901079,450,448
1518905151,451,451
1518909268,450,450
1518913325,451,451
1518917194,451,451
1518920970,451,451
1518924860,451,451
1518928977,451,451
1518932776,451,451
1518936831,353,353
1518940913,448,448
1518944728,342,342
1518948819,451,451
1518983845,107,107
1518987910,110,110
1518991771,37,37
1518999672,1,2
1519003491,50,55
1519007325,96,100
1519011167,52,67
1519015010,1,1
1519022693,1,2
1519026528,84,110
1519030406,69,79
1519034314,23,25
1519045834,1,0
1519053673,38,46
1519057583,37,18
1519061341,36,48
1519065166,43,37
1519069068,33,27
1519074163,30,32
1519077987,1,1
1519081719,1,3
1519085845,31,7
1519089663,132,110
1519093510,340,330
1519097905,451,451
1519101655,402,403
1519105585,450,449
1519109363,293,294
1519117011,448,448
