DateTime,Entries,UniqueIPs
1516742458,168,168
1516746292,158,158
1516750738,127,127
1516754428,127,127
1516758293,127,127
1516762146,127,127
1516765969,152,152
1516770076,148,148
1516773890,141,141
1516777714,163,163
1516781741,157,157
1516785682,173,173
1516789480,153,153
1516793336,120,120
1516797407,123,123
1516801271,123,123
1516805100,127,127
1516808924,124,124
1516812778,125,125
1516816907,131,131
1516820681,126,126
1516824518,134,134
1516828382,151,151
1516832233,149,149
1516838232,147,147
1516842068,150,150
1516849730,151,151
1516853576,150,150
1516857429,150,150
1516861246,154,154
1516865086,163,163
1516868929,163,163
1516872799,166,166
1516876611,154,154
1516880438,139,139
1516884292,140,140
1516888122,142,142
1516891976,147,147
1516895833,190,190
1516899659,196,196
1516903493,194,194
1516907350,201,201
1516911128,182,182
1516915009,148,148
1516918861,167,167
1516922940,144,144
1516926790,155,155
1516930637,153,153
1516934466,160,160
1516938305,181,181
1516942140,156,156
1516949844,185,185
1516953667,164,164
1516957504,194,194
1516961357,174,174
1516965408,178,178
1516969511,188,188
1516973353,205,205
1516981235,203,203
1516985117,178,178
1516988959,159,159
1516993098,158,158
1516996862,213,213
1517000702,218,218
1517004548,223,223
1517008668,204,204
1517012452,179,179
1517016307,185,185
1517020133,197,197
1517024002,179,179
1517027830,215,215
1517031647,203,203
1517035513,216,216
1517039349,207,207
1517043198,205,205
1517047000,170,170
1517050856,171,171
1517054702,201,201
1517059127,199,199
1517062851,227,227
1517066941,213,213
1517070759,232,232
1517074879,216,216
1517082826,175,175
1517086626,176,176
1517090471,163,163
1517094342,172,172
1517098409,211,211
1517102230,183,183
1517106073,229,229
1517109909,210,210
1517113775,221,221
1517117602,162,162
1517121472,186,186
1517125266,170,170
1517129233,225,225
1517132935,221,221
1517144477,225,225
1517148464,183,183
1517152269,183,183
1517155967,184,184
1517159819,184,184
1517163651,185,185
1517167492,185,185
1517171328,299,299
1517175213,291,291
1517179059,310,310
1517182898,289,289
1517186694,287,287
1517190588,287,287
1517194381,287,287
1517209947,288,288
1517213801,287,287
1517217646,372,372
1517221514,422,422
1517225325,451,451
1517244554,451,451
1517248380,451,451
1517252200,451,451
1517256078,451,451
1517259886,451,451
1517263743,451,451
1517267560,451,451
1517271422,450,450
1517286779,451,451
1517290617,451,451
1517294434,450,450
1517298297,450,450
1517302117,450,450
1517306309,450,450
1517310303,448,448
1517314282,448,448
1517322057,448,448
1517325920,447,447
1517329979,448,448
1517333863,339,339
1517337641,320,320
1517341489,319,319
1517345264,309,309
1517349359,327,327
1517353232,325,325
1517357064,263,263
1517360916,241,241
1517364995,241,241
1517368835,237,237
1517372687,254,254
1517376523,318,318
1517380348,315,315
1517384213,321,321
1517388015,319,319
1517391890,311,311
1517395698,243,243
1517399606,234,234
1517403420,235,235
1517407255,230,230
1517411341,345,345
1517415174,330,330
1517419059,352,352
1517422839,439,439
1517426695,451,451
1517430521,450,450
1517434366,449,449
1517438205,449,449
1517442050,449,449
1517445883,451,451
1517449748,451,451
1517453593,451,451
1517457434,448,448
1517461332,451,451
1517465104,451,451
1517468957,451,451
1517472781,451,451
1517533739,451,451
1517537566,450,450
1517541416,451,451
1517545246,451,451
1517549087,451,451
1517552958,451,451
1517556803,451,451
1517560627,451,451
1517565414,451,451
1517569255,451,451
1517573119,451,451
1517576943,451,451
1517580796,450,450
1517584612,451,451
1517588302,451,451
1517592309,451,451
1517596146,451,451
1517603821,451,451
