DateTime,AddedIPs,RemovedIPs
1516681971,3,0
1516685818,3,3
1516689644,0,2
1516693348,3,2
1516697085,5,3
1516701175,1,2
1516705003,2,6
1516708867,2,0
1516712692,3,2
1516716759,1,1
1516720626,4,1
1516724425,5,8
1516728289,1,2
1516732394,2,6
1516736252,5,3
1516740057,4,1
1516743910,0,1
1516747747,2,0
1516751804,3,1
1516755659,3,1
1516759481,2,0
1516763329,5,1
1516767195,0,3
1516771031,5,3
1516774857,0,1
1516778704,3,0
1516782544,1,3
1516786614,4,5
1516790463,3,5
1516794309,1,2
1516798126,3,0
1516802245,4,2
1516806100,3,4
1516809889,5,4
1516813755,2,4
1516817846,4,7
1516821649,8,13
1516825516,5,4
1516829362,4,2
1516833195,2,0
1516839204,0,1
1516843035,2,0
1516850715,3,4
1516854539,2,6
1516858402,1,0
1516866080,2,3
1516869899,3,1
1516873742,5,4
1516877582,3,4
1516881428,5,1
1516885292,4,6
1516889099,2,1
1516892946,1,1
1516896792,0,3
1516900634,1,6
1516904483,3,1
1516908295,7,6
1516912129,8,6
1516915980,1,2
1516919842,1,1
1516923662,0,2
1516927509,1,4
1516931618,6,4
1516935424,4,1
1516939285,0,3
1516943123,1,2
1516946945,4,4
1516950822,3,3
1516954720,3,5
1516958480,2,3
1516962343,1,3
1516966148,3,0
1516969985,6,7
1516973823,3,1
1516977804,6,4
1516981523,2,2
1516985344,2,1
1516989415,6,12
1516993124,2,4
1517000735,14,8
1517004582,2,1
1517008709,3,1
1517016339,4,4
1517020162,3,0
1517024034,1,1
1517027861,6,2
1517031688,2,3
1517035569,5,8
1517039415,3,2
1517043247,5,0
1517047028,1,3
1517050897,6,6
1517054731,4,4
1517059163,2,2
1517062919,1,2
1517066982,6,8
1517070821,4,1
1517082857,7,3
1517086656,1,0
1517094423,3,5
1517098448,6,4
1517102270,6,2
1517106123,3,1
1517109944,2,3
1517113818,6,3
1517117656,2,4
1517121550,3,1
1517125323,1,3
1517129272,5,4
1517132991,2,2
1517144559,11,8
1517148527,1,1
1517152317,5,6
1517156015,2,4
1517159849,3,2
1517163679,4,8
1517167530,6,7
1517171372,2,2
1517179115,3,1
1517182990,1,1
1517190650,4,1
1517194442,2,2
1517206152,12,5
1517209965,1,1
1517213817,3,5
1517217672,6,2
1517221546,0,3
1517225362,2,4
1517244605,19,14
1517248403,1,1
1517252221,0,3
1517256175,5,10
1517259905,5,6
1517263763,3,0
1517267592,2,3
1517271455,0,1
1517275296,2,3
1517279092,5,3
1517282947,1,1
1517286798,4,0
1517290642,4,0
1517294458,4,4
1517298322,2,6
1517302160,3,2
1517306327,1,7
1517310320,4,3
1517314318,8,3
1517318195,1,4
1517322076,4,2
1517325938,5,4
1517330006,2,2
1517333906,4,6
1517337701,1,1
1517341516,4,4
1517345299,4,4
1517353292,3,5
1517357088,2,3
1517360940,3,7
1517365019,3,4
1517368859,3,2
1517372716,5,3
1517376567,2,1
1517380376,6,6
1517384279,4,1
1517388045,5,3
1517391928,4,3
1517395723,7,6
1517399638,4,0
1517403449,4,11
1517407342,10,8
1517411374,3,2
1517415203,5,6
1517419117,2,4
1517422863,0,1
1517426716,7,8
1517430542,2,1
1517434382,3,1
1517438224,2,1
1517442087,2,0
1517445922,2,2
1517449785,4,5
1517453627,1,2
1517457483,2,2
1517461433,2,2
1517465140,2,4
1517468989,3,4
1517472818,6,3
1517533773,3,4
1517537596,10,6
1517541465,6,5
1517545307,5,4
1517549132,7,3
1517552990,3,1
1517556841,8,7
1517560651,4,3
1517565438,12,12
1517569369,4,0
1517573160,1,1
1517576973,2,1
1517580835,2,1
1517584645,5,4
1517588335,5,0
1517592343,0,1
1517596176,5,4
1517603843,14,4
1517607740,1,0
1517620037,11,6
1517627671,11,8
1517631505,2,6
1517639164,5,11
1517646810,5,16
1517650674,2,4
1517658623,7,11
1517662457,2,1
1517666301,6,6
1517674454,11,8
1517678294,5,3
1517682119,3,1
1517686060,4,3
1517689784,3,2
1517693671,2,5
1517697786,7,5
1517709565,3,9
1517713596,3,1
1517721215,9,9
1517725090,3,2
1517728941,2,5
1517732988,1,4
1517736932,2,4
1517740785,2,3
1517748398,4,3
1517756275,11,12
1517760136,3,2
1517764172,5,10
1517768096,4,5
1517775982,9,10
1517779870,4,6
1517787581,4,4
1517791381,1,4
1517795134,3,0
1517799071,2,4
1517806706,7,5
1517810588,3,4
1517814457,7,9
1517822033,7,10
1517825911,1,1
1517829791,3,3
1517833630,2,7
1517841310,3,3
1517845183,3,1
1517848988,2,0
1517852715,1,14
1517856597,3,3
1517864286,6,14
1517868147,3,3
1517872217,2,1
1517876059,1,0
1517879887,2,4
1517887554,4,7
1517891362,3,5
1517895331,2,2
1517899078,0,3
1517902874,1,1
1517906693,2,6
1517910610,3,0
1517918231,8,4
1517925964,11,18
1517929780,1,1
1517933649,0,6
1517937598,2,1
1517941516,3,1
1517945348,8,4
1517949189,5,2
1517953018,1,3
1517956887,1,3
1517960718,1,0
1517964581,1,0
1517968416,1,0
1517972264,2,3
1517979944,2,7
1517983796,3,2
1517987585,4,2
1517991443,0,4
1517995270,3,3
1517999112,2,4
1518002958,2,2
1518006787,1,0
1518010647,2,4
1518014620,1,0
1518018409,2,1
1518022152,5,1
1518026023,3,1
1518030000,1,0
1518033746,4,2
1518037643,3,1
1518041411,1,5
1518045225,0,2
1518049083,2,2
1518052992,1,8
1518056770,0,2
1518060556,2,3
1518064736,3,1
1518068485,3,0
1518072362,2,3
1518083894,6,2
1518087755,4,2
1518095490,8,2
1518099267,3,3
1518107246,4,2
1518111127,6,6
1518114971,1,0
1518118743,8,3
1518138906,10,13
1518150668,10,16
1518154545,3,4
1518158620,2,3
1518185738,17,11
1518189554,4,4
1518193404,1,1
1518212913,10,10
1518220728,3,3
1518224586,3,3
1518228399,0,5
1518232268,1,1
1518243987,9,10
1518247836,1,0
1518251702,2,2
1518255669,4,1
1518259597,1,0
1518267650,8,8
1518271669,5,2
1518275777,3,8
1518279491,1,0
1518283396,3,1
1518287256,3,1
1518291297,2,1
1518302772,8,6
1518310445,4,3
1518314414,2,1
1518322341,10,14
1518326390,5,3
1518330373,2,3
1518334476,1,0
1518338538,0,1
1518342379,3,1
1518346329,4,1
1518353992,1,0
1518357843,5,7
1518361896,1,1
1518365672,2,1
1518373737,4,6
1518377784,5,3
1518381657,2,2
1518385588,1,1
1518389540,2,0
1518393497,5,3
1518401236,2,4
1518408863,8,9
1518412781,4,4
1518416887,2,2
1518420916,0,3
1518432440,8,5
1518436219,1,3
1518440146,2,0
1518444182,2,0
1518448072,6,4
1518451798,2,0
1518455698,8,4
1518467223,5,3
1518478916,6,4
1518482827,1,2
1518486712,6,5
1518490509,1,6
1518494354,1,5
1518502091,2,6
1518509895,10,9
1518513736,6,2
1518517655,5,2
1518521793,1,2
1518526185,2,0
1518530335,3,3
1518534177,1,3
1518538016,2,4
1518541805,4,4
1518545657,1,2
1518549479,3,3
1518553322,9,4
1518561240,2,5
1518565051,1,0
1518569183,4,0
1518577775,1,1
1518581711,2,6
1518585578,1,2
1518589372,3,2
1518593283,4,2
1518597103,4,10
1518600897,2,0
1518605076,5,0
1518616582,9,8
1518620310,4,2
1518624336,1,0
1518636141,15,18
1518640133,3,1
1518644150,0,4
1518656883,5,6
1518660612,3,6
1518664746,2,4
1518668914,2,4
1518677084,5,8
1518681006,2,6
1518688753,5,7
1518696772,4,3
1518700795,1,0
1518708412,8,11
1518712251,4,5
1518716393,3,5
1518720221,4,3
1518724123,3,1
1518731992,3,10
1518736173,1,4
1518743906,1,5
1518747890,1,1
1518751745,2,1
1518755525,3,0
1518763305,9,1
1518767333,3,5
1518771228,2,1
1518775025,3,3
1518779144,4,6
1518783553,7,4
1518787260,1,1
1518791149,3,6
1518795196,3,3
1518799062,3,0
1518803124,1,1
1518806969,3,1
1518810941,5,2
1518814679,10,6
1518822832,3,5
1518826923,1,1
1518830735,3,3
1518834790,3,0
1518838934,3,1
1518842789,3,1
1518846561,2,3
1518850439,4,1
1518854244,1,0
1518858107,2,2
1518865989,7,1
1518873661,5,3
1518877540,1,1
