DateTime,AddedIPs,RemovedIPs
1516632041,5,0
1516639700,1,0
1516643541,3,0
1516647413,5,0
1516651223,3,0
1516655074,2,0
1516658915,2,0
1516662755,1,0
1516674301,2,0
1516678140,2,0
1516685826,5,0
1516689648,6,0
1516693363,4,0
1516697089,4,0
1516701182,2,0
1516705010,2,0
1516712699,3,0
1516716765,3,0
1516720631,2,0
1516724429,2,2
1516728297,4,1
1516732408,5,8
1516736273,5,7
1516740084,2,1
1516743928,5,1
1516747769,5,9
1516751816,1,4
1516755690,4,11
1516759490,4,4
1516763342,6,4
1516767212,3,5
1516771053,3,2
1516774873,12,8
1516778717,6,5
1516782566,3,3
1516786628,3,3
1516790471,1,2
1516794322,1,5
1516798134,4,4
1516802267,1,0
1516806129,0,1
1516809902,5,2
1516813772,10,19
1516817857,4,4
1516821661,4,3
1516825542,4,2
1516829384,3,4
1516833218,4,0
1516839221,4,5
1516843062,5,6
1516850728,2,2
1516854553,1,1
1516858429,4,4
1516866103,12,19
1516869913,1,1
1516873763,1,3
1516877593,1,1
1516881446,0,3
1516885319,3,1
1516889110,2,3
1516892963,2,1
1516896818,2,2
1516900649,1,0
1516904509,3,4
1516908311,2,3
1516912143,2,2
1516915991,1,3
1516919858,6,4
1516923682,5,4
1516927527,5,8
1516931639,2,4
1516935434,6,6
1516939310,4,2
1516943143,2,2
1516946961,3,6
1516950856,7,8
1516954735,2,0
1516958495,3,5
1516962371,3,0
1516966183,0,1
1516970001,4,3
1516973839,4,4
1516977830,5,3
1516981554,7,6
1516985356,2,4
1516989427,2,7
1516993144,2,7
1517000749,5,6
1517004596,6,5
1517008729,5,7
1517012494,6,7
1517016351,2,1
1517020177,1,1
1517024046,0,1
1517027877,3,3
1517031708,3,4
1517035583,1,0
1517039445,1,0
1517043258,0,1
1517047044,3,2
1517050930,0,2
1517054744,6,7
1517059180,6,5
1517062947,7,8
1517066997,2,3
1517070848,11,10
1517082870,13,17
1517086666,8,10
1517090556,12,9
1517094455,4,3
1517098469,5,4
1517102287,4,3
1517106141,14,15
1517113831,4,5
1517121585,2,1
1517129302,2,1
1517133023,2,3
1517144591,3,5
1517152338,3,0
1517156036,1,3
1517159861,3,0
1517163691,2,4
1517167551,1,2
1517171387,2,1
1517175296,0,2
1517179143,1,2
1517183022,1,2
1517186762,8,4
1517190680,2,1
1517206158,2,2
1517209971,4,1
1517213823,2,1
1517217680,2,3
1517221553,13,2
1517225380,1,1
1517244623,7,1
1517248413,3,0
1517252230,2,8
1517256216,3,2
1517259913,2,1
1517263772,0,2
1517267605,0,1
1517271474,3,3
1517275324,0,2
1517279100,3,2
1517282958,8,5
1517286807,0,2
1517290656,7,2
1517294467,3,3
1517298331,4,0
1517302175,1,0
1517306334,2,2
1517310326,1,4
1517314328,1,1
1517318201,1,2
1517322084,3,2
1517325944,2,2
1517330017,4,1
1517333916,3,3
1517337734,2,1
1517341528,7,4
1517345314,3,0
1517349405,4,0
1517353329,6,10
1517357098,5,2
1517360950,2,1
1517365034,4,3
1517368873,7,5
1517372732,5,1
1517376581,2,2
1517380386,2,1
1517384305,2,1
1517388061,5,4
1517391941,3,1
