DateTime,Entries,UniqueIPs
1516632041,124,124
1516639700,125,125
1516643541,128,128
1516647413,133,133
1516651223,136,136
1516655074,138,138
1516658915,140,140
1516662755,141,141
1516674301,143,143
1516678140,145,145
1516685826,150,150
1516689648,156,156
1516693363,160,160
1516697089,164,164
1516701182,166,166
1516705010,168,168
1516712699,171,171
1516716765,174,174
1516720631,176,176
1516724429,176,176
1516728297,179,179
1516732408,176,176
1516736273,174,174
1516740084,175,175
1516743928,179,179
1516747769,175,175
1516751816,172,172
1516755690,165,165
1516759490,165,165
1516763342,167,167
1516767212,165,165
1516771053,166,166
1516774873,170,170
1516778717,171,171
1516782566,171,171
1516786628,171,171
1516790471,170,170
1516794322,166,166
1516798134,166,166
1516802267,167,167
1516806129,166,166
1516809902,169,169
1516813772,160,160
1516817857,160,160
1516821661,161,161
1516825542,163,163
1516829384,162,162
1516833218,166,166
1516839221,165,165
1516843062,164,164
1516850728,164,164
1516854553,164,164
1516858429,164,164
1516866103,157,157
1516869913,157,157
1516873763,155,155
1516877593,155,155
1516881446,152,152
1516885319,154,154
1516889110,153,153
1516892963,154,154
1516896818,154,154
1516900649,155,155
1516904509,154,154
1516908311,153,153
1516912143,153,153
1516915991,151,151
1516919858,153,153
1516923682,154,154
1516927527,151,151
1516931639,149,149
1516935434,149,149
1516939310,151,151
1516943143,151,151
1516946961,148,148
1516950856,147,147
1516954735,149,149
1516958495,147,147
1516962371,150,150
1516966183,149,149
1516970001,150,150
1516973839,150,150
1516977830,152,152
1516981554,153,153
1516985356,151,151
1516989427,146,146
1516993144,141,141
1517000749,140,140
1517004596,141,141
1517008729,139,139
1517012494,138,138
1517016351,139,139
1517020177,139,139
1517024046,138,138
1517027877,138,138
1517031708,137,137
1517035583,138,138
1517039445,139,139
1517043258,138,138
1517047044,139,139
1517050930,137,137
1517054744,136,136
1517059180,137,137
1517062947,136,136
1517066997,135,135
1517070848,136,136
1517082870,132,132
1517086666,130,130
1517090556,133,133
1517094455,134,134
1517098469,135,135
1517102287,136,136
1517106141,135,135
1517113831,134,134
1517121585,135,135
1517129302,136,136
1517133023,135,135
1517144591,133,133
1517152338,136,136
1517156036,134,134
1517159861,137,137
1517163691,135,135
1517167551,134,134
1517171387,135,135
1517175296,133,133
1517179143,132,132
1517183022,131,131
1517186762,135,135
1517190680,136,136
1517206158,136,136
1517209971,139,139
1517213823,140,140
1517217680,139,139
1517221553,150,150
1517225380,150,150
1517244623,156,156
1517248413,159,159
1517252230,153,153
1517256216,154,154
1517259913,155,155
1517263772,153,153
1517267605,152,152
1517271474,152,152
1517275324,150,150
1517279100,151,151
1517282958,154,154
1517286807,152,152
1517290656,157,157
1517294467,157,157
1517298331,161,161
1517302175,162,162
1517306334,162,162
1517310326,159,159
1517314328,159,159
1517318201,158,158
1517322084,159,159
1517325944,159,159
1517330017,162,162
1517333916,162,162
1517337734,163,163
1517341528,166,166
1517345314,169,169
1517349405,173,173
1517353329,169,169
1517357098,172,172
1517360950,173,173
1517365034,174,174
1517368873,176,176
1517372732,180,180
1517376581,180,180
1517380386,181,181
1517384305,182,182
1517388061,183,183
1517391941,185,185
1517395733,186,186
1517399647,189,189
1517403461,181,181
1517407380,181,181
1517411387,175,175
1517415215,176,176
1517419137,172,172
1517422871,166,166
1517426725,168,168
1517430548,167,167
1517434390,165,165
1517438231,166,166
1517442112,168,168
1517445936,170,170
1517449807,172,172
1517453637,174,174
1517457495,175,175
1517461466,176,176
1517465157,173,173
1517469002,173,173
1517472836,171,171
1517533787,170,170
1517537610,171,171
1517541480,172,172
1517545354,174,174
1517549144,176,176
1517553002,180,180
1517556852,182,182
1517560661,186,186
1517565450,188,188
1517569417,189,189
1517573181,192,192
1517576988,193,193
1517580851,195,195
1517584656,196,196
1517588348,198,198
1517592354,200,200
1517596191,201,201
1517603859,203,203
1517607766,203,203
1517612041,206,206
1517620066,203,203
1517627707,199,199
1517631526,199,199
1517639183,194,194
1517643063,195,195
1517646830,193,193
1517650690,195,195
1517654598,196,196
1517658695,196,196
1517662477,198,198
1517666327,197,197
1517674472,198,198
1517678323,196,196
1517682141,197,197
1517686088,196,196
1517689800,196,196
1517693713,194,194
1517697818,194,194
1517705708,194,194
1517709600,193,193
1517713653,194,194
1517721229,194,194
1517725107,195,195
1517728961,198,198
1517733002,197,197
1517740803,197,197
1517744516,199,199
1517748434,201,201
1517756292,209,209
1517760155,212,212
1517764190,210,210
1517768126,215,215
1517776013,219,219
1517779896,221,221
1517783643,223,223
1517787611,226,226
1517791408,231,231
1517795168,232,232
1517806729,240,240
1517810628,242,242
1517814501,240,240
1517822053,239,239
1517825951,240,240
1517829827,239,239
1517833670,241,241
1517837463,239,239
1517841363,234,234
1517845219,235,235
1517849009,232,232
1517852735,232,232
1517856622,230,230
1517864309,227,227
1517868184,229,229
1517872240,227,227
1517876090,226,226
1517879907,226,226
1517887567,223,223
1517891380,224,224
1517895380,224,224
1517899085,226,226
1517902881,224,224
1517906702,224,224
1517910641,226,226
1517914429,226,226
1517918244,225,225
1517925983,224,224
1517929790,224,224
1517933675,222,222
1517937615,220,220
1517941528,220,220
1517945358,217,217
1517949196,216,216
1517953032,213,213
1517956904,214,214
1517960725,211,211
1517964597,205,205
1517968427,206,206
1517972277,203,203
1517979970,205,205
1517983811,207,207
1517987593,203,203
1517991457,202,202
1517995287,203,203
1517999135,203,203
1518002974,202,202
1518006799,200,200
1518014679,198,198
1518018426,195,195
1518022166,191,191
1518026057,192,192
1518030047,187,187
1518033788,188,188
1518037664,184,184
1518041436,182,182
1518045245,188,188
1518049100,185,185
1518053018,186,186
1518056787,190,190
1518064761,190,190
1518068497,193,193
1518072379,195,195
1518083933,204,204
1518087800,208,208
1518095528,205,205
1518099296,201,201
1518107306,197,197
1518111182,193,193
1518118764,191,191
1518138955,184,184
1518154589,181,181
1518158651,188,188
1518185776,197,197
1518189607,196,196
1518193446,195,195
1518212976,190,190
1518220758,187,187
1518224641,187,187
1518228440,186,186
1518236481,189,189
1518244356,190,190
1518248200,190,190
1518252053,187,187
1518256144,188,188
1518259958,190,190
1518263897,187,187
1518267705,186,186
1518271721,183,183
1518275813,179,179
1518279506,177,177
1518283425,179,179
1518287302,180,180
1518291357,181,181
1518302797,175,175
1518310474,174,174
1518322388,174,174
1518326452,173,173
1518330403,174,174
1518334503,177,177
1518338561,179,179
1518342402,175,175
1518346364,175,175
1518354017,173,173
1518357883,173,173
1518361933,175,175
1518365700,177,177
1518373771,181,181
1518385604,184,184
1518389589,181,181
1518393521,183,183
1518401283,185,185
1518408901,188,188
1518412828,190,190
1518416946,190,190
1518420970,193,193
1518424755,192,192
1518432503,193,193
1518436251,198,198
1518440161,198,198
1518444208,197,197
1518448113,193,193
1518451820,194,194
1518455737,197,197
1518459616,198,198
1518467262,202,202
1518478965,208,208
1518482879,211,211
1518490545,211,211
1518494377,212,212
1518502137,219,219
1518509914,219,219
1518513774,217,217
1518517680,219,219
1518521855,219,219
1518526246,217,217
1518534230,213,213
1518541846,214,214
1518545693,214,214
1518549513,219,219
1518553371,219,219
1518557418,218,218
1518561284,218,218
1518565109,217,217
1518569230,220,220
1518573035,221,221
1518577822,225,225
1518581755,229,229
1518585625,231,231
1518589416,235,235
1518593342,236,236
1518597133,236,236
1518600925,234,234
1518605113,235,235
1518616642,231,231
1518620349,229,229
1518636197,219,219
1518640176,219,219
1518656914,211,211
1518660676,216,216
1518664778,216,216
1518668954,214,214
1518677110,209,209
1518681030,211,211
1518688795,208,208
1518696824,204,204
1518700853,207,207
1518708461,209,209
1518712269,206,206
1518716442,204,204
1518720265,202,202
1518724168,201,201
1518732023,195,195
1518743930,196,196
1518747941,193,193
1518755567,197,197
1518763360,200,200
1518767353,199,199
1518771286,199,199
1518775074,200,200
1518783577,209,209
1518787307,208,208
1518795248,210,210
1518803191,213,213
1518814706,212,212
1518822871,209,209
1518826981,204,204
1518830758,202,202
1518834813,201,201
1518838971,202,202
1518842824,198,198
1518846591,199,199
1518850466,201,201
1518854282,201,201
1518858164,199,199
1518866015,195,195
1518869898,194,194
1518873713,193,193
1518882011,200,200
1518886049,199,199
1518894184,201,201
1518898025,203,203
1518901745,205,205
1518905745,205,205
1518909460,205,205
1518913458,202,202
1518917383,203,203
1518921082,205,205
1518925118,206,206
1518932950,203,203
1518936982,196,196
1518941020,195,195
1518944869,190,190
1518949020,191,191
1518983992,187,187
1518987956,189,189
1518991891,189,189
1518995813,188,188
1518999760,186,186
1519003548,185,185
1519007373,183,183
1519011215,182,182
1519015069,180,180
1519018879,179,179
1519022793,181,181
1519026593,181,181
1519034488,182,182
1519038265,182,182
1519042055,184,184
1519045982,182,182
1519049868,185,185
1519053720,182,182
1519057736,181,181
1519061450,184,184
1519065222,184,184
1519069235,182,182
1519074282,182,182
1519078222,180,180
1519081986,181,181
1519085905,176,176
1519089711,177,177
1519093604,178,178
1519097988,181,181
1519105771,184,184
1519109550,186,186
1519117095,195,195
1519124911,204,204
