DateTime,Entries,UniqueIPs
1517142781,132,132
1517146381,129,129
1517149981,132,132
1517153581,131,131
1517157181,128,128
1517160781,131,131
1517164381,130,130
1517167981,132,132
1517171581,136,136
1517175182,133,133
1517182381,132,132
1517185981,130,130
1517189581,130,130
1517200381,134,134
1517203981,133,133
1517211181,135,135
1517214781,136,136
1517218382,132,132
1517225581,125,125
1517229181,127,127
1517232781,124,124
1517236381,126,126
1517239981,125,125
1517243581,125,125
1517247182,121,121
1517250781,122,122
1517254381,119,119
1517257982,120,120
1517261581,123,123
1517265181,120,120
1517268781,122,122
1517272381,120,120
1517275981,126,126
1517279581,128,129
1517283181,125,126
1517286781,126,127
1517290381,127,128
1517293981,131,132
1517297582,127,128
1517301181,132,133
1517304782,133,134
1517311981,133,134
1517315581,134,135
1517322781,129,130
1517326381,132,132
1517337181,132,132
1517340781,135,135
1517344381,134,134
1517351581,134,134
1517355181,138,138
1517358781,130,130
1517362381,131,131
1517373181,131,131
1517376782,131,131
1517380381,135,135
1517383982,133,133
1517391181,132,132
1517394781,133,133
1517398381,132,132
1517401981,135,135
1517405581,133,133
1517409181,128,128
1517416381,131,131
1517419981,127,127
1517423581,128,128
1517427181,130,130
1517430782,129,129
1517434381,127,127
1517437982,125,125
1517441581,126,126
1517448781,121,121
1517455981,120,120
1517463181,114,114
1517470381,120,120
1517473981,126,126
1517477581,125,125
1517481181,124,124
1517484781,126,126
1517488382,127,127
1517495581,128,128
1517499181,129,129
1517502782,132,132
1517506381,139,139
1517509981,139,139
1517513581,137,137
1517517181,139,139
1517520781,142,142
1517524381,142,142
1517527981,141,141
1517535181,142,142
1517538781,141,141
1517545981,134,134
1517549581,138,138
1517553181,141,141
1517556781,138,138
1517560381,134,134
1517563981,134,134
1517567581,136,136
1517571181,128,128
1517574781,130,130
1517578381,132,132
1517581981,138,138
1517585582,131,131
1517589181,129,129
1517592781,130,130
1517599981,131,131
1517603581,129,129
1517607181,132,132
1517610781,128,128
1517617981,127,127
1517621581,133,133
1517625181,131,131
1517628781,133,133
1517632381,133,133
1517635981,132,132
1517639581,128,128
1517643181,129,129
1517646781,132,132
1517650381,128,128
1517653981,127,127
1517661181,122,122
1517664781,127,127
1517668381,126,126
1517671981,125,125
1517675581,126,126
1517679182,126,126
1517682781,125,125
1517686381,130,130
1517689981,130,130
1517693581,130,130
1517697181,131,131
1517701227,133,133
1517704381,131,131
1517707981,134,134
1517711581,133,133
1517715181,132,132
1517722381,134,134
1517725981,133,133
1517729581,128,128
1517733181,129,129
1517736782,128,128
1517740382,129,129
1517743981,126,126
1517747581,127,127
1517751181,124,124
1517754781,118,118
1517758381,120,120
1517761981,118,118
1517765581,118,118
1517769181,117,117
1517772781,118,118
1517776381,118,118
1517779981,119,119
1517783581,120,120
1517787182,119,119
1517794381,122,122
1517797982,120,120
1517801582,121,121
1517805181,122,122
1517808781,118,118
1517812381,119,119
1517815981,121,121
1517819581,117,117
1517823182,119,119
1517826782,119,119
1517830381,117,117
1517833981,118,118
1517837581,120,120
1517841181,122,122
1517844781,118,118
1517848382,117,117
1517851981,116,116
1517855581,117,117
1517859182,117,117
1517862781,118,118
1517866381,117,117
1517869982,115,115
1517873581,113,113
1517877181,110,110
1517884381,111,111
