DateTime,AddedIPs,RemovedIPs
1517149981,14,15
1517153581,12,14
1517160781,9,8
1517164381,13,16
1517167981,11,9
1517171581,7,7
1517175182,6,6
1517182381,13,12
1517185981,8,7
1517189581,2,4
1517193181,3,3
1517200381,15,13
1517203981,5,4
1517211181,15,18
1517214781,8,5
1517218382,8,7
1517225581,6,7
1517229181,6,11
1517236381,12,7
1517239981,13,11
1517243581,8,11
1517250781,7,5
1517254381,7,11
1517257982,8,5
1517261581,12,11
1517265181,9,8
1517268781,8,6
1517275981,16,16
1517279581,8,11
1517286781,9,14
1517290381,9,7
1517293981,12,9
1517301181,13,13
1517304782,10,9
1517311981,11,11
1517315581,11,11
1517322781,11,14
1517326381,13,14
1517333581,11,11
1517337181,7,8
1517340781,10,7
1517344381,11,11
1517351581,9,7
1517355181,11,12
1517362381,10,10
1517365981,5,8
1517373181,12,10
1517376782,7,10
1517380381,16,13
1517383982,7,11
1517391181,9,9
1517394781,6,7
1517398381,20,16
1517401981,7,9
1517405581,2,5
1517409181,3,2
1517412781,10,6
1517416381,5,4
1517419981,5,6
1517423581,8,9
1517427181,14,14
1517430782,12,8
1517434381,7,5
1517437982,8,9
1517441581,5,5
1517448781,12,12
1517452381,8,11
1517459581,6,8
1517463181,11,9
1517470381,13,14
1517473981,9,9
1517477581,6,5
1517481181,7,7
1517484781,13,13
1517488382,12,16
1517495581,12,9
1517499181,13,15
1517502782,13,13
1517506381,10,7
1517509981,7,6
1517517181,9,11
1517520781,10,8
1517524381,8,4
1517527981,10,13
1517535181,7,9
1517538781,10,13
1517545981,10,8
1517549581,12,13
1517553181,17,14
1517556781,9,10
1517563981,15,14
1517567581,10,10
1517574781,8,14
1517578381,7,6
1517581981,11,11
1517589181,11,9
1517592781,8,14
1517596381,8,7
1517599981,3,3
1517603581,9,7
1517607181,7,6
1517610781,7,7
1517614381,10,8
1517621581,15,16
1517628781,8,6
1517632381,15,17
1517639581,7,12
1517643181,10,8
1517646781,12,12
1517650381,6,4
1517653981,15,15
1517657581,8,8
1517664781,16,18
1517668381,14,12
1517675581,10,11
1517679182,10,7
1517682781,10,12
1517686381,11,8
1517689981,8,6
1517693581,6,8
1517697181,8,9
1517701227,11,11
1517707981,14,13
1517711581,6,7
1517715181,8,5
1517722381,15,17
1517729581,8,10
1517733181,15,10
1517736782,6,8
1517740382,1,4
1517743981,3,4
1517747581,8,4
1517751181,5,6
1517758381,12,15
1517761981,10,7
1517765581,12,9
1517769181,8,8
1517772781,4,4
1517776381,13,12
1517779981,2,6
1517783581,8,10
1517787182,6,6
1517794381,16,16
1517801582,8,7
1517805181,9,11
1517812381,8,7
1517815981,13,18
1517819581,10,9
1517823182,9,10
1517826782,7,6
1517833981,12,9
1517837581,6,8
1517841181,8,9
1517844781,6,5
1517848382,7,8
1517851981,6,4
1517855581,5,5
1517859182,7,7
1517862781,11,10
1517866381,5,7
1517873581,10,9
1517877181,9,8
1517884381,8,10
1517887982,9,9
1517895181,7,6
1517898781,12,12
1517902381,8,5
1517905981,7,10
1517909581,9,13
1517913181,6,4
1517916782,9,6
1517920381,8,6
1517923982,2,6
1517927581,4,5
1517931181,10,11
1517934781,8,5
1517938382,7,9
1517941981,5,5
1517945582,8,6
1517949181,5,5
1517952781,9,7
1517959981,9,10
1517963581,9,7
1517967182,6,8
1517970781,5,6
1517974381,8,8
1517981581,8,8
1517985181,9,10
1517988781,9,10
1517992381,6,5
1517995982,9,9
1517999581,6,7
1518003181,10,8
1518006781,10,10
1518010381,10,11
1518013981,3,5
1518017581,11,12
1518021181,6,6
1518028381,15,12
1518031981,4,4
1518035581,8,11
1518039181,11,11
1518042781,12,6
1518046381,5,5
1518049982,6,6
1518053581,7,9
1518057181,14,17
1518060781,7,8
1518064381,9,8
1518067981,7,7
1518071581,11,9
1518075181,6,10
1518078781,6,8
1518082382,10,8
1518085981,6,5
1518089582,5,4
1518093181,8,8
1518096782,12,13
1518100381,6,4
1518103981,12,10
1518107581,9,10
1518111181,8,9
1518114781,16,12
1518118381,11,10
1518121981,7,5
1518125581,11,8
1518129181,7,11
1518132781,7,7
1518136382,5,7
1518139981,9,11
1518143581,7,5
1518150781,20,20
1518154381,12,12
1518157981,10,6
1518161581,3,6
1518165183,12,15
1518168781,3,3
1518172381,11,8
1518175981,10,7
1518179581,12,15
1518183181,10,12
1518186781,11,10
1518190381,11,12
1518193981,12,12
1518197581,9,11
1518201181,10,11
1518204781,9,8
1518208381,14,11
1518211981,11,11
1518215581,7,8
1518219181,6,7
1518222782,9,9
1518226381,7,6
1518229981,10,9
1518233581,6,9
1518237182,5,6
1518240781,10,8
1518244381,3,7
1518247982,7,4
1518251581,11,9
1518255181,2,4
1518258781,12,9
1518262382,3,4
1518265981,6,9
1518269581,8,9
1518273181,9,9
1518276781,9,7
1518280381,11,8
1518283981,8,9
1518287581,10,10
1518291181,12,10
1518294781,8,14
1518298381,5,3
1518301981,9,9
1518305581,4,3
1518309181,11,6
1518312781,10,18
1518316382,11,10
1518319981,11,9
1518323581,7,7
1518327181,11,9
1518330781,4,6
1518334381,9,9
1518337981,11,14
1518341581,12,9
1518345181,15,17
1518348781,8,5
1518352381,7,8
1518355981,6,7
1518359581,12,9
1518363181,7,8
1518366781,12,7
1518370381,12,15
1518373981,7,7
1518377582,10,10
1518381182,9,8
1518384781,8,7
1518388381,4,5
1518391981,15,14
1518395581,10,14
1518399181,7,7
1518402781,10,10
1518406382,7,8
1518409981,11,10
1518413581,8,7
1518417181,11,9
1518420781,12,14
1518424382,8,9
1518427981,6,7
1518431581,10,7
1518435181,11,12
1518438781,6,8
1518442381,10,11
1518445981,11,11
1518449582,11,10
1518453181,11,11
1518456781,12,10
1518460381,14,14
1518463981,8,7
1518467581,9,12
1518471181,4,4
1518474781,10,8
1518478381,3,4
1518481981,9,10
1518485581,8,6
1518489181,6,6
1518492781,12,14
1518496381,8,11
1518499981,12,12
1518503581,10,9
1518507181,8,7
1518510781,9,10
1518514381,10,11
1518517982,11,10
1518521581,9,5
1518525181,13,14
1518528781,12,13
1518532381,8,7
1518535981,6,9
1518539581,9,10
1518543182,10,9
1518546781,9,8
1518550381,10,11
1518553981,9,6
1518557581,10,11
1518561181,4,4
1518564781,12,11
1518568381,10,9
1518571981,8,7
1518575581,9,12
1518579181,8,9
1518582781,7,6
1518586381,8,6
1518589981,6,4
1518593581,8,13
1518597181,14,14
1518600781,15,14
1518604381,9,10
1518607981,6,6
1518611581,9,7
1518615181,7,8
1518618781,5,6
1518622381,9,7
1518625982,7,11
1518629581,9,10
1518633181,13,10
1518636781,8,9
1518640381,10,10
1518643982,9,9
1518647582,9,8
1518651181,9,10
1518658381,8,8
1518661981,17,18
1518665581,11,8
1518669182,5,6
1518672781,7,9
1518676381,9,10
1518679981,9,7
1518683581,10,9
